team_id,h_1b,h_2b,h_3b,h_hr,h_bb,h_ubb,h_ab,h_pa,h_k,h_runs,h_rbi,h_sf,h_hbp,avg,obp,slg,ops,k_rate,bb_rate,babip,woba
1,31,7,0,11,20,19,195,218,38,30,24,1,2,0.2512820512820513,0.3194444444444444,0.4564102564102564,0.7758547008547008,0.1743119266055046,0.09174311926605505,0.2585034013605442,0.34032258064516124
2,34,5,1,12,30,29,207,241,59,39,38,2,2,0.25120772946859904,0.34309623430962344,0.45893719806763283,0.8020334323772562,0.24481327800829875,0.12448132780082988,0.2898550724637681,0.3528416666666666
4,29,11,2,9,40,35,217,261,52,36,28,1,3,0.2350230414746544,0.35271317829457366,0.42857142857142855,0.7812846068660022,0.19923371647509577,0.1532567049808429,0.267515923566879,0.344609375
5,29,6,0,7,17,17,169,188,48,21,18,1,1,0.2485207100591716,0.3155080213903743,0.40828402366863903,0.7237920450590134,0.2553191489361702,0.09042553191489362,0.30434782608695654,0.32177127659574467
6,31,12,1,6,23,23,226,250,69,25,28,0,1,0.22123893805309736,0.2931726907630522,0.36283185840707965,0.6560045491701318,0.276,0.092,0.2913907284768212,0.294548
7,28,13,0,8,34,33,198,233,53,26,27,1,0,0.2474747474747475,0.3562231759656652,0.43434343434343436,0.7905666103090996,0.22746781115879827,0.1459227467811159,0.2971014492753623,0.3491853448275862
8,28,6,1,3,21,20,181,204,58,24,14,0,1,0.20994475138121546,0.29207920792079206,0.30386740331491713,0.5959466112357092,0.28431372549019607,0.10294117647058823,0.2916666666666667,0.27298019801980195
9,37,6,0,6,20,19,209,236,58,25,29,5,2,0.23444976076555024,0.2948717948717949,0.3492822966507177,0.6441540915225126,0.2457627118644068,0.0847457627118644,0.2866666666666667,0.2882808510638298
11,27,11,2,5,28,28,209,240,58,26,23,1,2,0.215311004784689,0.3067226890756303,0.3588516746411483,0.6655743637167786,0.24166666666666667,0.11666666666666667,0.272108843537415,0.302525
12,31,8,0,5,18,18,215,239,57,16,18,2,4,0.20465116279069767,0.26382978723404255,0.3116279069767442,0.5754576942107867,0.2384937238493724,0.07531380753138076,0.25161290322580643,0.2662384937238494
13,44,9,0,8,25,24,221,249,47,29,34,0,3,0.27601809954751133,0.34959349593495936,0.4253393665158371,0.7749328624507965,0.18875502008032127,0.10040160642570281,0.3192771084337349,0.3472943548387097
14,32,3,1,5,24,23,178,206,49,28,22,2,2,0.2303370786516854,0.31862745098039214,0.34269662921348315,0.6613240801938753,0.23786407766990292,0.11650485436893204,0.2857142857142857,0.30174146341463415
