player,player_id,team_from,team_to,scoring_period_id,teams_involved,trade_id
Daniel Schneemann,42001,12,14,27,12 14,1
Framber Valdez,36581,12,14,27,12 14,1
Trea Turner,33710,14,12,27,12 14,1
Austin Riley,34982,6,4,30,4 6,2
Bryce Harper,30951,4,6,30,4 6,2
Jac Caglianone,4926296,6,4,30,4 6,2
Jose Fernandez,5010500,4,6,30,4 6,2
Kyle Bradish,4311625,6,4,30,4 6,2
Ryan Weathers,41178,4,6,30,4 6,2
Kris Bubic,41201,6,12,48,6 12,3
Louis Varland,4917888,6,12,48,6 12,3
Tarik Skubal,42409,12,6,48,6 12,3
Grant Holmes,33840,13,2,53,2 13,4
Jeffrey Springs,35397,13,2,53,2 13,4
Matt Chapman,33857,2,13,53,2 13,4
Julio Rodriguez,41044,6,9,64,6 9,5
Logan Gilbert,41221,9,6,64,6 9,5
Seiya Suzuki,4142424,9,6,64,6 9,5
Kevin McGonigle,5149072,6,4,70,4 6,6
Seiya Suzuki,4142424,6,4,70,4 6,6
Tarik Skubal,42409,6,4,70,4 6,6
Taylor Ward,34923,4,6,70,4 6,6
Yordan Alvarez,36018,4,6,70,4 6,6
Josh Hader,32760,5,11,70,5 11,7
TJ Rumfield,5014349,11,5,70,5 11,7
Brandon Woodruff,37515,2,6,76,2 6,8
Ryan Weathers,41178,6,2,76,2 6,8
George Kirby,42406,11,12,87,11 12,9
Luis Arraez,39572,12,11,87,11 12,9
Brent Rooker,40926,12,4,98,4 12,10
Chase DeLauter,4619649,4,12,98,4 12,10
Kyle Bradish,4311625,4,6,107,4 6,11
Wyatt Langford,4719324,6,4,107,4 6,11
A.J. Ewing,5208019,12,9,111,9 12,12
Landen Roupp,4345404,9,12,111,9 12,12
