team_ix,matchup_id,player,player_id,n_games,n_points,team_id
1,1,Sal Frelick,4417795,2,9,11
1,1,Jose Ramirez,32801,3,8,11
1,1,CJ Abrams,42402,1,2.5,11
1,1,Andrew Abbott,4414528,NA,19.5,11
1,1,Nico Hoerner,41219,2,6.5,11
1,1,Ben Rice,5016968,2,5.5,11
1,1,George Kirby,42406,NA,23.5,11
1,1,Ramon Laureano,35142,3,12,11
1,1,Nick Pivetta,36071,NA,-7.5,11
1,1,Junior Caminero,4905921,1,3.5,11
1,1,Jose Altuve,31662,3,4.5,11
1,1,Austin Wells,4683349,3,1.5,11
1,1,Jung Hoo Lee,5134621,3,3,11
1,1,Trent Grisham,34995,3,9.5,11
1,1,Marcell Ozuna,31668,2,1.5,11
1,1,Trevor Story,32150,2,3.5,11
1,1,Harrison Bader,35062,2,-1.5,11
1,1,Tyler Wells,4717904,NA,3,11
1,1,Jose Ferrer,5119607,NA,0,11
1,1,Cam Schlittler,5134581,NA,23,11
1,1,Kevin Gausman,32667,NA,31,11
1,1,Spencer Torkelson,4424286,3,4.5,11
2,1,Nolan Schanuel,4739755,3,14,6
2,1,Austin Riley,34982,2,5,6
2,1,Kyle Bradish,4311625,NA,10.5,6
2,1,Lucas Erceg,36618,NA,4.5,6
2,1,Jacob Wilson,4719300,2,-4,6
2,1,Cal Raleigh,41292,3,-0.5,6
2,1,Jose Soriano,40973,NA,26,6
2,1,Byron Buxton,32655,2,6,6
2,1,Eugenio Suarez,32367,2,0,6
2,1,Jac Caglianone,4926296,2,2.5,6
2,1,Wyatt Langford,4719324,2,0.5,6
2,1,Julio Rodriguez,41044,3,1,6
2,1,Miguel Vargas,42453,1,-0.5,6
2,1,Gavin Williams,4345076,NA,11,6
2,1,Ozzie Albies,33783,2,8,6
2,1,Jackson Merrill,4872691,3,4.5,6
2,1,Ryan Walker,5000950,NA,4.5,6
2,1,Isaac Paredes,39706,3,6,6
2,1,Paul Skenes,4719507,NA,-12.5,6
2,1,Otto Lopez,41917,1,0.5,6
2,1,Kevin McGonigle,5149072,3,12.5,6
2,1,Tanner Scott,35135,NA,5,6
3,1,Logan Webb,41216,NA,0,12
3,1,Robert Garcia,5125167,NA,3.5,12
3,1,Teoscar Hernandez,33377,3,-0.5,12
3,1,Masyn Winn,4683365,1,2.5,12
3,1,Framber Valdez,36581,NA,18.5,12
3,1,Ernie Clement,41287,2,7,12
3,1,Tarik Skubal,42409,NA,26,12
3,1,Jarren Duran,41610,2,6.5,12
3,1,Wilyer Abreu,4990055,2,9.5,12
