matchup_id,game_id,home_team_id,home_total_points,home_batting_points,home_pitching_points,away_team_id,away_total_points,away_batting_points,away_pitching_points,home_team,away_team
1,1,11,542,290,252,7,511,298.5,212.5,The West Bank Occupiers,Bibee-di-Bobbidi-Boo
1,2,6,467.5,244.5,223,14,506,268.5,237.5,The Novaks,Top Gunner: Henderson
1,3,12,530.5,274,256.5,4,537.5,363.5,174,Blasphemous Hot Takes,All That is Wright
1,4,1,470.5,304,166.5,13,512,313.5,198.5,The Talmudic Tunnelers,Ketel Bells
1,5,8,435.5,206,229.5,9,528,264.5,263.5,Mt. Everest Taquito Farmers,Book of Bob
1,6,5,489.5,294.5,195,2,500,308.5,191.5,The Traveling Secretaries,Tucker? I hardly know her
2,7,7,347.5,172,175.5,14,291,174,117,Bibee-di-Bobbidi-Boo,Top Gunner: Henderson
2,8,4,363,222,141,11,299,159,140,All That is Wright,The West Bank Occupiers
2,9,13,278.5,187.5,91,6,413,221.5,191.5,Ketel Bells,The Novaks
2,10,9,253,185,68,12,266,177.5,88.5,Book of Bob,Blasphemous Hot Takes
2,11,2,299,200.5,98.5,1,324,175.5,148.5,Tucker? I hardly know her,The Talmudic Tunnelers
2,12,5,358,210.5,147.5,8,287.5,188,99.5,The Traveling Secretaries,Mt. Everest Taquito Farmers
3,13,4,349,170,179,7,349.5,212.5,137,All That is Wright,Bibee-di-Bobbidi-Boo
3,14,14,251.5,163,88.5,13,311,216.5,94.5,Top Gunner: Henderson,Ketel Bells
3,15,11,407,258.5,148.5,9,328.5,197,131.5,The West Bank Occupiers,Book of Bob
3,16,6,348.5,226,122.5,2,373.5,249,124.5,The Novaks,Tucker? I hardly know her
3,17,12,336,151.5,184.5,5,390.5,184.5,206,Blasphemous Hot Takes,The Traveling Secretaries
3,18,1,296.5,195,101.5,8,240.5,182.5,58,The Talmudic Tunnelers,Mt. Everest Taquito Farmers
4,19,7,253,164,89,13,320.5,195.5,125,Bibee-di-Bobbidi-Boo,Ketel Bells
