season,scoring_period_id,player_id,player
2026,39,42604,Griffin Jax
2026,47,40485,Brenan Hanifee
2026,51,4424112,Mason Montgomery
2026,52,4669425,Ian Seymour
2026,88,33856,Sean Newcomb
2026,103,4084958,Chris Murphy
