team_id,total_points,batting_points,pitching_points,team,matchup_id,game_id,rp_points,sp_points,weight,adj_pts,adj_batting_pts,adj_pitching_pts,adj_sp_pts,adj_rp_pts,team_id_opp,total_points_opp,batting_points_opp,pitching_points_opp,team_opp,rp_points_opp,sp_points_opp,adj_pts_opp,adj_batting_pts_opp,adj_pitching_pts_opp,adj_sp_pts_opp,adj_rp_pts_opp,overall_rank,batting_rank,pitching_rank
11,135.5,43,92.5,The West Bank Occupiers,1,1,3,89.5,1.5714285714285714,86.22727272727273,27.363636363636363,58.86363636363637,56.95454545454545,1.9090909090909092,7,105.5,47,58.5,Bibee-di-Bobbidi-Boo,10.5,48,67.13636363636364,29.90909090909091,37.22727272727273,30.545454545454547,6.681818181818182,1,7,1
6,60,30,30,The Novaks,1,2,5.5,24.5,1.5714285714285714,38.18181818181818,19.09090909090909,19.09090909090909,15.590909090909092,3.5,14,86.5,32,54.5,Top Gunner: Henderson,11,43.5,55.04545454545455,20.363636363636363,34.68181818181818,27.681818181818183,7,12,10,9
12,72,27.5,44.5,Blasphemous Hot Takes,1,3,0,44.5,1.5714285714285714,45.81818181818182,17.5,28.318181818181817,28.318181818181817,0,4,94,75.5,18.5,All That is Wright,-9.5,28,59.81818181818182,48.04545454545455,11.772727272727273,17.818181818181817,-6.045454545454546,10,11,7
1,69,49,20,The Talmudic Tunnelers,1,4,3,17,1.5714285714285714,43.90909090909091,31.181818181818183,12.727272727272727,10.818181818181818,1.9090909090909092,13,97,58.5,38.5,Ketel Bells,13.5,25,61.72727272727273,37.22727272727273,24.5,15.909090909090908,8.590909090909092,11,4,11
8,93.5,7.5,86,Mt. Everest Taquito Farmers,1,5,11,75,1.5714285714285714,59.5,4.7727272727272725,54.72727272727273,47.72727272727273,7,9,98.5,44.5,54,Book of Boba Chette,9.5,44.5,62.68181818181818,28.318181818181817,34.36363636363637,28.318181818181817,6.045454545454546,6,12,2
5,92,37,55,The Traveling Secretaries,1,6,7,48,1.5714285714285714,58.54545454545455,23.545454545454547,35,30.545454545454547,4.454545454545454,2,86.5,66,20.5,Tucker? I hardly know her,21,-0.5,55.04545454545455,42,13.045454545454545,-0.3181818181818182,13.363636363636363,7,8,4
7,NA,NA,NA,Bibee-di-Bobbidi-Boo,2,7,NA,NA,1,NA,NA,NA,NA,NA,14,NA,NA,NA,Top Gunner: Henderson,NA,NA,NA,NA,NA,NA,NA,1,1,1
4,NA,NA,NA,All That is Wright,2,8,NA,NA,1,NA,NA,NA,NA,NA,11,NA,NA,NA,The West Bank Occupiers,NA,NA,NA,NA,NA,NA,NA,2,2,2
13,NA,NA,NA,Ketel Bells,2,9,NA,NA,1,NA,NA,NA,NA,NA,6,NA,NA,NA,The Novaks,NA,NA,NA,NA,NA,NA,NA,3,3,3
9,NA,NA,NA,Book of Boba Chette,2,10,NA,NA,1,NA,NA,NA,NA,NA,12,NA,NA,NA,Blasphemous Hot Takes,NA,NA,NA,NA,NA,NA,NA,4,4,4
2,NA,NA,NA,Tucker? I hardly know her,2,11,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,The Talmudic Tunnelers,NA,NA,NA,NA,NA,NA,NA,5,5,5
5,NA,NA,NA,The Traveling Secretaries,2,12,NA,NA,1,NA,NA,NA,NA,NA,8,NA,NA,NA,Mt. Everest Taquito Farmers,NA,NA,NA,NA,NA,NA,NA,6,6,6
