team_id,schedule_id,n_win,n_loss
1,1,7.5,8.5
1,2,11,5
1,4,7,9
1,5,8,8
1,6,8,8
1,7,7,9
1,8,8,8
1,9,8,8
1,11,8,8
1,12,7.5,8.5
1,13,10,6
1,14,9,7
2,1,5,11
2,2,6,10
2,4,5.5,10.5
2,5,7,9
2,6,6,10
2,7,5,11
2,8,3,13
2,9,6,10
2,11,7,9
2,12,4,12
2,13,6,10
2,14,6,10
4,1,11,5
4,2,13,3
4,4,13,3
4,5,12,4
4,6,10,6
4,7,9,7
4,8,12,4
4,9,12,4
4,11,14,2
4,12,12,4
4,13,12,4
4,14,11,5
5,1,9,7
5,2,11,5
5,4,10.5,5.5
5,5,9,7
5,6,9,7
5,7,8,8
5,8,9,7
5,9,10,6
5,11,8,8
5,12,7,9
5,13,12,4
5,14,12,4
6,1,9,7
6,2,11,5
6,4,9,7
6,5,13,3
6,6,9,7
6,7,7.5,8.5
6,8,11,5
6,9,9,7
6,11,9,7
6,12,9,7
6,13,10,6
6,14,10,6
7,1,7,9
7,2,9,7
7,4,6,10
7,5,7,9
7,6,8,8
7,7,7,9
7,8,8,8
7,9,9,7
7,11,7,9
7,12,5,11
7,13,8,8
7,14,10,6
8,1,8,8
8,2,7,9
8,4,8,8
8,5,8,8
8,6,8,8
8,7,6,10
8,8,7,9
8,9,7.5,8.5
8,11,7,9
8,12,7,9
8,13,7,9
8,14,5,11
9,1,6,10
9,2,8,8
9,4,8,8
9,5,9,7
9,6,8,8
9,7,5,11
9,8,8,8
9,9,7,9
9,11,10,6
9,12,7,9
9,13,11,5
9,14,9,7
11,1,7.5,8.5
11,2,12,4
11,4,9,7
11,5,11,5
11,6,10,6
11,7,9,7
11,8,6,10
11,9,8,8
11,11,10,6
11,12,7,9
11,13,10,6
11,14,10,6
12,1,8.5,7.5
12,2,8,8
12,4,6,10
12,5,6,10
12,6,8,8
12,7,6,10
12,8,9,7
12,9,6,10
12,11,8,8
12,12,4.5,11.5
12,13,10,6
12,14,9,7
13,1,7,9
13,2,10,6
13,4,5,11
13,5,6,10
13,6,6.5,9.5
13,7,8,8
13,8,6,10
13,9,8,8
13,11,8,8
13,12,4,12
13,13,9,7
13,14,8,8
14,1,4,12
14,2,6,10
14,4,1,15
14,5,7,9
14,6,5,11
14,7,3,13
14,8,4,12
14,9,5,11
14,11,4,12
14,12,4,12
14,13,8,8
14,14,7,9
