season,matchup_id,team_id,team_score,opp_id,opp_score
2015,1,2,334,1,359
2015,1,11,288.5,3,157.5
2015,1,5,258,4,322.5
2015,1,7,247,6,368
2015,1,12,262,8,278.5
2015,1,10,327.5,9,236
2015,2,1,293,3,322
2015,2,4,364,2,277.5
2015,2,5,251.5,11,238
2015,2,6,322.5,8,156.5
2015,2,9,268,7,377
2015,2,10,265.5,12,333
2015,3,4,338.5,1,290.5
2015,3,3,203.5,5,278
2015,3,2,306,11,286.5
2015,3,9,291.5,6,359.5
2015,3,8,294.5,10,250
2015,3,7,337,12,330
2015,4,1,397.5,5,285
2015,4,11,318.5,4,284
2015,4,2,209,3,367.5
2015,4,6,372.5,10,362.5
2015,4,12,296,9,242.5
2015,4,7,289.5,8,244.5
2015,5,11,244,1,324.5
2015,5,5,231.5,2,305.5
2015,5,4,332.5,3,483
2015,5,12,381,6,281.5
2015,5,10,204,7,264
2015,5,9,402.5,8,261.5
2015,6,1,271,6,359
2015,6,2,357.5,7,293
2015,6,3,424.5,8,347.5
2015,6,4,288.5,9,270.5
2015,6,5,417.5,10,345
2015,6,11,296,12,280
2015,7,6,336,2,254
2015,7,7,323,3,317
2015,7,8,268,4,249.5
2015,7,9,276,5,309.5
2015,7,10,271,11,308
2015,7,12,297.5,1,283
2015,8,3,452.5,6,417
2015,8,4,351,7,269
2015,8,5,281,8,347
2015,8,11,337.5,9,321.5
2015,8,1,320.5,10,277
2015,8,2,273,12,369.5
2015,9,6,374,4,306.5
2015,9,7,285,5,388
2015,9,8,240.5,11,265
2015,9,9,270,1,266.5
2015,9,10,250,2,282
2015,9,12,411.5,3,235.5
2015,10,5,311.5,6,382
2015,10,11,260.5,7,263
2015,10,1,214.5,8,388.5
2015,10,2,287,9,245.5
2015,10,3,255,10,374.5
2015,10,4,231,12,226.5
2015,11,6,397,11,277
2015,11,7,387,1,278
2015,11,8,311,2,329
2015,11,9,343,3,269.5
2015,11,10,375,4,352
2015,11,12,269,5,302.5
2015,12,1,214,2,337
2015,12,3,336.5,11,265
2015,12,4,293,5,309.5
2015,12,6,326,7,234.5
2015,12,8,258,12,245.5
2015,12,9,404,10,292
2015,13,3,275.5,1,331.5
2015,13,2,367,4,320.5
2015,13,11,220.5,5,258
2015,13,8,338,6,376.5
2015,13,7,304,9,337
2015,13,12,289,10,324.5
2015,14,1,417,4,312
2015,14,5,316,3,242
2015,14,11,350,2,276.5
2015,14,6,333.5,9,200
2015,14,10,357,8,250
2015,14,12,264,7,382
2015,15,5,394.5,1,435.5
2015,15,4,548,11,348.5
2015,15,3,502,2,531
2015,15,10,509,6,516.5
2015,15,9,356,12,462
2015,15,8,359.5,7,498.5
2015,16,1,374,11,264
2015,16,2,325,5,241
2015,16,3,300.5,4,243
2015,16,6,323.5,12,337
2015,16,7,252.5,10,447
2015,16,8,370,9,286.5
2015,17,1,340.5,6,329
2015,17,2,289,7,358
2015,17,3,364,8,249
2015,17,4,284,9,243
2015,17,5,225,10,324
2015,17,11,241,12,354
2015,18,6,376.5,2,294
2015,18,7,319.5,3,339.5
2015,18,8,216.5,4,264
2015,18,9,305.5,5,330
2015,18,10,209.5,11,239
2015,18,12,339.5,1,357.5
2015,19,3,403,6,405
2015,19,4,238.5,7,338
2015,19,5,267,8,207.5
2015,19,11,209.5,9,228.5
2015,19,1,279,10,319
2015,19,2,341.5,12,379.5
2015,20,6,329,4,327.5
2015,20,7,373.5,5,330
2015,20,8,263.5,11,253.5
2015,20,9,246.5,1,352.5
2015,20,10,365,2,346.5
2015,20,12,290.5,3,419
2015,21,5,358,6,350.5
2015,21,11,183,7,285.5
2015,21,1,318,8,236.5
2015,21,2,316,9,264
2015,21,3,319,10,300
2015,21,4,288.5,12,275
2015,22,6,596,5,500
2015,22,1,564.5,7,700
2015,23,6,714.5,7,645
2015,23,1,538.5,5,472
2015,1,1,359,2,334
2015,1,3,157.5,11,288.5
2015,1,4,322.5,5,258
2015,1,6,368,7,247
2015,1,8,278.5,12,262
2015,1,9,236,10,327.5
2015,2,3,322,1,293
2015,2,2,277.5,4,364
2015,2,11,238,5,251.5
2015,2,8,156.5,6,322.5
2015,2,7,377,9,268
2015,2,12,333,10,265.5
2015,3,1,290.5,4,338.5
2015,3,5,278,3,203.5
2015,3,11,286.5,2,306
2015,3,6,359.5,9,291.5
2015,3,10,250,8,294.5
2015,3,12,330,7,337
2015,4,5,285,1,397.5
2015,4,4,284,11,318.5
2015,4,3,367.5,2,209
2015,4,10,362.5,6,372.5
2015,4,9,242.5,12,296
2015,4,8,244.5,7,289.5
2015,5,1,324.5,11,244
2015,5,2,305.5,5,231.5
2015,5,3,483,4,332.5
2015,5,6,281.5,12,381
2015,5,7,264,10,204
2015,5,8,261.5,9,402.5
2015,6,6,359,1,271
2015,6,7,293,2,357.5
2015,6,8,347.5,3,424.5
2015,6,9,270.5,4,288.5
2015,6,10,345,5,417.5
2015,6,12,280,11,296
2015,7,2,254,6,336
2015,7,3,317,7,323
2015,7,4,249.5,8,268
2015,7,5,309.5,9,276
2015,7,11,308,10,271
2015,7,1,283,12,297.5
2015,8,6,417,3,452.5
2015,8,7,269,4,351
2015,8,8,347,5,281
2015,8,9,321.5,11,337.5
2015,8,10,277,1,320.5
2015,8,12,369.5,2,273
2015,9,4,306.5,6,374
2015,9,5,388,7,285
2015,9,11,265,8,240.5
2015,9,1,266.5,9,270
2015,9,2,282,10,250
2015,9,3,235.5,12,411.5
2015,10,6,382,5,311.5
2015,10,7,263,11,260.5
2015,10,8,388.5,1,214.5
2015,10,9,245.5,2,287
2015,10,10,374.5,3,255
2015,10,12,226.5,4,231
2015,11,11,277,6,397
2015,11,1,278,7,387
2015,11,2,329,8,311
2015,11,3,269.5,9,343
2015,11,4,352,10,375
2015,11,5,302.5,12,269
2015,12,2,337,1,214
2015,12,11,265,3,336.5
2015,12,5,309.5,4,293
2015,12,7,234.5,6,326
2015,12,12,245.5,8,258
2015,12,10,292,9,404
