team_home,team_away,day_of_matchup,days_left,score_diff,starts_left_home,starts_left_away,start_advantage,win_prob,win_prob_lr
The West Bank Occupiers,Yu Suck,0,14,0,16,16,0,0.5724456877898689,0.49812692435459077
The West Bank Occupiers,Yu Suck,1,13,23.5,15,15,0,0.7061434763238711,0.7596163836945508
The West Bank Occupiers,Yu Suck,2,12,24.5,14,15,-1,0.6823364076496268,0.6376544522648573
The West Bank Occupiers,Yu Suck,3,11,7,14,11,3,0.6925659981662489,0.7654875950487733
The West Bank Occupiers,Yu Suck,4,10,16.5,13,11,2,0.7147203919752895,0.7876958834451732
The West Bank Occupiers,Yu Suck,5,9,-8.5,12,11,1,0.5318475488302308,0.5117467659101872
The West Bank Occupiers,Yu Suck,6,8,-23.5,9,9,0,0.39763885640927055,0.23765807866195315
The West Bank Occupiers,Yu Suck,7,7,-28,8,8,0,0.3569748909087835,0.19983591179641963
The West Bank Occupiers,Yu Suck,8,6,1,7,7,0,0.548374686787742,0.5104452875764055
The West Bank Occupiers,Yu Suck,9,5,5.5,6,7,-1,0.5344950775599987,0.4563646814706478
The West Bank Occupiers,Yu Suck,10,4,-68.5,6,4,2,0.17692938849245407,0.13476782068187473
The West Bank Occupiers,Yu Suck,11,3,-85.5,6,3,3,0.08342098258537838,0.10176648013804299
The West Bank Occupiers,Yu Suck,12,2,-81.5,4,2,2,0.07859823753650474,0.08751590898495865
The West Bank Occupiers,Yu Suck,13,1,-89,3,2,1,0.018009627889967274,0.04359724167784576
The West Bank Occupiers,Yu Suck,14,0,-58.5,1,2,-1,0,0.06487366083022755
Blasphemous Hot Takes,Haders Gonna Hate,0,14,0,16,16,0,0.4256490447418907,0.49812692435459077
Blasphemous Hot Takes,Haders Gonna Hate,1,13,9,14,15,-1,0.45680194410562336,0.4903420464634805
Blasphemous Hot Takes,Haders Gonna Hate,2,12,16,12,15,-3,0.42958755596053383,0.4099544338172563
Blasphemous Hot Takes,Haders Gonna Hate,3,11,55,11,14,-3,0.6643595813967063,0.7406421300059923
Blasphemous Hot Takes,Haders Gonna Hate,4,10,86.5,9,14,-5,0.7614840908067202,0.9067067718589185
Blasphemous Hot Takes,Haders Gonna Hate,5,9,-0.5,8,8,0,0.4398760999349517,0.4919676607389063
Blasphemous Hot Takes,Haders Gonna Hate,6,8,-61,8,8,0,0.09542496597119897,0.04681765016658748
Blasphemous Hot Takes,Haders Gonna Hate,7,7,-68,7,7,0,0.06403481987769237,0.03361782568965505
Blasphemous Hot Takes,Haders Gonna Hate,8,6,-14,6,7,-1,0.32149914526956774,0.2819823634633172
Blasphemous Hot Takes,Haders Gonna Hate,9,5,-38,5,6,-1,0.15011689351298774,0.13358573547494224
Blasphemous Hot Takes,Haders Gonna Hate,10,4,-60,3,3,0,0.080984982575877,0.04906655711881067
Blasphemous Hot Takes,Haders Gonna Hate,11,3,-60,2,2,0,0.05575972172210961,0.04906655711881067
Blasphemous Hot Takes,Haders Gonna Hate,12,2,-45.5,1,1,0,0.06681271934883826,0.09537425316878292
Blasphemous Hot Takes,Haders Gonna Hate,13,1,-66.5,0,0,0,0.012758671541265448,0.03610386653816422
Blasphemous Hot Takes,Haders Gonna Hate,14,0,-108,0,0,0,0,0.004822226536959244
The Novaks,Yosemite Yeshivas,0,14,0,16,16,0,0.49787619419282203,0.49812692435459077
The Novaks,Yosemite Yeshivas,1,13,-9,16,15,1,0.4846622538993445,0.5068802001226376
The Novaks,Yosemite Yeshivas,2,12,29.5,13,14,-1,0.6310576344090394,0.6813501837639468
The Novaks,Yosemite Yeshivas,3,11,-13,12,11,1,0.4549792162488808,0.46797817543690895
The Novaks,Yosemite Yeshivas,4,10,22.5,11,11,0,0.6382220581569222,0.7505032198617593
The Novaks,Yosemite Yeshivas,5,9,-6.5,11,8,3,0.5991039476899526,0.6665264179846746
The Novaks,Yosemite Yeshivas,6,8,21,11,8,3,0.7028678620011131,0.8444422305377918
The Novaks,Yosemite Yeshivas,7,7,9,11,7,4,0.6617781961902504,0.6881121818942446
The Novaks,Yosemite Yeshivas,8,6,14.5,7,7,0,0.5841783731893184,0.6697515098827493
The Novaks,Yosemite Yeshivas,9,5,18,6,4,2,0.741843469896592,0.7969019808306161
The Novaks,Yosemite Yeshivas,10,4,42.5,5,3,2,0.8968102009314086,0.9072830832092889
The Novaks,Yosemite Yeshivas,11,3,-42,5,1,4,0.39177210527536444,0.29759610682115784
The Novaks,Yosemite Yeshivas,12,2,-50.5,5,1,4,0.284162413543638,0.24346333476988682
The Novaks,Yosemite Yeshivas,13,1,-100,4,0,4,0.03284228220562255,0.06092037632962642
The Novaks,Yosemite Yeshivas,14,0,-62.5,0,0,0,0,0.04362727004206133
Ryan Germany Marquez,Mother of All Bohms,0,14,0,16,16,0,0.5459070976114101,0.49812692435459077
Ryan Germany Marquez,Mother of All Bohms,1,13,22,14,13,1,0.7248546510950835,0.7746679335912622
Ryan Germany Marquez,Mother of All Bohms,2,12,66.5,12,12,0,0.9035201037219646,0.9633710207002766
Ryan Germany Marquez,Mother of All Bohms,3,11,70.5,12,12,0,0.9186029798106851,0.969725790777058
Ryan Germany Marquez,Mother of All Bohms,4,10,66,12,12,0,0.8893945297771217,0.9624915526179083
Ryan Germany Marquez,Mother of All Bohms,5,9,17,11,10,1,0.6858705410733665,0.7388746188952751
Ryan Germany Marquez,Mother of All Bohms,6,8,26,10,10,0,0.7103134635615856,0.7813885229470883
Ryan Germany Marquez,Mother of All Bohms,7,7,43,9,7,2,0.8598036083557454,0.9088400766145418
Ryan Germany Marquez,Mother of All Bohms,8,6,64,8,7,1,0.918994459795763,0.9463741048565005
