matchup_id,game_id,home_team_id,away_team_id,home_team,away_team
1,1,5,7,The Traveling Secretaries,All Walshed Up
1,2,6,12,The Novaks,Blasphemous Hot Takes
1,3,11,4,The West Bank Occupiers ,All That is Wright
1,4,2,13,Framber Valdez Oil Spill,Springer Bell
1,5,8,9,Mt. Everest Taquito Farmers,Of Bryce and Men
1,6,1,14,Yosemite Yeshivas,Freedom of the Pressly
2,7,7,12,All Walshed Up,Blasphemous Hot Takes
2,8,4,5,All That is Wright,The Traveling Secretaries
2,9,11,6,The West Bank Occupiers ,The Novaks
2,10,13,9,Springer Bell,Of Bryce and Men
2,11,14,2,Freedom of the Pressly,Framber Valdez Oil Spill
2,12,1,8,Yosemite Yeshivas,Mt. Everest Taquito Farmers
3,13,4,7,All That is Wright,All Walshed Up
3,14,12,11,Blasphemous Hot Takes,The West Bank Occupiers 
3,15,5,6,The Traveling Secretaries,The Novaks
3,16,14,13,Freedom of the Pressly,Springer Bell
3,17,9,1,Of Bryce and Men,Yosemite Yeshivas
3,18,2,8,Framber Valdez Oil Spill,Mt. Everest Taquito Farmers
4,19,7,11,All Walshed Up,The West Bank Occupiers 
4,20,6,4,The Novaks,All That is Wright
4,21,5,12,The Traveling Secretaries,Blasphemous Hot Takes
4,22,13,1,Springer Bell,Yosemite Yeshivas
4,23,8,14,Mt. Everest Taquito Farmers,Freedom of the Pressly
4,24,2,9,Framber Valdez Oil Spill,Of Bryce and Men
5,25,6,7,The Novaks,All Walshed Up
5,26,11,5,The West Bank Occupiers ,The Traveling Secretaries
5,27,4,12,All That is Wright,Blasphemous Hot Takes
5,28,8,13,Mt. Everest Taquito Farmers,Springer Bell
5,29,1,2,Yosemite Yeshivas,Framber Valdez Oil Spill
5,30,14,9,Freedom of the Pressly,Of Bryce and Men
6,31,7,13,All Walshed Up,Springer Bell
6,32,5,2,The Traveling Secretaries,Framber Valdez Oil Spill
6,33,12,9,Blasphemous Hot Takes,Of Bryce and Men
6,34,4,14,All That is Wright,Freedom of the Pressly
6,35,11,1,The West Bank Occupiers ,Yosemite Yeshivas
6,36,6,8,The Novaks,Mt. Everest Taquito Farmers
7,37,13,5,Springer Bell,The Traveling Secretaries
7,38,2,12,Framber Valdez Oil Spill,Blasphemous Hot Takes
7,39,9,4,Of Bryce and Men,All That is Wright
7,40,14,11,Freedom of the Pressly,The West Bank Occupiers 
7,41,1,6,Yosemite Yeshivas,The Novaks
7,42,8,7,Mt. Everest Taquito Farmers,All Walshed Up
8,43,12,13,Blasphemous Hot Takes,Springer Bell
8,44,4,2,All That is Wright,Framber Valdez Oil Spill
8,45,11,9,The West Bank Occupiers ,Of Bryce and Men
8,46,6,14,The Novaks,Freedom of the Pressly
8,47,7,1,All Walshed Up,Yosemite Yeshivas
8,48,5,8,The Traveling Secretaries,Mt. Everest Taquito Farmers
9,49,13,4,Springer Bell,All That is Wright
