team_ix,matchup_id,player,player_id,n_games,n_points,team_id
1,1,Eduardo Escobar,30272,9,27.5,5
1,1,Frankie Montas,33249,NA,27.5,5
1,1,Wander Franco,40929,10,35,5
1,1,Ian Happ,34945,8,18.5,5
1,1,Daulton Varsho,40963,9,13.5,5
1,1,Randal Grichuk,31399,5,13.5,5
1,1,Ty France,35591,10,35,5
1,1,Eddie Rosario,31944,9,1.5,5
1,1,Aaron Nola,33709,NA,16,5
1,1,Mookie Betts,33039,8,16.5,5
1,1,Eric Hosmer,30993,10,22,5
1,1,Sonny Gray,32082,NA,9,5
1,1,Jeimer Candelario,32531,9,8,5
1,1,Paul Goldschmidt,31027,8,15,5
1,1,Kyle Hendricks,33173,NA,8,5
1,1,Josh Hader,32760,NA,28,5
1,1,Drew Rasmussen,42584,NA,12,5
1,1,Cody Bellinger,33912,9,19,5
1,1,Rhys Hoskins,35291,10,24,5
1,1,Adam Wainwright,5403,NA,26.5,5
1,1,Chris Bassitt,33148,NA,51,5
1,1,Kenley Jansen,29630,NA,13.5,5
2,1,Corey Kluber,30981,NA,14,6
2,1,Corbin Burnes,39878,NA,37,6
2,1,Carlos Santana,30280,6,5.5,6
2,1,Rowan Wick,34190,NA,0,6
2,1,Patrick Sandoval,40975,NA,13.5,6
2,1,Aaron Hicks,31253,8,10,6
2,1,Max Muncy,33303,9,22.5,6
2,1,Brandon Lowe,39961,10,29,6
2,1,J.D. Martinez,31065,9,24.5,6
2,1,Zack Wheeler,31267,NA,-0.5,6
2,1,Eduardo Rodriguez,32675,NA,8.5,6
2,1,Tommy Pham,31208,7,5,6
2,1,Alex Wood,32620,NA,9,6
2,1,Jeff McNeil,33900,9,27,6
2,1,Jake Diekman,32178,NA,11.5,6
2,1,Noah Syndergaard,31730,NA,31.5,6
2,1,Corey Seager,32691,8,23.5,6
2,1,Marcell Ozuna,31668,11,38.5,6
2,1,Mark Canha,31670,6,14,6
2,1,Gary Sanchez,31095,7,12.5,6
2,1,Camilo Doval,41337,NA,11.5,6
2,1,Manny Machado,31097,11,35.5,6
2,1,Josh Donaldson,29563,10,12.5,6
2,1,Jarred Kelenic,41150,9,14.5,6
2,1,Dylan Cease,34943,NA,36.5,6
2,1,Jonathan Loaisiga,39807,NA,4.5,6
3,1,Nestor Cortes,36480,NA,38.5,11
3,1,Brendan Rodgers,35073,3,-1,11
3,1,Chris Taylor,32900,8,22,11
3,1,Yusei Kikuchi,41415,NA,1.5,11
3,1,Randy Arozarena,36488,9,12,11
3,1,Brandon Woodruff,37515,NA,4,11
3,1,Jake Cronenworth,36364,11,23.5,11
3,1,Jorge Polanco,32525,9,18.5,11
3,1,Brad Miller,32206,1,0,11
3,1,Carlos Hernandez,41233,NA,-1,11
3,1,Kyle Higashioka,30545,4,-1.5,11
3,1,Kris Bryant,33172,9,25.5,11
3,1,Carlos Rodon,33696,NA,50,11
3,1,Yadier Molina,5986,1,-1,11
3,1,Wilmer Flores,30627,7,19.5,11
3,1,Aaron Civale,40934,NA,9.5,11
3,1,Yuli Gurriel,36006,5,2.5,11
3,1,Jose Berrios,32811,NA,-5.5,11
3,1,Cristian Javier,41261,NA,19,11
3,1,Trea Turner,33710,6,17,11
3,1,Christian Yelich,31283,9,18,11
3,1,Jonathan Schoop,31988,7,13.5,11
3,1,Hunter Renfroe,33205,9,9.5,11
3,1,Yu Darvish,32055,NA,30,11
3,1,Alex Verdugo,33786,9,31.5,11
3,1,Javier Baez,32127,5,13,11
4,1,Marco Gonzales,33158,NA,21.5,2
4,1,Mark Melancon,29446,NA,9.5,2
4,1,Gleyber Torres,33804,10,10,2
4,1,Shane Bieber,40912,NA,27.5,2
4,1,Luis Arraez,39572,8,17,2
4,1,Salvador Perez,31127,8,16.5,2
4,1,Nathaniel Lowe,40538,9,22.5,2
4,1,Jordan Romano,36380,NA,38.5,2
4,1,Sean Manaea,33244,NA,52.5,2
4,1,Brandon Nimmo,32159,6,25,2
4,1,Tim Anderson,33184,7,26.5,2
4,1,Ji-Man Choi,31779,2,8.5,2
4,1,Chris Flexen,36067,NA,18,2
4,1,Kyle Wright,39652,NA,14.5,2
4,1,Framber Valdez,36581,NA,33.5,2
4,1,Seiya Suzuki,4142424,9,48.5,2
4,1,Aaron Judge,33192,10,21,2
4,1,Jorge Soler,32558,9,14.5,2
4,1,Jose Altuve,31662,8,11,2
4,1,Shane McClanahan,41199,NA,27,2
4,1,Mike Moustakas,29999,5,2,2
4,1,Joey Gallo,32818,9,5.5,2
4,1,Joey Wendle,33017,3,6,2
4,1,Blake Treinen,32185,NA,13,2
4,1,Robinson Cano,6204,3,6.5,2
4,1,Travis d'Arnaud,29951,5,11.5,2
4,1,Matt Olson,32767,11,41,2
5,1,Bailey Ober,3107919,NA,27.5,8
5,1,Ketel Marte,32512,9,12.5,8
5,1,Myles Straw,39105,9,38,8
5,1,Anthony Rendon,32098,8,10.5,8
5,1,Logan Gilbert,41221,NA,31,8
5,1,Zac Gallen,39910,NA,11.5,8
5,1,Alex Bregman,34886,9,25.5,8
5,1,Julio Urias,33223,NA,11,8
5,1,David Peralta,33384,9,11.5,8
5,1,Liam Hendriks,31755,NA,15.5,8
5,1,Keibert Ruiz,38827,8,10,8
