player,player_id,team_from,team_to,scoring_period_id,trade_id
AJ Pollock,30699,9,12,21,1
Stephen Strasburg,30373,12,9,21,1
Jeff McNeil,33900,6,1,35,2
Jesse Winker,32833,1,6,35,2
Noah Syndergaard,31730,6,1,35,2
Adam Frazier,33546,9,14,34,3
Charlie Blackmon,31084,9,14,34,3
Daniel Bard,30158,14,9,34,3
DJ LeMahieu,30765,14,9,34,3
Brandon Nimmo,32159,2,11,41,4
Brandon Woodruff,37515,11,2,41,4
Joey Gallo,32818,2,11,41,4
Aaron Judge,33192,2,1,50,5
Juan Soto,36969,1,2,50,5
Michael King,40429,1,2,50,5
Nolan Arenado,31261,1,2,50,5
Sean Manaea,33244,2,1,50,5
Tim Anderson,33184,2,1,50,5
Luis Castillo,35124,4,6,50,6
Marcell Ozuna,31668,6,4,50,6
