team_home,team_away,day_of_matchup,days_left,score_diff,starts_left_home,starts_left_away,start_advantage,win_prob,win_prob_lr
Whats that Odor?,The  Lincoln Project,0,7,0,8,8,0,0.7681579720948156,0.49812692435459077
Whats that Odor?,The  Lincoln Project,1,6,-17,8,8,0,0.6605534134968751,0.3004312806649172
Whats that Odor?,The  Lincoln Project,2,5,13,7,8,-1,0.7698116771332384,0.529264446075738
Whats that Odor?,The  Lincoln Project,3,4,-11,7,7,0,0.4157242951705053,0.36596473947862507
Whats that Odor?,The  Lincoln Project,4,3,70,5,7,-2,0.8803303097449114,0.8687912696413052
Whats that Odor?,The  Lincoln Project,5,2,139.5,3,6,-3,0.9950053339834956,0.9838858274797334
Whats that Odor?,The  Lincoln Project,6,1,116,2,5,-3,0.9867909034449445,0.9630346697363191
Whats that Odor?,The  Lincoln Project,7,0,119.5,2,4,-2,1,0.9765107557622184
Ryan Germany Marquez,The West Bank Occupiers,0,7,0,8,8,0,0.3355297937555122,0.49812692435459077
Ryan Germany Marquez,The West Bank Occupiers,1,6,-30.5,8,6,2,0.30322636776490064,0.3912578430435581
Ryan Germany Marquez,The West Bank Occupiers,2,5,9,8,5,3,0.5538560050767382,0.7782797306983268
Ryan Germany Marquez,The West Bank Occupiers,3,4,-13.5,5,4,1,0.48306673506610076,0.46313302416168034
Ryan Germany Marquez,The West Bank Occupiers,4,3,-22,3,4,-1,0.2124142007787408,0.22334019182094997
Ryan Germany Marquez,The West Bank Occupiers,5,2,17,2,4,-2,0.4539928422399802,0.48083084266521264
Ryan Germany Marquez,The West Bank Occupiers,6,1,-29,1,1,0,0.1294065076418108,0.19207244199807894
Ryan Germany Marquez,The West Bank Occupiers,7,0,-2.5,0,1,-1,0,0.3806846829199322
Yu Suck,The Novaks,0,7,0,8,8,0,0.5088460183686923,0.49812692435459077
Yu Suck,The Novaks,1,6,20.5,8,8,0,0.6424076576194939,0.7315967178154871
Yu Suck,The Novaks,2,5,100.5,6,8,-2,0.9380930563502308,0.9535706742072078
Yu Suck,The Novaks,3,4,27.5,6,5,1,0.7565005510570681,0.8098543730984511
Yu Suck,The Novaks,4,3,44,4,1,3,0.9450112005027226,0.9260340432088031
Yu Suck,The Novaks,5,2,149.5,2,1,1,0.9989196709175097,0.9979757274703925
Yu Suck,The Novaks,6,1,142,1,0,1,0.9988646896850341,0.9972908863112423
Yu Suck,The Novaks,7,0,159,0,0,0,1,0.999601720786075
Haders Gonna Hate,Place Your Betts,0,7,0,8,8,0,0.7912500636297386,0.49812692435459077
Haders Gonna Hate,Place Your Betts,1,6,49.5,6,7,-1,0.8876622655813332,0.8233375444136236
Haders Gonna Hate,Place Your Betts,2,5,27.5,4,4,0,0.8717720486646017,0.7937526593233745
Haders Gonna Hate,Place Your Betts,3,4,8.5,3,3,0,0.5882407663346054,0.6014196863178021
Haders Gonna Hate,Place Your Betts,4,3,32,3,3,0,0.7975977642296822,0.8277057324643287
Haders Gonna Hate,Place Your Betts,5,2,45,1,2,-1,0.7955987838279002,0.7963796009106606
Haders Gonna Hate,Place Your Betts,6,1,53,0,2,-2,0.8546516081208658,0.7789193711736488
Haders Gonna Hate,Place Your Betts,7,0,52,0,0,0,1,0.9279117235699905
Yosemite Yeshivas,Mother of All Bohms,0,7,0,8,8,0,0.5816382253177088,0.49812692435459077
Yosemite Yeshivas,Mother of All Bohms,1,6,-0.5,8,8,0,0.5499473537115019,0.4919676607389063
Yosemite Yeshivas,Mother of All Bohms,2,5,17.5,7,4,3,0.8243439123768584,0.826997481653579
Yosemite Yeshivas,Mother of All Bohms,3,4,24,7,3,4,0.8377037965551413,0.7818748768644515
Yosemite Yeshivas,Mother of All Bohms,4,3,34,6,3,3,0.8957254772389799,0.8969680691782976
Yosemite Yeshivas,Mother of All Bohms,5,2,88,3,3,0,0.9879570097774729,0.986992156923002
Yosemite Yeshivas,Mother of All Bohms,6,1,110,1,2,-1,0.9932121467650916,0.9800823259595974
Yosemite Yeshivas,Mother of All Bohms,7,0,85.5,1,1,0,1,0.9853117565262937
Mt. Everest Taquito Farmers,Blasphemous Hot Takes,0,7,0,8,8,0,0.19910160865242393,0.49812692435459077
Mt. Everest Taquito Farmers,Blasphemous Hot Takes,1,6,34.5,7,8,-1,0.4508211274018815,0.7220732664420855
Mt. Everest Taquito Farmers,Blasphemous Hot Takes,2,5,41,6,8,-2,0.4505009980228518,0.6929644799366466
Mt. Everest Taquito Farmers,Blasphemous Hot Takes,3,4,-69,6,4,2,0.17633405961220625,0.13260787912334815
Mt. Everest Taquito Farmers,Blasphemous Hot Takes,4,3,-83.5,6,3,3,0.08696138338263518,0.10860363026537924
Mt. Everest Taquito Farmers,Blasphemous Hot Takes,5,2,-135.5,6,1,5,0.006030781612836645,0.020155485016819467
Mt. Everest Taquito Farmers,Blasphemous Hot Takes,6,1,-136,6,1,5,0.00546042563799792,0.01983846437353757
Mt. Everest Taquito Farmers,Blasphemous Hot Takes,7,0,-86,4,1,3,0,0.1001178752799175
