team_ix,matchup_id,player,player_id,n_games,n_points,team_id
1,1,Carlos Rodon,33696,NA,8.5,1
1,1,Francisco Lindor,32129,3,0,1
1,1,Frankie Montas,33249,NA,23,1
1,1,Matt Chapman,33857,4,21,1
1,1,Yoshinobu Yamamoto,4872587,NA,7.5,1
1,1,Aaron Civale,40934,NA,22.5,1
1,1,Willy Adames,33675,1,0,1
1,1,Carlos Estevez,34861,NA,6,1
1,1,Cristian Javier,41261,NA,24.5,1
1,1,Byron Buxton,32655,3,9.5,1
1,1,Mookie Betts,33039,6,48,1
1,1,Jack Suwinski,36754,4,4.5,1
1,1,Wyatt Langford,4719324,3,10,1
1,1,Julio Rodriguez,41044,4,4.5,1
1,1,Jordan Hicks,37909,NA,17,1
1,1,Trevor Story,32150,4,1.5,1
1,1,Salvador Perez,31127,3,11.5,1
1,1,Jackson Merrill,4872691,1,2.5,1
1,1,Alex Verdugo,33786,4,3,1
1,1,Cedric Mullins,35578,3,10.5,1
1,1,Rhys Hoskins,35291,3,11,1
1,1,Nolan Arenado,31261,4,4,1
1,1,Kenley Jansen,29630,NA,7.5,1
1,1,David Bednar,38303,NA,0,1
2,1,Joe Musgrove,34848,NA,-5.5,2
2,1,Masyn Winn,4683365,3,3.5,2
2,1,Wilmer Flores,30627,4,8,2
2,1,Tyler Glasnow,33190,NA,33,2
2,1,Tarik Skubal,42409,NA,26,2
2,1,Luis Campusano,40521,2,8,2
2,1,Griffin Jax,42604,NA,10,2
2,1,Michael King,40429,NA,3.5,2
2,1,Jurickson Profar,31117,1,1.5,2
2,1,Jorge Soler,32558,4,6,2
2,1,Jordan Westburg,4298641,2,5.5,2
2,1,Ryan Pressly,33072,NA,1.5,2
2,1,Yuki Matsui,4142414,NA,4.5,2
2,1,Marcell Ozuna,31668,3,7,2
2,1,Kris Bryant,33172,3,-1,2
2,1,Anthony Santander,36084,3,19,2
2,1,Mike Trout,30836,3,4.5,2
2,1,Sean Murphy,33557,1,-0.5,2
2,1,Max Muncy,33303,6,17,2
2,1,Mason Miller,4730225,NA,-3.5,2
2,1,Ronald Acuna Jr.,36185,3,10,2
2,1,Brandon Lowe,39961,3,9,2
2,1,Edouard Julien,3985190,2,2,2
2,1,Vladimir Guerrero Jr.,35002,4,13.5,2
3,1,Gabriel Moreno,42464,1,0,8
3,1,Esteury Ruiz,39680,3,9.5,8
3,1,Bobby Witt Jr.,42403,3,18,8
3,1,Thairo Estrada,36485,4,11,8
3,1,Jackson Chourio,4917869,3,8.5,8
3,1,Christian Encarnacion-Strand,5012106,3,2,8
3,1,Zac Gallen,39910,NA,11.5,8
3,1,Nick Pivetta,36071,NA,28,8
3,1,Randy Arozarena,36488,4,19,8
3,1,Emmanuel Clase,41743,NA,4,8
3,1,Brayan Bello,4720856,NA,7.5,8
3,1,Adolis Garcia,35537,3,14.5,8
3,1,Joe Ryan,42450,NA,15.5,8
3,1,Ozzie Albies,33783,3,23,8
3,1,Cody Bellinger,33912,3,10.5,8
3,1,Jazz Chisholm Jr.,41433,4,15,8
3,1,Manny Machado,31097,6,28,8
3,1,Yainer Diaz,4781491,4,9.5,8
3,1,Tanner Bibee,4345278,NA,1.5,8
3,1,Tanner Scott,35135,NA,8.5,8
4,1,Spencer Steer,4722857,3,13,11
4,1,Oswaldo Cabrera,40835,2,5,11
4,1,Lance Lynn,30820,NA,12.5,11
4,1,Chris Taylor,32900,2,-1.5,11
4,1,Whit Merrifield,32422,2,2,11
4,1,Merrill Kelly,32968,NA,29,11
4,1,Yandy Diaz,33481,4,17.5,11
4,1,Tommy Henry,4423337,NA,-1,11
4,1,Taylor Ward,34923,3,13.5,11
4,1,Gunnar Henderson,42507,3,18.5,11
4,1,Jose Altuve,31662,4,15,11
4,1,Shane Bieber,40912,NA,29.5,11
4,1,Alec Bohm,41169,3,5,11
4,1,Austin Wells,4683349,2,7.5,11
4,1,David Robertson,29172,NA,3,11
4,1,Luis Arraez,39572,4,6,11
4,1,Ha-Seong Kim,4089862,6,23,11
4,1,Shohei Ohtani,39832,6,14,11
4,1,Camilo Doval,41337,NA,-3.5,11
4,1,Garrett Whitlock,39674,NA,17.5,11
4,1,Chas McCormick,40574,3,4,11
4,1,Kyle Finnegan,36543,NA,-2.5,11
5,1,Andres Gimenez,37729,4,23,14
5,1,Michael Harris II,42470,3,16.5,14
5,1,JP Sears,39818,NA,-5.5,14
5,1,Evan Carter,4917921,3,8.5,14
5,1,Grayson Rodriguez,41196,NA,25,14
5,1,Bryce Miller,4654313,NA,7,14
5,1,Trea Turner,33710,2,4.5,14
5,1,Connor Joe,35440,1,2,14
5,1,Yuki Matsui,4142414,NA,3,14
5,1,Jason Adam,32145,NA,7,14
5,1,Freddie Freeman,30193,6,19,14
5,1,Raisel Iglesias,33618,NA,3,14
5,1,Nick Castellanos,31187,3,5.5,14
5,1,Anthony Volpe,42547,3,14.5,14
5,1,Hunter Renfroe,33205,1,-0.5,14
5,1,Ezequiel Tovar,4905919,4,7,14
5,1,Luis Rengifo,37237,3,4.5,14
5,1,Elly De La Cruz,4917694,3,4.5,14
5,1,William Contreras,39895,3,6.5,14
5,1,Pablo Lopez,39671,NA,27,14
5,1,Kerry Carpenter,42714,3,10.5,14
5,1,Andrew Vaughn,42394,3,1.5,14
5,1,Kevin Gausman,32667,NA,14.5,14
6,1,Nestor Cortes,36480,NA,6,13
6,1,Rafael Devers,33859,1,8.5,13
6,1,Brooks Raley,32005,NA,5,13
6,1,Jarren Duran,41610,3,2.5,13
6,1,Vinnie Pasquantino,4109109,3,2.5,13
6,1,Steven Kwan,41996,4,20.5,13
6,1,Carlos Correa,32653,3,6.5,13
6,1,Alex Lange,40976,NA,0,13
6,1,Logan Allen,4683350,NA,6,13
6,1,Jonathan India,41171,3,9.5,13
6,1,Willson Contreras,32532,3,1.5,13
6,1,Graham Pauley,4622931,1,-0.5,13
6,1,Isaac Paredes,39706,4,6.5,13
6,1,Ryan McMahon,33247,4,9,13
6,1,Michael Soroka,34984,NA,-1.5,13
6,1,Aaron Judge,33192,4,2,13
6,1,Aroldis Chapman,30442,NA,11,13
6,1,Yordan Alvarez,36018,4,4,13
6,1,Jon Gray,33203,NA,-5.5,13
6,1,MJ Melendez,40948,3,7,13
6,1,Pete Alonso,37498,3,9.5,13
6,1,Josh Naylor,35066,3,10,13
6,1,Jarred Kelenic,41150,2,6,13
6,1,Max Kepler,31870,1,-1,13
6,1,Dylan Cease,34943,NA,13,13
6,1,Chris Devenski,32511,NA,5,13
7,NA,NA,NA,NA,NA,4
8,NA,NA,NA,NA,NA,6
9,NA,NA,NA,NA,NA,5
10,NA,NA,NA,NA,NA,9
11,NA,NA,NA,NA,NA,7
12,NA,NA,NA,NA,NA,13
13,NA,NA,NA,NA,NA,6
14,NA,NA,NA,NA,NA,12
15,NA,NA,NA,NA,NA,1
16,NA,NA,NA,NA,NA,2
17,NA,NA,NA,NA,NA,8
18,NA,NA,NA,NA,NA,11
19,NA,NA,NA,NA,NA,4
20,NA,NA,NA,NA,NA,9
21,NA,NA,NA,NA,NA,7
22,NA,NA,NA,NA,NA,13
23,NA,NA,NA,NA,NA,14
24,NA,NA,NA,NA,NA,11
25,NA,NA,NA,NA,NA,9
26,NA,NA,NA,NA,NA,5
27,NA,NA,NA,NA,NA,6
28,NA,NA,NA,NA,NA,12
29,NA,NA,NA,NA,NA,1
30,NA,NA,NA,NA,NA,2
31,NA,NA,NA,NA,NA,4
32,NA,NA,NA,NA,NA,13
33,NA,NA,NA,NA,NA,14
34,NA,NA,NA,NA,NA,11
35,NA,NA,NA,NA,NA,8
36,NA,NA,NA,NA,NA,2
37,NA,NA,NA,NA,NA,13
38,NA,NA,NA,NA,NA,7
39,NA,NA,NA,NA,NA,9
40,NA,NA,NA,NA,NA,5
41,NA,NA,NA,NA,NA,6
42,NA,NA,NA,NA,NA,12
43,NA,NA,NA,NA,NA,4
44,NA,NA,NA,NA,NA,11
45,NA,NA,NA,NA,NA,8
46,NA,NA,NA,NA,NA,2
47,NA,NA,NA,NA,NA,1
48,NA,NA,NA,NA,NA,12
49,NA,NA,NA,NA,NA,11
50,NA,NA,NA,NA,NA,14
51,NA,NA,NA,NA,NA,13
52,NA,NA,NA,NA,NA,7
53,NA,NA,NA,NA,NA,9
54,NA,NA,NA,NA,NA,5
55,NA,NA,NA,NA,NA,4
56,NA,NA,NA,NA,NA,2
57,NA,NA,NA,NA,NA,1
