team_id,schedule_id,n_win,n_loss
1,1,8,14
1,2,12,10
1,4,9,13
1,5,11,11
1,6,9,13
1,7,12,10
1,8,7,15
1,9,12,10
1,11,11,11
1,12,8,14
1,13,10,12
1,14,11,11
2,1,7,15
2,2,10,12
2,4,8,14
2,5,11.5,10.5
2,6,10,12
2,7,9,13
2,8,9,13
2,9,8,14
2,11,11,11
2,12,7,15
2,13,13,9
2,14,8,14
4,1,12,10
4,2,14,8
4,4,15,7
4,5,15,7
4,6,12,10
4,7,12,10
4,8,13,9
4,9,13,9
4,11,11,11
4,12,11,11
4,13,14,8
4,14,14,8
5,1,11,11
5,2,16,6
5,4,14,8
5,5,14,8
5,6,11,11
5,7,12,10
5,8,12,10
5,9,11,11
5,11,10,12
5,12,13,9
5,13,12,10
5,14,13,9
6,1,10,12
6,2,14,8
6,4,12,10
6,5,12,10
6,6,10,12
6,7,12,10
6,8,11,11
6,9,11,11
6,11,11,11
6,12,9,13
6,13,13,9
6,14,11,11
7,1,10.5,11.5
7,2,15,7
7,4,12,10
7,5,11,11
7,6,11,11
7,7,13,9
7,8,11,11
7,9,14,8
7,11,14,8
7,12,10,12
7,13,15,7
7,14,10,12
8,1,8,14
8,2,12,10
8,4,10,12
8,5,9,13
8,6,11,11
8,7,11,11
8,8,7,15
8,9,11,11
8,11,10,12
8,12,7,15
8,13,11,11
8,14,11,11
9,1,6,16
9,2,11,11
9,4,8,14
9,5,10,12
9,6,6,16
9,7,9,13
9,8,8,14
9,9,8,14
9,11,10,12
9,12,4,18
9,13,13,9
9,14,6,16
11,1,6,16
11,2,14,8
11,4,12,10
11,5,11,11
11,6,10,12
11,7,8,14
11,8,9,13
11,9,6,16
11,11,10,12
11,12,7,15
11,13,12,10
11,14,14,8
12,1,9,13
12,2,15,7
12,4,13,9
12,5,10,12
12,6,13,9
12,7,13,9
12,8,14,8
12,9,14,8
12,11,12,10
12,12,11,11
12,13,15,7
12,14,15,7
13,1,14,8
13,2,19,3
13,4,13,9
13,5,18,4
13,6,11,11
13,7,14,8
13,8,15,7
13,9,17,5
13,11,14,8
13,12,13.5,8.5
13,13,17,5
13,14,15,7
14,1,6.5,15.5
14,2,13,9
14,4,5,17
14,5,9,13
14,6,7,15
14,7,7,15
14,8,6,16
14,9,10,12
14,11,6,16
14,12,6,16
14,13,10,12
14,14,9,13
