matchup_id,game_id,home_team_id,home_total_points,home_batting_points,home_pitching_points,away_team_id,away_total_points,away_batting_points,away_pitching_points,home_team,away_team
1,1,1,4,21,-17,4,2,6.5,-4.5,The Talmudic Tunnelers,All That is Wright
1,2,2,17.5,13.5,4,12,3.5,22,-18.5,Skubal Divers,Blasphemous Hot Takes
1,3,8,2,11.5,-9.5,6,8.5,9,-0.5,Mt. Everest Taquito Farmers,The Novaks
1,4,11,5,11,-6,5,NA,NA,NA,The West Bank Occupiers,The Traveling Secretaries
1,5,14,2,4,-2,9,NA,NA,NA,Hader Better Faster Stronger,Takin' Care of Rizzness
1,6,13,-0.5,-0.5,NA,7,6,15.5,-9.5,Ketel Bells,Cron's Disease
2,7,4,NA,NA,NA,12,NA,NA,NA,All That is Wright,Blasphemous Hot Takes
2,8,6,NA,NA,NA,1,NA,NA,NA,The Novaks,The Talmudic Tunnelers
2,9,5,NA,NA,NA,2,NA,NA,NA,The Traveling Secretaries,Skubal Divers
2,10,9,NA,NA,NA,8,NA,NA,NA,Takin' Care of Rizzness,Mt. Everest Taquito Farmers
2,11,7,NA,NA,NA,11,NA,NA,NA,Cron's Disease,The West Bank Occupiers
2,12,13,NA,NA,NA,14,NA,NA,NA,Ketel Bells,Hader Better Faster Stronger
3,13,6,NA,NA,NA,4,NA,NA,NA,The Novaks,All That is Wright
3,14,12,NA,NA,NA,5,NA,NA,NA,Blasphemous Hot Takes,The Traveling Secretaries
3,15,1,NA,NA,NA,9,NA,NA,NA,The Talmudic Tunnelers,Takin' Care of Rizzness
3,16,2,NA,NA,NA,7,NA,NA,NA,Skubal Divers,Cron's Disease
3,17,8,NA,NA,NA,13,NA,NA,NA,Mt. Everest Taquito Farmers,Ketel Bells
3,18,11,NA,NA,NA,14,NA,NA,NA,The West Bank Occupiers,Hader Better Faster Stronger
4,19,4,NA,NA,NA,5,NA,NA,NA,All That is Wright,The Traveling Secretaries
4,20,9,NA,NA,NA,6,NA,NA,NA,Takin' Care of Rizzness,The Novaks
4,21,7,NA,NA,NA,12,NA,NA,NA,Cron's Disease,Blasphemous Hot Takes
4,22,13,NA,NA,NA,1,NA,NA,NA,Ketel Bells,The Talmudic Tunnelers
4,23,14,NA,NA,NA,2,NA,NA,NA,Hader Better Faster Stronger,Skubal Divers
4,24,11,NA,NA,NA,8,NA,NA,NA,The West Bank Occupiers,Mt. Everest Taquito Farmers
5,25,9,NA,NA,NA,4,NA,NA,NA,Takin' Care of Rizzness,All That is Wright
5,26,5,NA,NA,NA,7,NA,NA,NA,The Traveling Secretaries,Cron's Disease
5,27,6,NA,NA,NA,13,NA,NA,NA,The Novaks,Ketel Bells
5,28,12,NA,NA,NA,14,NA,NA,NA,Blasphemous Hot Takes,Hader Better Faster Stronger
5,29,1,NA,NA,NA,11,NA,NA,NA,The Talmudic Tunnelers,The West Bank Occupiers
5,30,2,NA,NA,NA,8,NA,NA,NA,Skubal Divers,Mt. Everest Taquito Farmers
6,31,4,NA,NA,NA,7,NA,NA,NA,All That is Wright,Cron's Disease
6,32,13,NA,NA,NA,9,NA,NA,NA,Ketel Bells,Takin' Care of Rizzness
6,33,14,NA,NA,NA,5,NA,NA,NA,Hader Better Faster Stronger,The Traveling Secretaries
6,34,11,NA,NA,NA,6,NA,NA,NA,The West Bank Occupiers,The Novaks
6,35,8,NA,NA,NA,12,NA,NA,NA,Mt. Everest Taquito Farmers,Blasphemous Hot Takes
6,36,2,NA,NA,NA,1,NA,NA,NA,Skubal Divers,The Talmudic Tunnelers
7,37,13,NA,NA,NA,4,NA,NA,NA,Ketel Bells,All That is Wright
7,38,7,NA,NA,NA,14,NA,NA,NA,Cron's Disease,Hader Better Faster Stronger
7,39,9,NA,NA,NA,11,NA,NA,NA,Takin' Care of Rizzness,The West Bank Occupiers
7,40,5,NA,NA,NA,8,NA,NA,NA,The Traveling Secretaries,Mt. Everest Taquito Farmers
7,41,6,NA,NA,NA,2,NA,NA,NA,The Novaks,Skubal Divers
7,42,12,NA,NA,NA,1,NA,NA,NA,Blasphemous Hot Takes,The Talmudic Tunnelers
8,43,4,NA,NA,NA,14,NA,NA,NA,All That is Wright,Hader Better Faster Stronger
8,44,11,NA,NA,NA,13,NA,NA,NA,The West Bank Occupiers,Ketel Bells
8,45,8,NA,NA,NA,7,NA,NA,NA,Mt. Everest Taquito Farmers,Cron's Disease
8,46,2,NA,NA,NA,9,NA,NA,NA,Skubal Divers,Takin' Care of Rizzness
8,47,1,NA,NA,NA,5,NA,NA,NA,The Talmudic Tunnelers,The Traveling Secretaries
8,48,12,NA,NA,NA,6,NA,NA,NA,Blasphemous Hot Takes,The Novaks
9,49,11,NA,NA,NA,4,NA,NA,NA,The West Bank Occupiers,All That is Wright
9,50,14,NA,NA,NA,8,NA,NA,NA,Hader Better Faster Stronger,Mt. Everest Taquito Farmers
