team_id,qs,k,k_sp,k_rp,bb,bb_sp,bb_rp,outs,outs_sp,outs_rp,earned_runs,earned_runs_sp,earned_runs_rp,hr_allowed_sp,hr_allowed_rp,hr_allowed,hpb,hpb_sp,hpb_rp,blue_balls,langes,bednars,era,era_sp,era_rp,k9,k9_sp,k9_rp,bb9,bb9_sp,bb9_rp,k_per_bb,k_per_bb_sp,k_per_bb_rp,hr9,hr9_sp,hr9_rp,fip,fip_sp,fip_rp,fip_constant
1,73,1050,908,142,326,278,48,3146,2730,416,454,399,55,121,15,136,39,33,6,7,9,1,3.8963763509218055,3.9461538461538463,3.5697115384615383,9.011443102352192,8.98021978021978,9.216346153846153,2.7978385251112523,2.7494505494505495,3.1153846153846154,3.2208588957055215,3.2661870503597124,2.9583333333333335,1.1671964399237127,1.1967032967032967,0.9735576923076922,3.82306313208575,3.8537142991005537,3.6219148485511035,3.0954725408587955
2,81,1182,999,183,346,277,69,3270,2821,449,449,390,59,114,17,131,48,41,7,5,9,1,3.707339449541284,3.732718894009217,3.5478841870824054,9.759633027522936,9.561503013115916,11.00445434298441,2.856880733944954,2.651187522155264,4.149220489977728,3.4161849710982657,3.6064981949458486,2.652173913043478,1.081651376146789,1.0911024459411556,1.022271714922049,3.5734541922349425,3.5612648131026807,3.6500382424178155,3.0954725408587955
4,87,1201,994,207,319,249,70,3327,2837,490,443,377,66,129,22,151,38,29,9,7,9,3,3.595130748422002,3.5879450123369754,3.636734693877551,9.746618575293057,9.459992950299611,11.406122448979593,2.5888187556357076,2.369756785336623,3.8571428571428568,3.7648902821316614,3.9919678714859437,2.9571428571428573,1.225428313796213,1.2277053225237928,1.2122448979591836,3.6653553181356218,3.6485215362764905,3.762819479634306,3.0954725408587955
5,82,1106,909,197,375,306,69,3371,2877,494,464,406,58,106,21,127,43,40,3,7,6,2,3.716404627706912,3.81021897810219,3.1700404858299596,8.858498961732423,8.530761209593326,10.767206477732794,3.003559774547612,2.8717413972888424,3.771255060728745,2.949333333333333,2.9705882352941178,2.8550724637681157,1.0172055769801247,0.994786235662148,1.1477732793522266,3.7122034812325717,3.719038755665886,3.6723956177818726,3.0954725408587955
6,73,1125,918,207,329,270,59,3296,2785,511,473,412,61,103,12,115,51,46,5,4,9,3,3.8746966019417477,3.994254937163375,3.223091976516634,9.215716019417476,8.899820466786355,10.937377690802348,2.6950849514563107,2.6175942549371634,3.1174168297455966,3.419452887537994,3.4,3.5084745762711864,0.9420509708737863,0.9985637342908438,0.6340508806262231,3.445897298140349,3.581289416980878,2.7079970026983258,3.0954725408587955
7,87,1176,1015,161,353,294,59,3344,2947,397,441,390,51,118,10,128,43,34,9,10,7,1,3.560705741626794,3.573125212080081,3.468513853904282,9.495215311004785,9.299287410926365,10.94962216624685,2.8501794258373208,2.6935866983372923,4.012594458438286,3.331444759206799,3.4523809523809526,2.7288135593220337,1.0334928229665072,1.0810994231421784,0.6801007556675063,3.544037134160231,3.5922489236209265,3.186152641614463,3.0954725408587955
8,71,1092,908,184,345,277,68,3220,2724,496,447,413,34,122,11,133,40,32,8,10,8,0,3.7481366459627328,4.093612334801763,1.850806451612903,9.156521739130435,9,10.016129032258064,2.892857142857143,2.745594713656388,3.701612903225806,3.1652173913043478,3.2779783393501805,2.7058823529411766,1.1152173913043477,1.2092511013215859,0.5987903225806452,3.7476464539022736,3.863093686233245,3.113617702149118,3.0954725408587955
9,82,1118,932,186,338,269,69,3339,2877,462,446,393,53,131,10,141,45,35,10,9,10,1,3.606469002695418,3.6882168925964547,3.0974025974025974,9.040431266846362,8.746611053180397,10.87012987012987,2.733153638814016,2.5245046923879038,4.032467532467532,3.3076923076923075,3.4646840148698885,2.6956521739130435,1.1401617250673854,1.2294056308654848,0.5844155844155844,3.7657330979118053,3.878579944404155,3.063005008391263,3.0954725408587955
11,57,963,815,148,381,315,66,3083,2699,384,442,381,61,125,19,144,50,47,3,8,11,5,3.87090496269867,3.8114116339384956,4.2890625,8.433668504703212,8.153019636902556,10.40625,3.3366850470321117,3.151167098925528,4.640625,2.52755905511811,2.5873015873015874,2.242424242424242,1.261109309114499,1.2504631344942572,1.3359375,4.301116394248351,4.2970286727595,4.329847540858795,3.0954725408587955
12,105,1232,1026,206,337,267,70,3618,3054,564,420,364,56,101,21,122,63,55,8,10,9,1,3.1343283582089554,3.2180746561886053,2.6808510638297873,9.194029850746269,9.070726915520629,9.861702127659575,2.5149253731343286,2.3605108055009825,3.351063829787234,3.655786350148368,3.842696629213483,2.942857142857143,0.9104477611940298,0.8929273084479371,1.0053191489361701,3.362470882484003,3.318458788403,3.6007916897949657,3.0954725408587955
13,64,1008,846,162,330,258,72,3144,2700,444,480,416,64,111,16,127,37,34,3,6,14,5,4.122137404580153,4.16,3.8918918918918917,8.65648854961832,8.46,9.85135135135135,2.8339694656488548,2.58,4.378378378378379,3.0545454545454547,3.2790697674418605,2.25,1.090648854961832,1.11,0.9729729729729729,3.7977626171946732,3.7921392075254623,3.831959027345282,3.0954725408587955
14,69,1031,870,161,342,289,53,3246,2773,473,466,405,61,124,18,142,40,31,9,13,8,3,3.876155268022181,3.9433826181031377,3.4820295983086678,8.575785582255083,8.47097006851785,9.190274841437633,2.844731977818854,2.8139199423007573,3.0253699788583512,3.0146198830409356,3.01038062283737,3.0377358490566038,1.1811460258780038,1.2073566534439235,1.0274841437632136,3.954991949361568,3.9955807269388535,3.7170370228883938,3.0954725408587955
