player,player_id,team_id,stint,start,end,rp_eligible,team_from,teams_involved,trade_id,transaction_type,n_points,n_games,w_bat,w_sp,w_rp,ppg
Austin Riley,34982,7,0,1,36,FALSE,NA,NA,NA,Draft,60.5,22,1,0,0,2.75
Austin Wells,4683349,11,0,1,14,FALSE,NA,NA,NA,Draft,8.5,4,1,0,0,2.125
Bailey Ober,3107919,5,0,1,36,FALSE,NA,NA,NA,Draft,4,2,0,1,0,2
Blake Snell,33748,1,0,1,36,FALSE,NA,NA,NA,Draft,1,2,0,1,0,0.5
Bo Bichette,38904,5,0,1,36,FALSE,NA,NA,NA,Draft,46.5,22,1,0,0,2.1136363636363638
Bobby Miller,4326703,6,0,1,36,FALSE,NA,NA,NA,Draft,29.5,3,0,1,0,9.833333333333334
Bobby Witt Jr.,42403,8,0,1,36,FALSE,NA,NA,NA,Draft,80.5,24,1,0,0,3.3541666666666665
Brady Singer,41172,14,0,1,10,FALSE,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Brandon Drury,32269,9,0,1,16,FALSE,NA,NA,NA,Draft,6.5,6,1,0,0,1.0833333333333333
Brandon Lowe,39961,2,0,1,15,FALSE,NA,NA,NA,Draft,7.5,5,1,0,0,1.5
Brandon Nimmo,32159,5,0,1,36,FALSE,NA,NA,NA,Draft,65,22,1,0,0,2.9545454545454546
Brandon Pfaadt,4721302,6,0,1,14,FALSE,NA,NA,NA,Draft,13,1,0,1,0,13
Braxton Garrett,40971,5,0,1,36,FALSE,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Brayan Bello,4720856,8,0,1,18,FALSE,NA,NA,NA,Draft,14.5,2,0,1,0,7.25
Brendan Rodgers,35073,2,0,1,1,FALSE,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Brent Rooker,40926,9,0,1,11,FALSE,NA,NA,NA,Draft,-2.5,2,1,0,0,-1.25
Bryan Abreu,41208,4,0,1,11,TRUE,NA,NA,NA,Draft,-6,1,0,0,1,-6
Bryan De La Cruz,40787,5,0,1,36,FALSE,NA,NA,NA,Draft,36.5,18,1,0,0,2.0277777777777777
Bryan Reynolds,38980,12,0,1,36,FALSE,NA,NA,NA,Draft,69,24,1,0,0,2.875
Bryan Woo,4629089,8,0,1,32,FALSE,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Bryce Harper,30951,9,0,1,36,FALSE,NA,NA,NA,Draft,53.5,21,1,0,0,2.5476190476190474
Bryce Miller,4654313,14,0,1,36,FALSE,NA,NA,NA,Draft,86.5,4,0,1,0,21.625
Bryson Stott,42417,5,0,1,36,FALSE,NA,NA,NA,Draft,34.5,22,1,0,0,1.5681818181818181
Byron Buxton,32655,1,0,1,36,FALSE,NA,NA,NA,Draft,36.5,20,1,0,0,1.825
CJ Abrams,42402,7,0,1,36,FALSE,NA,NA,NA,Draft,79.5,19,1,0,0,4.184210526315789
Cal Raleigh,41292,5,0,1,36,FALSE,NA,NA,NA,Draft,56,20,1,0,0,2.8
Camilo Doval,41337,11,0,1,36,TRUE,NA,NA,NA,Draft,34.5,8,0,0,1,4.3125
Carlos Correa,32653,13,0,1,36,FALSE,NA,NA,NA,Draft,27.5,11,1,0,0,2.5
Carlos Estevez,34861,1,0,1,36,TRUE,NA,NA,NA,Draft,28,5,0,0,1,5.6
Carlos Rodon,33696,1,0,1,36,FALSE,NA,NA,NA,Draft,65.5,5,0,1,0,13.1
Cedric Mullins,35578,1,0,1,29,FALSE,NA,NA,NA,Draft,61,18,1,0,0,3.388888888888889
Charlie Blackmon,31084,6,0,1,4,FALSE,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Charlie Morton,29155,11,0,1,36,FALSE,NA,NA,NA,Draft,47.5,4,0,1,0,11.875
Chas McCormick,40574,11,0,1,24,FALSE,NA,NA,NA,Draft,19,12,1,0,0,1.5833333333333333
Chris Bassitt,33148,5,0,1,36,FALSE,NA,NA,NA,Draft,58.5,5,0,1,0,11.7
Chris Devenski,32511,13,0,1,13,TRUE,NA,NA,NA,Draft,6.5,2,0,0,1,3.25
Chris Sale,30948,12,0,1,36,FALSE,NA,NA,NA,Draft,57,4,0,1,0,14.25
Chris Taylor,32900,11,0,1,10,FALSE,NA,NA,NA,Draft,-1.5,2,1,0,0,-0.75
Christian Encarnacion-Strand,5012106,8,0,1,32,FALSE,NA,NA,NA,Draft,30.5,17,1,0,0,1.7941176470588236
Christian Walker,32758,5,0,1,36,FALSE,NA,NA,NA,Draft,73.5,25,1,0,0,2.94
Christian Yelich,31283,4,0,1,36,FALSE,NA,NA,NA,Draft,52.5,11,1,0,0,4.7727272727272725
Christopher Morel,42927,9,0,1,36,FALSE,NA,NA,NA,Draft,50.5,23,1,0,0,2.1956521739130435
Clarke Schmidt,41085,1,0,1,3,FALSE,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Clay Holmes,32827,9,0,1,36,TRUE,NA,NA,NA,Draft,57,12,0,0,1,4.75
Cody Bellinger,33912,8,0,1,36,FALSE,NA,NA,NA,Draft,70,22,1,0,0,3.1818181818181817
Cole Ragans,41054,4,0,1,36,TRUE,NA,NA,NA,Draft,65,5,0,1,0,13
Colt Keith,4683384,4,0,1,20,FALSE,NA,NA,NA,Draft,15,8,1,0,0,1.875
Corbin Burnes,39878,5,0,1,36,FALSE,NA,NA,NA,Draft,83,5,0,1,0,16.6
Corbin Carroll,42404,9,0,1,36,FALSE,NA,NA,NA,Draft,56,23,1,0,0,2.4347826086956523
Corey Seager,32691,6,0,1,36,FALSE,NA,NA,NA,Draft,45,21,1,0,0,2.142857142857143
Craig Kimbrel,30653,8,0,1,36,TRUE,NA,NA,NA,Draft,55,10,0,0,1,5.5
Cristian Javier,41261,1,0,1,36,FALSE,NA,NA,NA,Draft,48,3,0,1,0,16
DJ LeMahieu,30765,1,0,1,3,FALSE,NA,NA,NA,Draft,0,0,NA,NA,NA,0
DL Hall,41018,13,0,1,9,TRUE,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Dansby Swanson,34895,9,0,1,36,FALSE,NA,NA,NA,Draft,46,22,1,0,0,2.090909090909091
Daulton Varsho,40963,5,0,1,36,FALSE,NA,NA,NA,Draft,63.5,21,1,0,0,3.0238095238095237
David Bednar,38303,1,0,1,29,TRUE,NA,NA,NA,Draft,-12.5,5,0,0,1,-2.5
David Robertson,29172,11,0,1,9,TRUE,NA,NA,NA,Draft,3,1,0,0,1,3
Dean Kremer,38295,7,0,1,27,FALSE,NA,NA,NA,Draft,31,3,0,1,0,10.333333333333334
Domingo German,33660,11,0,1,9,FALSE,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Dylan Cease,34943,13,0,1,36,FALSE,NA,NA,NA,Draft,114.5,5,0,1,0,22.9
Eduardo Rodriguez,32675,13,0,1,36,FALSE,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Edward Cabrera,40944,6,0,1,9,FALSE,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Edwin Diaz,35394,4,0,1,36,TRUE,NA,NA,NA,Draft,42.5,8,0,0,1,5.3125
Elly De La Cruz,4917694,14,0,1,36,FALSE,NA,NA,NA,Draft,91,23,1,0,0,3.9565217391304346
Eloy Jimenez,33867,6,0,1,36,FALSE,NA,NA,NA,Draft,13,9,1,0,0,1.4444444444444444
Emmanuel Clase,41743,8,0,1,36,TRUE,NA,NA,NA,Draft,53,12,0,0,1,4.416666666666667
Erik Swanson,36013,9,0,1,3,TRUE,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Esteury Ruiz,39680,8,0,1,17,FALSE,NA,NA,NA,Draft,9.5,3,1,0,0,3.1666666666666665
Eugenio Suarez,32367,7,0,1,36,FALSE,NA,NA,NA,Draft,57.5,24,1,0,0,2.3958333333333335
Eury Perez,4917854,2,0,1,16,FALSE,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Evan Carter,4917921,14,0,1,36,FALSE,NA,NA,NA,Draft,52,21,1,0,0,2.4761904761904763
Evan Phillips,37911,6,0,1,36,TRUE,NA,NA,NA,Draft,46,10,0,0,1,4.6
Ezequiel Tovar,4905919,14,0,1,36,FALSE,NA,NA,NA,Draft,57,24,1,0,0,2.375
Fernando Tatis Jr.,35983,12,0,1,36,FALSE,NA,NA,NA,Draft,85,26,1,0,0,3.269230769230769
Framber Valdez,36581,7,0,1,36,FALSE,NA,NA,NA,Draft,31,2,0,1,0,15.5
Francisco Alvarez,41253,4,0,1,31,FALSE,NA,NA,NA,Draft,31,16,1,0,0,1.9375
Francisco Lindor,32129,1,0,1,18,FALSE,NA,NA,NA,Draft,1.5,7,1,0,0,0.21428571428571427
Freddie Freeman,30193,14,0,1,36,FALSE,NA,NA,NA,Draft,67,25,1,0,0,2.68
Freddy Peralta,39825,4,0,1,20,FALSE,NA,NA,NA,Draft,39.5,2,0,1,0,19.75
Gabriel Moreno,42464,8,0,1,36,FALSE,NA,NA,NA,Draft,11.5,7,1,0,0,1.6428571428571428
Gavin Lux,40423,12,0,1,11,FALSE,NA,NA,NA,Draft,5,4,1,0,0,1.25
Gavin Williams,4345076,8,0,1,13,FALSE,NA,NA,NA,Draft,0,0,NA,NA,NA,0
George Kirby,42406,6,0,1,36,FALSE,NA,NA,NA,Draft,52.5,5,0,1,0,10.5
George Springer,32078,6,0,1,20,FALSE,NA,NA,NA,Draft,28,11,1,0,0,2.5454545454545454
Gerrit Cole,32081,14,0,1,36,FALSE,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Giancarlo Stanton,30583,12,0,1,36,FALSE,NA,NA,NA,Draft,52.5,19,1,0,0,2.763157894736842
Gleyber Torres,33804,9,0,1,32,FALSE,NA,NA,NA,Draft,28.5,21,1,0,0,1.3571428571428572
Graham Pauley,4622931,13,0,1,8,FALSE,NA,NA,NA,Draft,-0.5,1,1,0,0,-0.5
Grayson Rodriguez,41196,14,0,1,36,FALSE,NA,NA,NA,Draft,69.5,5,0,1,0,13.9
Griffin Canning,41065,12,0,1,11,FALSE,NA,NA,NA,Draft,0,0,0,1,0,0
Gunnar Henderson,42507,11,0,1,36,FALSE,NA,NA,NA,Draft,86,23,1,0,0,3.739130434782609
Ha-Seong Kim,4089862,11,0,1,36,FALSE,NA,NA,NA,Draft,73.5,26,1,0,0,2.826923076923077
Hector Neris,32377,7,0,1,11,TRUE,NA,NA,NA,Draft,2.5,1,0,0,1,2.5
Hunter Brown,4717803,9,0,1,20,FALSE,NA,NA,NA,Draft,-8,1,0,1,0,-8
Hunter Greene,39635,12,0,1,36,FALSE,NA,NA,NA,Draft,53,4,0,1,0,13.25
Hunter Renfroe,33205,14,0,1,10,FALSE,NA,NA,NA,Draft,-0.5,1,1,0,0,-0.5
Ian Happ,34945,7,0,1,36,FALSE,NA,NA,NA,Draft,59,20,1,0,0,2.95
Isaac Paredes,39706,13,0,1,36,FALSE,NA,NA,NA,Draft,36.5,16,1,0,0,2.28125
J.D. Martinez,31065,7,0,1,36,FALSE,NA,NA,NA,Draft,0,0,NA,NA,NA,0
J.P. Crawford,33210,4,0,1,36,FALSE,NA,NA,NA,Draft,49.5,22,1,0,0,2.25
J.T. Realmuto,32177,12,0,1,36,FALSE,NA,NA,NA,Draft,41,21,1,0,0,1.9523809523809523
Jack Suwinski,36754,1,0,1,17,FALSE,NA,NA,NA,Draft,16.5,8,1,0,0,2.0625
Jackson Chourio,4917869,8,0,1,36,FALSE,NA,NA,NA,Draft,39,19,1,0,0,2.0526315789473686
Jackson Holliday,5080633,8,0,1,36,FALSE,NA,NA,NA,Draft,1,10,1,0,0,0.1
Jackson Merrill,4872691,4,0,1,2,FALSE,NA,NA,NA,Draft,3.5,2,1,0,0,1.75
Jake Burger,39882,6,0,1,36,FALSE,NA,NA,NA,Draft,38.5,16,1,0,0,2.40625
Jake Cronenworth,36364,12,0,1,36,FALSE,NA,NA,NA,Draft,61.5,24,1,0,0,2.5625
James Outman,41802,7,0,1,34,FALSE,NA,NA,NA,Draft,29,22,1,0,0,1.3181818181818181
Jarred Kelenic,41150,13,0,1,25,FALSE,NA,NA,NA,Draft,15.5,10,1,0,0,1.55
Jarren Duran,41610,13,0,1,36,FALSE,NA,NA,NA,Draft,58,22,1,0,0,2.6363636363636362
Jazz Chisholm Jr.,41433,8,0,1,36,FALSE,NA,NA,NA,Draft,55,24,1,0,0,2.2916666666666665
Jeff McNeil,33900,4,0,1,36,FALSE,NA,NA,NA,Draft,46.5,22,1,0,0,2.1136363636363638
Jeimer Candelario,32531,9,0,1,23,FALSE,NA,NA,NA,Draft,18,12,1,0,0,1.5
Jeremy Pena,41273,12,0,1,36,FALSE,NA,NA,NA,Draft,42.5,23,1,0,0,1.8478260869565217
Jesus Luzardo,39667,9,0,1,36,FALSE,NA,NA,NA,Draft,19.5,3,0,1,0,6.5
Jhoan Duran,41109,9,0,1,36,TRUE,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Joe Kelly,31992,12,0,1,2,TRUE,NA,NA,NA,Draft,4,1,0,0,1,4
Joe Musgrove,34848,2,0,1,36,FALSE,NA,NA,NA,Draft,29,5,0,1,0,5.8
Joe Ryan,42450,8,0,1,36,FALSE,NA,NA,NA,Draft,67,4,0,1,0,16.75
Joel Payamps,40021,6,0,1,15,TRUE,NA,NA,NA,Draft,6,4,0,0,1,1.5
Joey Meneses,34534,5,0,1,13,FALSE,NA,NA,NA,Draft,6.5,4,1,0,0,1.625
John Means,39948,12,0,1,13,FALSE,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Jon Gray,33203,13,0,1,36,FALSE,NA,NA,NA,Draft,54,5,0,0.8,0.19999999999999996,10.8
Jonah Heim,33842,11,0,1,2,FALSE,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Jonathan India,41171,13,0,1,36,FALSE,NA,NA,NA,Draft,38.5,19,1,0,0,2.026315789473684
Jordan Montgomery,38173,14,0,1,36,FALSE,NA,NA,NA,Draft,20,1,0,1,0,20
Jordan Romano,36380,14,0,1,36,TRUE,NA,NA,NA,Draft,16.5,4,0,0,1,4.125
Jordan Walker,4684778,4,0,1,25,FALSE,NA,NA,NA,Draft,1.5,8,1,0,0,0.1875
Jorge Polanco,32525,12,0,1,21,FALSE,NA,NA,NA,Draft,2,8,1,0,0,0.25
Jorge Soler,32558,2,0,1,36,FALSE,NA,NA,NA,Draft,54,25,1,0,0,2.16
Jose Abreu,33095,12,0,1,18,FALSE,NA,NA,NA,Draft,0.5,7,1,0,0,0.07142857142857142
Jose Altuve,31662,11,0,1,36,FALSE,NA,NA,NA,Draft,83,24,1,0,0,3.4583333333333335
Jose Alvarado,36063,6,0,1,10,TRUE,NA,NA,NA,Draft,-11,1,0,0,1,-11
Jose Berrios,32811,7,0,1,36,FALSE,NA,NA,NA,Draft,112.5,5,0,1,0,22.5
Jose Leclerc,33926,9,0,1,15,TRUE,NA,NA,NA,Draft,-9.5,3,0,0,1,-3.1666666666666665
Jose Ramirez,32801,5,0,1,36,FALSE,NA,NA,NA,Draft,70.5,22,1,0,0,3.2045454545454546
Josh Bell,32517,12,0,1,36,FALSE,NA,NA,NA,Draft,48.5,25,1,0,0,1.94
Josh Hader,32760,5,0,1,36,TRUE,NA,NA,NA,Draft,16.5,11,0,0,1,1.5
Josh Jung,42437,12,0,1,36,FALSE,NA,NA,NA,Draft,28,4,1,0,0,7
Josh Lowe,40557,7,0,1,36,FALSE,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Josh Naylor,35066,13,0,1,36,FALSE,NA,NA,NA,Draft,82.5,22,1,0,0,3.75
Josiah Gray,41165,5,0,1,16,FALSE,NA,NA,NA,Draft,-9.5,2,0,1,0,-4.75
Juan Soto,36969,7,0,1,36,FALSE,NA,NA,NA,Draft,96,24,1,0,0,4
Julio Rodriguez,41044,1,0,1,36,FALSE,NA,NA,NA,Draft,44.5,23,1,0,0,1.934782608695652
Jung Hoo Lee,5134621,6,0,1,24,FALSE,NA,NA,NA,Draft,26.5,11,1,0,0,2.409090909090909
Junior Caminero,4905921,7,0,1,36,FALSE,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Jurickson Profar,31117,2,0,1,1,FALSE,NA,NA,NA,Draft,1.5,1,1,0,0,1.5
Justin Steele,41022,6,0,1,36,FALSE,NA,NA,NA,Draft,14.5,1,0,1,0,14.5
Justin Turner,29607,5,0,1,36,FALSE,NA,NA,NA,Draft,55.5,22,1,0,0,2.522727272727273
Justin Verlander,6341,11,0,1,29,FALSE,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Ke'Bryan Hayes,35020,4,0,1,36,FALSE,NA,NA,NA,Draft,47.5,22,1,0,0,2.159090909090909
Keibert Ruiz,38827,7,0,1,28,FALSE,NA,NA,NA,Draft,13,8,1,0,0,1.625
Kenley Jansen,29630,1,0,1,36,TRUE,NA,NA,NA,Draft,35,8,0,0,1,4.375
Kenta Maeda,34892,5,0,1,21,FALSE,NA,NA,NA,Draft,2.5,2,0,1,0,1.25
Kerry Carpenter,42714,14,0,1,18,FALSE,NA,NA,NA,Draft,11.5,8,1,0,0,1.4375
Ketel Marte,32512,5,0,1,36,FALSE,NA,NA,NA,Draft,94.5,25,1,0,0,3.78
Kevin Gausman,32667,14,0,1,36,FALSE,NA,NA,NA,Draft,29.5,5,0,1,0,5.9
Kodai Senga,4142421,7,0,1,36,FALSE,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Kris Bryant,33172,2,0,1,12,FALSE,NA,NA,NA,Draft,-1,3,1,0,0,-0.3333333333333333
Kutter Crawford,41277,4,0,1,36,TRUE,NA,NA,NA,Draft,79.5,4,0,1,0,19.875
Kyle Bradish,4311625,11,0,1,36,FALSE,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Kyle Finnegan,36543,11,0,1,16,TRUE,NA,NA,NA,Draft,5.5,3,0,0,1,1.8333333333333333
Kyle Harrison,4683375,2,0,1,36,FALSE,NA,NA,NA,Draft,35.5,3,0,1,0,11.833333333333334
Kyle Schwarber,33712,6,0,1,36,FALSE,NA,NA,NA,Draft,62.5,24,1,0,0,2.6041666666666665
Kyle Tucker,34967,12,0,1,36,FALSE,NA,NA,NA,Draft,91.5,24,1,0,0,3.8125
LaMonte Wade Jr.,37798,14,0,1,6,FALSE,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Lance Lynn,30820,4,0,1,1,FALSE,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Lane Thomas,36409,5,0,1,36,FALSE,NA,NA,NA,Draft,23.5,13,1,0,0,1.8076923076923077
Lars Nootbaar,4448736,9,0,1,30,FALSE,NA,NA,NA,Draft,18,6,1,0,0,3
Logan Gilbert,41221,12,0,1,36,FALSE,NA,NA,NA,Draft,118,5,0,1,0,23.6
Logan O'Hoppe,42047,8,0,1,16,FALSE,NA,NA,NA,Draft,0,0,1,0,0,0
Logan Webb,41216,5,0,1,36,FALSE,NA,NA,NA,Draft,107.5,6,0,1,0,17.916666666666668
Lourdes Gurriel Jr.,36040,9,0,1,36,FALSE,NA,NA,NA,Draft,87.5,23,1,0,0,3.8043478260869565
Luis Arraez,39572,11,0,1,36,FALSE,NA,NA,NA,Draft,48.5,25,1,0,0,1.94
Luis Campusano,40521,2,0,1,2,FALSE,NA,NA,NA,Draft,8,2,1,0,0,4
Luis Castillo,35124,4,0,1,36,FALSE,NA,NA,NA,Draft,67.5,5,0,1,0,13.5
Luis Rengifo,37237,14,0,1,13,FALSE,NA,NA,NA,Draft,4.5,3,1,0,0,1.5
Luis Robert Jr.,39631,12,0,1,36,FALSE,NA,NA,NA,Draft,15.5,7,1,0,0,2.2142857142857144
Luis Severino,33263,9,0,1,13,FALSE,NA,NA,NA,Draft,3,1,0,1,0,3
MJ Melendez,40948,13,0,1,32,FALSE,NA,NA,NA,Draft,35,15,1,0,0,2.3333333333333335
MacKenzie Gore,39636,14,0,1,18,FALSE,NA,NA,NA,Draft,9,1,0,1,0,9
Manny Machado,31097,8,0,1,36,FALSE,NA,NA,NA,Draft,60.5,24,1,0,0,2.5208333333333335
Marcell Ozuna,31668,2,0,1,36,FALSE,NA,NA,NA,Draft,104,22,1,0,0,4.7272727272727275
Marcus Semien,32146,4,0,1,36,FALSE,NA,NA,NA,Draft,82,24,1,0,0,3.4166666666666665
Marcus Stroman,32815,9,0,1,36,FALSE,NA,NA,NA,Draft,73,5,0,1,0,14.6
Mark Canha,31670,9,0,1,16,FALSE,NA,NA,NA,Draft,18,6,1,0,0,3
Masataka Yoshida,4872598,7,0,1,36,FALSE,NA,NA,NA,Draft,47,21,1,0,0,2.238095238095238
Mason Miller,4730225,2,0,1,36,FALSE,NA,NA,NA,Draft,53,8,0,0,1,6.625
Matt Chapman,33857,1,0,1,36,FALSE,NA,NA,NA,Draft,65.5,25,1,0,0,2.62
Matt McLain,4422899,2,0,1,7,FALSE,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Matt Olson,32767,4,0,1,36,FALSE,NA,NA,NA,Draft,60,22,1,0,0,2.727272727272727
Max Fried,32685,7,0,1,36,FALSE,NA,NA,NA,Draft,54.5,5,0,1,0,10.9
Max Kepler,31870,13,0,1,13,FALSE,NA,NA,NA,Draft,-1,1,1,0,0,-1
Max Muncy,33303,2,0,1,36,FALSE,NA,NA,NA,Draft,57.5,24,1,0,0,2.3958333333333335
Max Scherzer,28976,1,0,1,36,FALSE,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Merrill Kelly,32968,11,0,1,36,FALSE,NA,NA,NA,Draft,78,4,0,1,0,19.5
Michael Harris II,42470,14,0,1,36,FALSE,NA,NA,NA,Draft,66,22,1,0,0,3
Michael King,40429,2,0,1,36,TRUE,NA,NA,NA,Draft,64.5,5,0,0.8333333333333334,0.16666666666666663,12.9
Mike Trout,30836,2,0,1,18,FALSE,NA,NA,NA,Draft,24,8,1,0,0,3
Mitch Haniger,32771,7,0,1,36,FALSE,NA,NA,NA,Draft,48,21,1,0,0,2.2857142857142856
Mitch Keller,33722,12,0,1,36,FALSE,NA,NA,NA,Draft,53,5,0,1,0,10.6
Mookie Betts,33039,1,0,1,36,FALSE,NA,NA,NA,Draft,116,25,1,0,0,4.64
Nathan Eovaldi,31174,12,0,1,36,FALSE,NA,NA,NA,Draft,74.5,5,0,1,0,14.9
Nathaniel Lowe,40538,2,0,1,36,FALSE,NA,NA,NA,Draft,3.5,2,1,0,0,1.75
Nestor Cortes,36480,13,0,1,36,FALSE,NA,NA,NA,Draft,70,4,0,1,0,17.5
Nick Castellanos,31187,14,0,1,36,FALSE,NA,NA,NA,Draft,25.5,24,1,0,0,1.0625
Nick Lodolo,42433,13,0,1,36,FALSE,NA,NA,NA,Draft,45.5,2,0,1,0,22.75
Nick Pivetta,36071,8,0,1,36,TRUE,NA,NA,NA,Draft,40.5,2,0,1,0,20.25
Nico Hoerner,41219,7,0,1,36,FALSE,NA,NA,NA,Draft,52,22,1,0,0,2.3636363636363638
Nolan Arenado,31261,1,0,1,36,FALSE,NA,NA,NA,Draft,50.5,24,1,0,0,2.1041666666666665
Nolan Gorman,41174,6,0,1,36,FALSE,NA,NA,NA,Draft,33.5,22,1,0,0,1.5227272727272727
Nolan Jones,37340,5,0,1,36,FALSE,NA,NA,NA,Draft,21,22,1,0,0,0.9545454545454546
Oneil Cruz,39712,6,0,1,24,FALSE,NA,NA,NA,Draft,23,14,1,0,0,1.6428571428571428
Ozzie Albies,33783,8,0,1,36,FALSE,NA,NA,NA,Draft,60.5,15,1,0,0,4.033333333333333
Pablo Lopez,39671,14,0,1,36,FALSE,NA,NA,NA,Draft,68,5,0,1,0,13.6
Paul Goldschmidt,31027,7,0,1,36,FALSE,NA,NA,NA,Draft,33,23,1,0,0,1.434782608695652
Paul Sewald,35009,14,0,1,36,TRUE,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Pete Alonso,37498,13,0,1,36,FALSE,NA,NA,NA,Draft,76,23,1,0,0,3.3043478260869565
Pete Fairbanks,42180,4,0,1,34,TRUE,NA,NA,NA,Draft,11,8,0,0,1,1.375
Rafael Devers,33859,13,0,1,36,FALSE,NA,NA,NA,Draft,30,10,1,0,0,3
Raisel Iglesias,33618,14,0,1,36,TRUE,NA,NA,NA,Draft,42,9,0,0,1,4.666666666666667
Randy Arozarena,36488,8,0,1,36,FALSE,NA,NA,NA,Draft,35.5,23,1,0,0,1.5434782608695652
Reid Detmers,4326697,6,0,1,36,FALSE,NA,NA,NA,Draft,94.5,5,0,1,0,18.9
Reynaldo Lopez,33860,7,0,1,36,TRUE,NA,NA,NA,Draft,70,3,0,1,0,23.333333333333332
Rhys Hoskins,35291,1,0,1,36,FALSE,NA,NA,NA,Draft,53.5,21,1,0,0,2.5476190476190474
Riley Greene,42179,6,0,1,36,FALSE,NA,NA,NA,Draft,82,24,1,0,0,3.4166666666666665
Robert Suarez,4148749,12,0,1,36,TRUE,NA,NA,NA,Draft,53.5,10,0,0,1,5.35
Ronald Acuna Jr.,36185,2,0,1,36,FALSE,NA,NA,NA,Draft,73,22,1,0,0,3.3181818181818183
Royce Lewis,40635,6,0,1,20,FALSE,NA,NA,NA,Draft,7,1,1,0,0,7
Ryan Helsley,39909,5,0,1,36,TRUE,NA,NA,NA,Draft,51.5,12,0,0,1,4.291666666666667
