player,player_id,team_id,stint,start,end,rp_eligible,team_from,teams_involved,trade_id,transaction_type,n_points,n_games,w_bat,w_sp,w_rp,ppg
Aaron Civale,40934,1,0,1,36,FALSE,NA,NA,NA,Draft,77,4,0,1,0,19.25
Aaron Judge,33192,13,0,1,36,FALSE,NA,NA,NA,Draft,48.5,24,1,0,0,2.0208333333333335
Aaron Nola,33709,12,0,1,36,FALSE,NA,NA,NA,Draft,84,5,0,1,0,16.8
Adbert Alzolay,39802,5,0,1,33,TRUE,NA,NA,NA,Draft,23,11,0,0,1,2.090909090909091
Adley Rutschman,42178,9,0,1,36,FALSE,NA,NA,NA,Draft,66,22,1,0,0,3
Adolis Garcia,35537,8,0,1,36,FALSE,NA,NA,NA,Draft,87,23,1,0,0,3.782608695652174
Alec Bohm,41169,11,0,1,36,FALSE,NA,NA,NA,Draft,71.5,24,1,0,0,2.9791666666666665
Alex Bregman,34886,4,0,1,36,FALSE,NA,NA,NA,Draft,33,21,1,0,0,1.5714285714285714
Alex Lange,40976,13,0,1,36,TRUE,NA,NA,NA,Draft,30.5,10,0,0,1,3.05
Alex Verdugo,33786,1,0,1,15,FALSE,NA,NA,NA,Draft,12,7,1,0,0,1.7142857142857142
Alex Vesia,42622,6,0,1,2,TRUE,NA,NA,NA,Draft,1,1,0,0,1,1
Alexis Diaz,4905920,7,0,1,36,TRUE,NA,NA,NA,Draft,33,9,0,0,1,3.6666666666666665
Andres Gimenez,37729,14,0,1,36,FALSE,NA,NA,NA,Draft,57.5,21,1,0,0,2.738095238095238
Andres Munoz,40939,12,0,1,36,TRUE,NA,NA,NA,Draft,30.5,9,0,0,1,3.388888888888889
Andrew Abbott,4414528,11,0,1,36,FALSE,NA,NA,NA,Draft,61,4,0,1,0,15.25
Andrew Benintendi,34986,4,0,1,2,FALSE,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Andrew Heaney,32672,5,0,1,21,FALSE,NA,NA,NA,Draft,-5,1,0,1,0,-5
Andrew Vaughn,42394,14,0,1,18,FALSE,NA,NA,NA,Draft,4.5,8,1,0,0,0.5625
Anthony Rizzo,30782,9,0,1,36,FALSE,NA,NA,NA,Draft,42.5,21,1,0,0,2.0238095238095237
Anthony Santander,36084,2,0,1,36,FALSE,NA,NA,NA,Draft,64.5,22,1,0,0,2.9318181818181817
Anthony Volpe,42547,14,0,1,36,FALSE,NA,NA,NA,Draft,50.5,22,1,0,0,2.2954545454545454
Austin Hays,36928,5,0,1,21,FALSE,NA,NA,NA,Draft,2,7,1,0,0,0.2857142857142857
