player,player_id,team_id,matchup_id,scoring_period_id,ip,p_er,rule,bonus
Joe Ryan,42450,8,9,63,5.0,3,Bulk RP Rule,0
Jeffrey Springs,35397,8,11,79,6.2,3,Javier Rule,5
Jeffrey Springs,35397,8,12,84,6.0,3,Javier Rule,5
Ben Casparius,4326800,14,13,97,5.0,3,Bulk RP Rule,0
Ben Casparius,4326800,14,14,103,4.0,6,Bulk RP Rule,0
