team,matchup_id,n_rp,penalty,scoring_period_id
Elly De La Snooze,21,5,10,Inf
Elly De La Snooze,22,5,45.5,Inf
Elly De La Snooze,23,5,29,Inf
Ketel Bells,11,4,9.5,Inf
Mt. Everest Taquito Farmers,22,4,9.5,Inf
The Talmudic Tunnelers,22,4,7,Inf
The Traveling Secretaries,7,4,9,Inf
The Traveling Secretaries,23,4,9,Inf
The West Bank Occupiers,6,7,3,Inf
