team,matchup_id,scoring_period_id,penalty
Tucker? I hardly know her,1,12,12.5
Ketel Bells,1,12,-4
Top Gunner: Henderson,1,12,3.5
Mt. Everest Taquito Farmers,3,26,30.5
Tucker? I hardly know her,5,40,20
Book of Bob,5,40,12.5
Blasphemous Hot Takes,11,82,12.5
Tucker? I hardly know her,14,103,1.5
All That is Wright,14,103,19.5
The Talmudic Tunnelers,15,117,7
Tucker? I hardly know her,15,117,35
All That is Wright,15,117,56.5
The Traveling Secretaries,15,117,31
The Novaks,15,117,47.5
Bibee-di-Bobbidi-Boo,15,117,18.5
Book of Bob,15,116,26.5
The West Bank Occupiers,15,117,8.5
Blasphemous Hot Takes,15,117,5.5
Top Gunner: Henderson,15,117,-1
