matchup_id,game_id,home_team_id,home_total_points,home_batting_points,home_pitching_points,away_team_id,away_total_points,away_batting_points,away_pitching_points,home_team,away_team
1,1,5,285,195.5,89.5,7,364.5,274,90.5,Ryan Topping -Zimmerman,Place Your Betts
1,2,11,417,251,166,6,404.5,206.5,198,The West Bank Occupiers ,The Novaks
1,3,4,418.5,250.5,168,12,436,294.5,141.5,The  Lincoln Project,Blasphemous Hot Takes
1,4,1,294,206,88,8,305.5,215,90.5,Yosemite Yeshivas,Mt. Everest Taquito Farmers
1,5,9,389,217.5,171.5,13,394,194,200,Stanton Ovation,Whats that Odor?
1,6,14,488,293,195,2,423.5,216,207.5,"Came, Kershaw, Conquered",The Snell of defeat :(
2,7,7,313,179,134,6,305.5,176.5,129,Place Your Betts,The Novaks
2,8,12,271,196.5,74.5,5,204,155,49,Blasphemous Hot Takes,Ryan Topping -Zimmerman
2,9,4,275,146,129,11,279.5,126,153.5,The  Lincoln Project,The West Bank Occupiers 
2,10,8,218,161.5,56.5,13,233.5,124,109.5,Mt. Everest Taquito Farmers,Whats that Odor?
2,11,2,278,165.5,112.5,1,300.5,198.5,102,The Snell of defeat :(,Yosemite Yeshivas
2,12,14,301,144,157,9,323.5,184.5,139,"Came, Kershaw, Conquered",Stanton Ovation
3,13,12,244.5,217.5,27,7,328,150.5,177.5,Blasphemous Hot Takes,Place Your Betts
3,14,6,270,200.5,69.5,4,268,203,65,The Novaks,The  Lincoln Project
3,15,5,265.5,198,67.5,11,330,212.5,117.5,Ryan Topping -Zimmerman,The West Bank Occupiers 
3,16,2,284.5,173,111.5,8,291.5,156,135.5,The Snell of defeat :(,Mt. Everest Taquito Farmers
3,17,13,309,198,111,14,296,199,97,Whats that Odor?,"Came, Kershaw, Conquered"
3,18,1,287,210.5,76.5,9,304,186.5,117.5,Yosemite Yeshivas,Stanton Ovation
4,19,7,381.5,239,142.5,4,328.5,206.5,122,Place Your Betts,The  Lincoln Project
4,20,11,278.5,189.5,89,12,282,262,20,The West Bank Occupiers ,Blasphemous Hot Takes
4,21,5,235,158.5,76.5,6,281.5,189.5,92,Ryan Topping -Zimmerman,The Novaks
4,22,8,177,103,74,14,380.5,234.5,146,Mt. Everest Taquito Farmers,"Came, Kershaw, Conquered"
4,23,9,369,261,108,2,243.5,158.5,85,Stanton Ovation,The Snell of defeat :(
4,24,1,281,206,75,13,276.5,189.5,87,Yosemite Yeshivas,Whats that Odor?
5,25,11,337,202.5,134.5,7,316.5,185,131.5,The West Bank Occupiers ,Place Your Betts
5,26,4,259.5,195.5,64,5,220.5,201,19.5,The  Lincoln Project,Ryan Topping -Zimmerman
5,27,12,316.5,203.5,113,6,324,217.5,106.5,Blasphemous Hot Takes,The Novaks
5,28,9,335,182,153,8,171,106.5,64.5,Stanton Ovation,Mt. Everest Taquito Farmers
5,29,14,246.5,145,101.5,1,297.5,198.5,99,"Came, Kershaw, Conquered",Yosemite Yeshivas
5,30,2,229.5,135.5,94,13,378.5,215.5,163,The Snell of defeat :(,Whats that Odor?
6,31,13,384,222,162,12,345,198,147,Whats that Odor?,Blasphemous Hot Takes
6,32,9,359.5,203.5,156,7,303,162,141,Stanton Ovation,Place Your Betts
6,33,2,268,173,95,6,290,162.5,127.5,The Snell of defeat :(,The Novaks
6,34,14,396,198,198,11,260,150,110,"Came, Kershaw, Conquered",The West Bank Occupiers 
6,35,8,255,166.5,88.5,5,226.5,169.5,57,Mt. Everest Taquito Farmers,Ryan Topping -Zimmerman
6,36,1,319,211,108,4,272.5,197,75.5,Yosemite Yeshivas,The  Lincoln Project
7,37,12,363.5,188,175.5,1,283.5,220.5,63,Blasphemous Hot Takes,Yosemite Yeshivas
7,38,7,327.5,128.5,199,8,280,198,82,Place Your Betts,Mt. Everest Taquito Farmers
7,39,6,319,142.5,176.5,14,348.5,225.5,123,The Novaks,"Came, Kershaw, Conquered"
7,40,11,377.5,199,178.5,2,347,185.5,161.5,The West Bank Occupiers ,The Snell of defeat :(
7,41,5,312,193,119,9,362,215.5,146.5,Ryan Topping -Zimmerman,Stanton Ovation
7,42,4,257.5,153,104.5,13,316,206,110,The  Lincoln Project,Whats that Odor?
8,43,9,386,223.5,162.5,13,257,132.5,124.5,Stanton Ovation,Whats that Odor?
8,44,7,255,128,127,14,415,287.5,127.5,Place Your Betts,"Came, Kershaw, Conquered"
8,45,11,312.5,146.5,166,8,294,203.5,90.5,The West Bank Occupiers ,Mt. Everest Taquito Farmers
8,46,5,298.5,161.5,137,12,314,176.5,137.5,Ryan Topping -Zimmerman,Blasphemous Hot Takes
8,47,1,331,192,139,6,260,135,125,Yosemite Yeshivas,The Novaks
8,48,2,250.5,161.5,89,4,278.5,152.5,126,The Snell of defeat :(,The  Lincoln Project
9,49,9,279.5,163,116.5,14,363.5,155,208.5,Stanton Ovation,"Came, Kershaw, Conquered"
9,50,7,315,228,87,13,302.5,227,75.5,Place Your Betts,Whats that Odor?
9,51,11,248.5,142,106.5,12,284.5,213.5,71,The West Bank Occupiers ,Blasphemous Hot Takes
9,52,1,255,145.5,109.5,8,297,209.5,87.5,Yosemite Yeshivas,Mt. Everest Taquito Farmers
9,53,4,252.5,195,57.5,5,206,116,90,The  Lincoln Project,Ryan Topping -Zimmerman
9,54,6,286,152,134,2,311.5,171,140.5,The Novaks,The Snell of defeat :(
