team_id,qs,k,k_sp,k_rp,bb,bb_sp,bb_rp,outs,outs_sp,outs_rp,earned_runs,earned_runs_sp,earned_runs_rp,hr_allowed_sp,hr_allowed_rp,hr_allowed,hpb,hpb_sp,hpb_rp,blue_balls,era,era_sp,era_rp,k9,k9_sp,k9_rp,bb9,bb9_sp,bb9_rp,k_per_bb,k_per_bb_sp,k_per_bb_rp,hr9,hr9_sp,hr9_rp,fip,fip_sp,fip_rp,fip_constant
1,79,1228,1024,204,489,414,75,3511,2990,521,514,447,67,131,18,149,55,47,8,8,3.952720022785531,4.036454849498328,3.4721689059500958,9.44346340074053,9.246822742474915,10.571976967370441,3.760467103389348,3.7384615384615385,3.886756238003839,2.511247443762781,2.473429951690821,2.72,1.1458273996012531,1.1829431438127092,0.9328214971209213,4.083373074622971,4.173833538582871,3.564223770899165,3.1323619666765166
2,83,1220,1023,197,425,346,79,3609,3057,552,527,457,70,134,17,151,64,54,10,8,3.942643391521197,4.036310107948969,3.423913043478261,9.127182044887782,9.035328753680078,9.63586956521739,3.179551122194514,3.055937193326791,3.8641304347826084,2.8705882352941177,2.9566473988439306,2.4936708860759493,1.1296758104738154,1.18351324828263,0.8315217391304348,3.955304610068038,4.011655391602915,3.6432315318939077,3.1323619666765166
4,88,1270,1083,187,408,340,68,3613,3117,496,528,451,77,139,20,159,38,34,4,6,3.9457514530860784,3.906641000962464,4.191532258064516,9.490727926930528,9.381135707410973,10.179435483870968,3.0489897592028785,2.9451395572666024,3.701612903225806,3.1127450980392157,3.1852941176470586,2.75,1.1882092443952395,1.2040423484119345,1.0887096774193548,3.85060165668482,3.8667219281779603,3.749297450547484,3.1323619666765166
5,79,1121,915,206,377,299,78,3561,3023,538,551,480,71,138,19,157,53,40,13,9,4.177759056444819,4.2871319880913,3.563197026022305,8.499578770008425,8.17234535229904,10.338289962825279,2.8584667228306655,2.6705259675818724,3.9144981412639406,2.973474801061008,3.060200668896321,2.641025641025641,1.190395956192081,1.232550446576249,0.9535315985130113,4.049800888327738,4.105898188972249,3.734592449947892,3.1323619666765166
6,91,1341,1092,249,368,285,83,3926,3270,656,575,510,65,166,18,184,58,44,14,2,3.9544065206316863,4.2110091743119265,2.6753048780487805,9.222363728986247,9.016513761467891,10.248475609756097,2.530820173204279,2.353211009174312,3.4161585365853657,3.6440217391304346,3.831578947368421,3,1.2654100866021396,1.3706422018348623,0.7408536585365854,3.887328854093735,4.014013342823306,3.255837576432614,3.1323619666765166
7,79,1333,1101,232,404,320,84,3588,3045,543,583,524,59,171,16,187,66,51,15,2,4.387123745819398,4.646305418719211,2.9337016574585637,10.030936454849499,9.762561576354681,11.535911602209945,3.040133779264214,2.8374384236453203,4.176795580110497,3.2995049504950495,3.440625,2.761904761904762,1.407190635451505,1.516256157635468,0.7955801104972376,4.114803438248423,4.249603345986861,3.3588813036930913,3.1323619666765166
8,96,1269,1031,238,305,240,65,3804,3228,576,498,450,48,134,9,143,47,42,5,9,3.534700315457413,3.7639405204460967,2.25,9.007097791798106,8.62360594795539,11.15625,2.164826498422713,2.0074349442379185,3.046875,4.160655737704918,4.295833333333333,3.6615384615384614,1.0149842271293377,1.120817843866171,0.421875,3.4296805786638984,3.621209550319639,2.35632030000985,3.1323619666765166
9,98,1260,1040,220,396,327,69,3725,3210,515,495,436,59,121,18,139,46,41,5,7,3.5879194630872484,3.6672897196261687,3.0932038834951454,9.132885906040269,8.74766355140187,11.533980582524272,2.8703355704697984,2.750467289719626,3.6174757281553394,3.1818181818181817,3.180428134556575,3.1884057971014492,1.00751677852349,1.0177570093457944,0.9436893203883495,3.6260532418443017,3.6903058919101612,3.2255658501716624,3.1323619666765166
11,77,1186,992,194,420,328,92,3515,3090,425,501,445,56,158,11,169,46,40,6,7,3.848364153627312,3.888349514563107,3.55764705882353,9.110099573257468,8.667961165048544,12.32470588235294,3.2261735419630155,2.8660194174757283,5.844705882352941,2.823809523809524,3.024390243902439,2.108695652173913,1.2981507823613085,1.3805825242718448,0.6988235294117647,4.176174199962434,4.272167791919235,3.478244319617693,3.1323619666765166
12,96,1405,1152,253,387,301,86,3939,3300,639,532,443,89,149,31,180,53,38,15,10,3.6466108149276466,3.6245454545454545,3.7605633802816905,9.63061690784463,9.425454545454546,10.690140845070422,2.6527037319116524,2.462727272727273,3.6338028169014085,3.6304909560723515,3.8272425249169437,2.941860465116279,1.233815689261234,1.219090909090909,1.3098591549295775,3.779734396227164,3.7232710575856074,4.071329102826751,3.1323619666765166
13,77,1158,932,226,433,361,72,3617,3007,610,550,461,89,131,27,158,54,41,13,9,4.105612385955212,4.139341536415031,3.939344262295082,8.644180259883882,8.368473561689392,10.00327868852459,3.2322366602156483,3.2414366478217493,3.1868852459016392,2.674364896073903,2.581717451523546,3.138888888888889,1.1794304672380427,1.1762554040572,1.1950819672131148,4.1268325223856674,4.174929309543161,3.8897390158568443,3.1323619666765166
14,88,1224,1011,213,410,341,69,3585,3082,503,516,466,50,136,16,152,52,46,6,8,3.8861924686192473,4.0824140168721605,2.6838966202783303,9.218410041841004,8.856911096690462,11.433399602385686,3.087866108786611,2.9873458792991565,3.7037773359840953,2.9853658536585366,2.964809384164223,3.0869565217391304,1.1447698744769874,1.191434133679429,0.8588469184890655,3.897215523161872,4.015230234035375,3.174111469658624,3.1323619666765166
