matchup_id,game_id,home_team_id,home_total_points,home_batting_points,home_pitching_points,away_team_id,away_total_points,away_batting_points,away_pitching_points,home_team,away_team
1,1,5,387.5,255.5,132,12,568.5,360,208.5,The Traveling Secretaries,Blasphemous Hot Takes
1,2,8,510.5,309,201.5,7,521,303.5,217.5,Mt. Everest Taquito Farmers,Cron's Disease
1,3,13,457.5,309,148.5,11,491,283.5,207.5,Ketel Bells,The West Bank Occupiers
1,4,4,436.5,260.5,176,6,452.5,335.5,117,All That is Wright,The Novaks
1,5,2,544,304,240,1,473,340.5,132.5,Framber Valdez Oil Spill,Crown Heights Crusaders
1,6,14,494,287,207,9,649.5,352.5,297,Hader Better Faster Stronger,The Greatest Stroman
2,7,12,358,160,198,7,338,196.5,141.5,Blasphemous Hot Takes,Cron's Disease
2,8,11,318.5,199.5,119,5,350.5,180.5,170,The West Bank Occupiers,The Traveling Secretaries
2,9,6,350.5,189.5,161,8,352,185,167,The Novaks,Mt. Everest Taquito Farmers
2,10,1,299.5,233.5,66,13,296,181,115,Crown Heights Crusaders,Ketel Bells
2,11,9,339.5,207,132.5,4,412,266,146,The Greatest Stroman,All That is Wright
2,12,14,325.5,202.5,123,2,350.5,191,159.5,Hader Better Faster Stronger,Framber Valdez Oil Spill
3,13,11,230.5,168,62.5,12,298.5,138.5,160,The West Bank Occupiers,Blasphemous Hot Takes
3,14,7,338,234.5,103.5,6,289,138.5,150.5,Cron's Disease,The Novaks
3,15,5,307.5,174,133.5,1,368,229.5,138.5,The Traveling Secretaries,Crown Heights Crusaders
3,16,8,347.5,192.5,155,9,389.5,230.5,159,Mt. Everest Taquito Farmers,The Greatest Stroman
3,17,13,337.5,213.5,124,14,313.5,142.5,171,Ketel Bells,Hader Better Faster Stronger
3,18,4,357,219.5,137.5,2,335,180,155,All That is Wright,Framber Valdez Oil Spill
4,19,12,347.5,206.5,141,6,430,240.5,189.5,Blasphemous Hot Takes,The Novaks
4,20,1,274.5,173,101.5,11,341,197,144,Crown Heights Crusaders,The West Bank Occupiers
4,21,9,324,177.5,146.5,7,242,148.5,93.5,The Greatest Stroman,Cron's Disease
4,22,14,364.5,198.5,166,5,282,141,141,Hader Better Faster Stronger,The Traveling Secretaries
4,23,2,180.5,146,34.5,8,359.5,169,190.5,Framber Valdez Oil Spill,Mt. Everest Taquito Farmers
4,24,4,373.5,212,161.5,13,283.5,171,112.5,All That is Wright,Ketel Bells
5,25,1,380,241.5,138.5,12,405,274.5,130.5,Crown Heights Crusaders,Blasphemous Hot Takes
5,26,6,347,196.5,150.5,9,326,151.5,174.5,The Novaks,The Greatest Stroman
5,27,11,282,188,94,14,233,173,60,The West Bank Occupiers,Hader Better Faster Stronger
5,28,7,338.5,198.5,140,2,320,192.5,127.5,Cron's Disease,Framber Valdez Oil Spill
5,29,5,386,215.5,170.5,4,334,206,128,The Traveling Secretaries,All That is Wright
5,30,8,351.5,191.5,160,13,260.5,209.5,51,Mt. Everest Taquito Farmers,Ketel Bells
6,31,12,326,196.5,129.5,9,361.5,215.5,146,Blasphemous Hot Takes,The Greatest Stroman
6,32,14,262.5,156.5,106,1,361.5,181.5,180,Hader Better Faster Stronger,Crown Heights Crusaders
