team_id,total_points,batting_points,pitching_points,team,matchup_id,game_id,adj_pts,adj_batting_pts,adj_pitching_pts,team_id_opp,total_points_opp,batting_points_opp,pitching_points_opp,team_opp,adj_pts_opp,adj_batting_pts_opp,adj_pitching_pts_opp,overall_rank,batting_rank,pitching_rank
5,323,253,70,The Traveling Secretaries,1,1,205.54545454545453,161,44.54545454545455,12,532,339.5,192.5,Blasphemous Hot Takes,338.54545454545456,216.04545454545453,122.5,12,12,12
8,432.5,306,126.5,Mt. Everest Taquito Farmers,1,2,275.22727272727275,194.72727272727272,80.5,7,485,295,190,Cron's Disease,308.6363636363636,187.72727272727272,120.9090909090909,6,5,8
13,416.5,304.5,112,Ketel of Fish,1,3,265.04545454545456,193.77272727272728,71.27272727272727,11,425.5,270.5,155,The West Bank Occupiers,270.77272727272725,172.13636363636363,98.63636363636364,9,6,9
4,399,259,140,All That is Wright,1,4,253.9090909090909,164.8181818181818,89.0909090909091,6,406.5,323,83.5,The Novaks,258.6818181818182,205.54545454545453,53.13636363636363,11,11,7
2,499,302,197,Framber Valdez Oil Spill,1,5,317.54545454545456,192.1818181818182,125.36363636363636,1,420,314,106,Yosemite Yeshivas,267.27272727272725,199.8181818181818,67.45454545454545,3,7,2
14,454,284,170,Freedom of the Pressly,1,6,288.90909090909093,180.72727272727272,108.18181818181819,9,591.5,337,254.5,Don Julios,376.40909090909093,214.45454545454547,161.95454545454547,5,9,5
12,NA,NA,NA,Blasphemous Hot Takes,2,7,NA,NA,NA,7,NA,NA,NA,Cron's Disease,NA,NA,NA,1,1,1
11,NA,NA,NA,The West Bank Occupiers,2,8,NA,NA,NA,5,NA,NA,NA,The Traveling Secretaries,NA,NA,NA,2,2,2
6,NA,NA,NA,The Novaks,2,9,NA,NA,NA,8,NA,NA,NA,Mt. Everest Taquito Farmers,NA,NA,NA,3,3,3
1,NA,NA,NA,Yosemite Yeshivas,2,10,NA,NA,NA,13,NA,NA,NA,Ketel of Fish,NA,NA,NA,4,4,4
9,NA,NA,NA,Don Julios,2,11,NA,NA,NA,4,NA,NA,NA,All That is Wright,NA,NA,NA,5,5,5
14,NA,NA,NA,Freedom of the Pressly,2,12,NA,NA,NA,2,NA,NA,NA,Framber Valdez Oil Spill,NA,NA,NA,6,6,6
11,NA,NA,NA,The West Bank Occupiers,3,13,NA,NA,NA,12,NA,NA,NA,Blasphemous Hot Takes,NA,NA,NA,1,1,1
7,NA,NA,NA,Cron's Disease,3,14,NA,NA,NA,6,NA,NA,NA,The Novaks,NA,NA,NA,2,2,2
5,NA,NA,NA,The Traveling Secretaries,3,15,NA,NA,NA,1,NA,NA,NA,Yosemite Yeshivas,NA,NA,NA,3,3,3
8,NA,NA,NA,Mt. Everest Taquito Farmers,3,16,NA,NA,NA,9,NA,NA,NA,Don Julios,NA,NA,NA,4,4,4
13,NA,NA,NA,Ketel of Fish,3,17,NA,NA,NA,14,NA,NA,NA,Freedom of the Pressly,NA,NA,NA,5,5,5
4,NA,NA,NA,All That is Wright,3,18,NA,NA,NA,2,NA,NA,NA,Framber Valdez Oil Spill,NA,NA,NA,6,6,6
12,NA,NA,NA,Blasphemous Hot Takes,4,19,NA,NA,NA,6,NA,NA,NA,The Novaks,NA,NA,NA,1,1,1
1,NA,NA,NA,Yosemite Yeshivas,4,20,NA,NA,NA,11,NA,NA,NA,The West Bank Occupiers,NA,NA,NA,2,2,2
9,NA,NA,NA,Don Julios,4,21,NA,NA,NA,7,NA,NA,NA,Cron's Disease,NA,NA,NA,3,3,3
14,NA,NA,NA,Freedom of the Pressly,4,22,NA,NA,NA,5,NA,NA,NA,The Traveling Secretaries,NA,NA,NA,4,4,4
2,NA,NA,NA,Framber Valdez Oil Spill,4,23,NA,NA,NA,8,NA,NA,NA,Mt. Everest Taquito Farmers,NA,NA,NA,5,5,5
4,NA,NA,NA,All That is Wright,4,24,NA,NA,NA,13,NA,NA,NA,Ketel of Fish,NA,NA,NA,6,6,6
1,NA,NA,NA,Yosemite Yeshivas,5,25,NA,NA,NA,12,NA,NA,NA,Blasphemous Hot Takes,NA,NA,NA,1,1,1
6,NA,NA,NA,The Novaks,5,26,NA,NA,NA,9,NA,NA,NA,Don Julios,NA,NA,NA,2,2,2
11,NA,NA,NA,The West Bank Occupiers,5,27,NA,NA,NA,14,NA,NA,NA,Freedom of the Pressly,NA,NA,NA,3,3,3
7,NA,NA,NA,Cron's Disease,5,28,NA,NA,NA,2,NA,NA,NA,Framber Valdez Oil Spill,NA,NA,NA,4,4,4
5,NA,NA,NA,The Traveling Secretaries,5,29,NA,NA,NA,4,NA,NA,NA,All That is Wright,NA,NA,NA,5,5,5
8,NA,NA,NA,Mt. Everest Taquito Farmers,5,30,NA,NA,NA,13,NA,NA,NA,Ketel of Fish,NA,NA,NA,6,6,6
12,NA,NA,NA,Blasphemous Hot Takes,6,31,NA,NA,NA,9,NA,NA,NA,Don Julios,NA,NA,NA,1,1,1
14,NA,NA,NA,Freedom of the Pressly,6,32,NA,NA,NA,1,NA,NA,NA,Yosemite Yeshivas,NA,NA,NA,2,2,2
