player,player_id,team_id,matchup_id,scoring_period_id,ip,p_er,rule,bonus
Chase Dollander,4719068,9,5,39,5.1,6,Bulk RP Rule,0
Griffin Jax,42604,13,5,39,2.2,0,Opener Rule,0
