player,player_id,team_id,matchup_id,sp_games,rp_games,n_qs,relief_starts,sp_points,rp_points
Jeffrey Springs,35397,8,11,1,0,1,1,20,0
Jeffrey Springs,35397,8,12,1,0,1,1,20,0
Joe Ryan,42450,8,9,1,0,0,1,9,0
