player,player_id,team_from,team_to,scoring_period_id,teams_involved,trade_id
Isaac Paredes,39706,6,12,26,6 12,1
Michael Harris II,42470,12,6,26,6 12,1
Cody Bellinger,33912,9,6,48,6 9,2
Kenley Jansen,29630,9,6,48,6 9,2
Luke Weaver,33770,6,9,48,6 9,2
Jose Alvarado,36063,6,4,49,4 6,3
Josh Naylor,35066,4,6,49,4 6,3
Reed Garrett,36526,4,6,49,4 6,3
Spencer Schwellenbach,4424862,6,4,49,4 6,3
Kevin Gausman,32667,12,6,64,6 12,4
Mike Trout,30836,6,12,64,6 12,4
Abner Uribe,4917865,12,9,80,9 12,5
Adley Rutschman,42178,9,12,80,9 12,5
