matchup_id,game_id,home_team_id,home_total_points,home_batting_points,home_pitching_points,away_team_id,away_total_points,away_batting_points,away_pitching_points,home_team,away_team
1,1,13,244.5,150,94.5,4,228.5,120,108.5,Ketel Bells,All That is Wright
1,2,6,136.5,72.5,64,14,244.5,143,101.5,The Novaks,Burnes Notice
1,3,9,147.5,87.5,60,7,191,94.5,96.5,Guts. Glory. JRam.,At Witt's End
1,4,12,261,170,91,1,174,123,51,Blasphemous Hot Takes,The Talmudic Tunnelers
1,5,2,195,127.5,67.5,8,181,81,100,Sac Fly by the Rook,Mt. Everest Taquito Farmers
1,6,5,169.5,120.5,49,11,152,82,70,The Traveling Secretaries,The West Bank Occupiers
2,7,4,366,209,157,14,345,200.5,144.5,All That is Wright,Burnes Notice
2,8,7,289,176.5,112.5,13,353,224.5,128.5,At Witt's End,Ketel Bells
2,9,1,465.5,263.5,202,6,340.5,184.5,156,The Talmudic Tunnelers,The Novaks
2,10,8,302.5,214.5,88,9,336,210,126,Mt. Everest Taquito Farmers,Guts. Glory. JRam.
2,11,11,229.5,180.5,49,12,339.5,195.5,144,The West Bank Occupiers,Blasphemous Hot Takes
2,12,5,340,183.5,156.5,2,314.5,195.5,119,The Traveling Secretaries,Sac Fly by the Rook
3,13,7,208.5,105,103.5,4,350,185.5,164.5,At Witt's End,All That is Wright
3,14,14,329.5,163.5,166,1,318.5,233,85.5,Burnes Notice,The Talmudic Tunnelers
3,15,13,285,193.5,91.5,8,262.5,138,124.5,Ketel Bells,Mt. Everest Taquito Farmers
3,16,6,398,205,193,11,357.5,217.5,140,The Novaks,The West Bank Occupiers
3,17,9,317.5,133.5,184,5,325,179,146,Guts. Glory. JRam.,The Traveling Secretaries
3,18,12,389,192.5,196.5,2,266.5,127,139.5,Blasphemous Hot Takes,Sac Fly by the Rook
4,19,4,355.5,221,134.5,1,398.5,234,164.5,All That is Wright,The Talmudic Tunnelers
4,20,8,298.5,174,124.5,7,274,137.5,136.5,Mt. Everest Taquito Farmers,At Witt's End
4,21,11,293.5,263.5,30,14,328,190,138,The West Bank Occupiers,Burnes Notice
4,22,5,347.5,215.5,132,13,383,205,178,The Traveling Secretaries,Ketel Bells
4,23,2,369.5,231.5,138,6,302,137.5,164.5,Sac Fly by the Rook,The Novaks
4,24,12,390.5,200,190.5,9,355,210.5,144.5,Blasphemous Hot Takes,Guts. Glory. JRam.
5,25,8,360,216,144,4,344,190.5,153.5,Mt. Everest Taquito Farmers,All That is Wright
5,26,1,320,210.5,109.5,11,265.5,151,114.5,The Talmudic Tunnelers,The West Bank Occupiers
5,27,7,268.5,158.5,110,5,331.5,151.5,180,At Witt's End,The Traveling Secretaries
5,28,14,289.5,181.5,108,2,355,232.5,122.5,Burnes Notice,Sac Fly by the Rook
5,29,13,308,173,135,12,314.5,169,145.5,Ketel Bells,Blasphemous Hot Takes
5,30,6,345.5,187.5,158,9,301,161,140,The Novaks,Guts. Glory. JRam.
6,31,4,362.5,227.5,135,11,368.5,268.5,100,All That is Wright,The West Bank Occupiers
6,32,5,369.5,218.5,151,8,314,156.5,157.5,The Traveling Secretaries,Mt. Everest Taquito Farmers
6,33,2,257.5,195,62.5,1,371.5,206,165.5,Sac Fly by the Rook,The Talmudic Tunnelers
6,34,12,301,158,143,7,313,223,90,Blasphemous Hot Takes,At Witt's End
6,35,9,328,242,86,14,357.5,192,165.5,Guts. Glory. JRam.,Burnes Notice
6,36,6,296.5,206,90.5,13,354.5,219,135.5,The Novaks,Ketel Bells
7,37,5,313.5,220.5,93,4,324,197.5,126.5,The Traveling Secretaries,All That is Wright
7,38,11,360.5,216,144.5,2,343.5,211,132.5,The West Bank Occupiers,Sac Fly by the Rook
7,39,8,269.5,141,128.5,12,347,208,139,Mt. Everest Taquito Farmers,Blasphemous Hot Takes
7,40,1,348,214,134,9,317.5,147.5,170,The Talmudic Tunnelers,Guts. Glory. JRam.
7,41,7,303.5,201.5,102,6,290.5,188.5,102,At Witt's End,The Novaks
7,42,14,427.5,253,174.5,13,335.5,185.5,150,Burnes Notice,Ketel Bells
8,43,4,373.5,242,131.5,2,296.5,165,131.5,All That is Wright,Sac Fly by the Rook
8,44,12,408.5,208.5,200,5,191,142.5,48.5,Blasphemous Hot Takes,The Traveling Secretaries
8,45,9,358.5,204.5,154,11,328,218.5,109.5,Guts. Glory. JRam.,The West Bank Occupiers
8,46,6,383,257.5,125.5,8,365.5,197,168.5,The Novaks,Mt. Everest Taquito Farmers
