team_id,schedule_id,n_win,n_loss
1,1,15,6
1,2,10,11
1,4,15,6
1,5,15,6
1,6,9,12
1,7,14,7
1,8,13,8
1,9,9,12
1,11,14,7
1,12,14,7
1,13,12,9
1,14,13,8
2,1,11,10
2,2,7,14
2,4,9,12
2,5,10,11
2,6,6.5,14.5
2,7,9,12
2,8,9,12
2,9,6,15
2,11,9,12
2,12,11,10
2,13,11,10
2,14,9,12
4,1,15,6
4,2,12,9
4,4,12,9
4,5,16,5
4,6,11,10
4,7,16,5
4,8,13,8
4,9,11,10
4,11,11,10
4,12,16,5
4,13,14,7
4,14,15,6
5,1,9,12
5,2,9,12
5,4,7,14
5,5,12,9
5,6,8,13
5,7,11,10
5,8,11,10
5,9,9,12
5,11,12,9
5,12,9,12
5,13,12,9
5,14,10,11
6,1,12,9
6,2,12,9
6,4,10,11
6,5,9,12
6,6,8,13
6,7,12,9
6,8,13,8
6,9,11,10
6,11,11,10
6,12,12,9
6,13,14,7
6,14,10,11
7,1,9,12
7,2,4,17
7,4,5,16
7,5,7,14
7,6,4,17
7,7,5,16
7,8,6,15
7,9,5,16
7,11,2.5,18.5
7,12,9,12
7,13,5,16
7,14,6,15
8,1,8,13
8,2,6,15
8,4,9,12
8,5,8,13
8,6,5,16
8,7,7,14
8,8,6,15
8,9,4,17
8,11,5,16
8,12,10,11
8,13,9,12
8,14,8,13
9,1,11,10
9,2,8,13
9,4,9,12
9,5,9,12
9,6,5,16
9,7,10,11
9,8,9,12
9,9,9,12
9,11,8,13
9,12,10,11
9,13,12,9
9,14,9,12
11,1,13,8
11,2,8,13
11,4,13,8
11,5,9,12
11,6,10,11
11,7,13,8
11,8,12,9
11,9,7,14
11,11,10,11
11,12,10,11
11,13,10,11
11,14,12,9
12,1,15,6
12,2,11,10
12,4,11,10
12,5,14,7
12,6,12,9
12,7,11,10
12,8,13,8
12,9,12,9
12,11,12,9
12,12,13,8
12,13,15,6
12,14,12,9
13,1,13,8
13,2,11,10
13,4,13,8
13,5,12,9
13,6,9.5,11.5
13,7,11,10
13,8,13,8
13,9,9,12
13,11,12,9
13,12,13,8
13,13,14,7
13,14,10,11
14,1,15,6
14,2,11,10
14,4,10.5,10.5
14,5,15,6
14,6,11,10
14,7,12,9
14,8,15,6
14,9,12,9
14,11,13,8
14,12,14,7
14,13,13,8
14,14,15,6
