player,player_id,team_id,stint,start,end,rp_eligible,round_id,pick_id,transaction_type,n_points,n_games,w_bat,w_sp,w_rp,ppg
A.J. Puk,36201,5,0,1,22,TRUE,22,260,Draft,17.5,4,0,0,1,4.375
Aaron Judge,33192,2,0,1,22,FALSE,1,3,Draft,68.5,10,1,0,0,6.85
Aaron Nola,33709,5,0,1,22,FALSE,5,53,Draft,19,2,0,1,0,9.5
Adley Rutschman,42178,9,0,1,22,FALSE,5,54,Draft,26.5,10,1,0,0,2.65
Adolis Garcia,35537,12,0,1,22,FALSE,10,119,Draft,26,11,1,0,0,2.3636363636363638
Alec Bohm,41169,7,0,1,22,FALSE,8,93,Draft,8.5,8,1,0,0,1.0625
Alec Burleson,4345070,7,0,1,22,FALSE,15,172,Draft,16,10,1,0,0,1.6
Alex Bregman,34886,13,0,1,22,FALSE,4,37,Draft,40.5,11,1,0,0,3.6818181818181817
Alexis Diaz,4905920,2,0,1,22,TRUE,20,238,Draft,0,0,NA,NA,NA,0
Andres Gimenez,37729,12,0,1,9,FALSE,20,239,Draft,0,0,NA,NA,NA,0
Andres Munoz,40939,2,0,1,22,TRUE,19,219,Draft,31,5,0,0,1,6.2
Andrew Vaughn,42394,2,0,1,22,FALSE,18,214,Draft,13,8,1,0,0,1.625
Anthony Santander,36084,7,0,1,22,FALSE,4,45,Draft,14.5,11,1,0,0,1.3181818181818181
Anthony Volpe,42547,5,0,1,22,FALSE,17,197,Draft,42.5,10,1,0,0,4.25
Aroldis Chapman,30442,11,0,1,22,TRUE,22,256,Draft,18.5,4,0,0,1,4.625
Austin Riley,34982,4,0,1,22,FALSE,4,38,Draft,8.5,9,1,0,0,0.9444444444444444
Austin Wells,4683349,13,0,1,22,FALSE,21,252,Draft,25.5,9,1,0,0,2.8333333333333335
Bailey Ober,3107919,6,0,1,22,FALSE,7,79,Draft,-4,2,0,1,0,-2
Blake Snell,33748,1,0,1,22,FALSE,3,32,Draft,12,2,0,1,0,6
Blake Treinen,32185,12,0,1,22,TRUE,NA,NA,Free Agent,16.5,5,0,0,1,3.3
Bo Bichette,38904,6,0,1,22,FALSE,9,103,Draft,24,11,1,0,0,2.1818181818181817
Bobby Witt Jr.,42403,7,0,1,22,FALSE,1,4,Draft,31.5,10,1,0,0,3.15
Bowden Francis,4734325,12,0,1,22,TRUE,21,242,Draft,29,2,0,1,0,14.5
Brandon Lowe,39961,4,0,1,22,FALSE,12,134,Draft,30,9,1,0,0,3.3333333333333335
Brandon Nimmo,32159,6,0,1,22,FALSE,11,127,Draft,19.5,10,1,0,0,1.95
Brandon Pfaadt,4721302,9,0,1,22,FALSE,10,115,Draft,23.5,2,0,1,0,11.75
Brandon Woodruff,37515,6,0,1,22,FALSE,12,138,Draft,0,0,NA,NA,NA,0
Brendan Donovan,41773,7,0,1,22,FALSE,7,76,Draft,37,10,1,0,0,3.7
Brent Rooker,40926,2,0,1,22,FALSE,6,70,Draft,30,11,1,0,0,2.727272727272727
Brenton Doyle,42462,1,0,1,22,FALSE,12,137,Draft,22,8,1,0,0,2.75
Brice Turang,41179,14,0,1,22,FALSE,20,240,Draft,11.5,6,1,0,0,1.9166666666666667
Bryan Abreu,41208,7,0,1,22,TRUE,22,261,Draft,19.5,5,0,0,1,3.9
Bryan Reynolds,38980,12,0,1,22,FALSE,8,95,Draft,11,9,1,0,0,1.2222222222222223
Bryan Woo,4629089,8,0,1,22,FALSE,11,130,Draft,32.5,2,0,1,0,16.25
