team_home,team_away,day_of_matchup,days_left,score_diff,starts_left_home,starts_left_away,start_advantage,win_prob,win_prob_lr
All That is Wright,The West Bank Occupiers,0,7,0,8,8,0,0.7460909243238895,0.4980916406925082
All That is Wright,The West Bank Occupiers,1,6,-24.5,8,8,0,0.4901852738215213,0.23166877595269889
All That is Wright,The West Bank Occupiers,2,5,-56,6,7,-1,0.17871925203688988,0.07310399257580673
All That is Wright,The West Bank Occupiers,3,4,-58.5,5,5,0,0.09935430150653311,0.05457206872231702
All That is Wright,The West Bank Occupiers,4,3,-10,4,5,-1,0.3457533946544919,0.3180056169186996
All That is Wright,The West Bank Occupiers,5,2,10,3,3,0,0.5991811334801433,0.6174178837588302
All That is Wright,The West Bank Occupiers,6,1,-37,3,2,1,0.17883604253767477,0.2563559804534334
All That is Wright,The West Bank Occupiers,7,0,-6,0,0,0,0,0.42571022351740606
The Traveling Secretaries,Mt. Everest Taquito Farmers,0,7,0,8,8,0,0.6012252987175334,0.4980916406925082
The Traveling Secretaries,Mt. Everest Taquito Farmers,1,6,-1.5,7,8,-1,0.5101142003521384,0.39303020357343604
The Traveling Secretaries,Mt. Everest Taquito Farmers,2,5,7.5,7,8,-1,0.5803746105590679,0.4782843000487573
The Traveling Secretaries,Mt. Everest Taquito Farmers,3,4,1.5,7,6,1,0.5485872706484118,0.6039011283275083
The Traveling Secretaries,Mt. Everest Taquito Farmers,4,3,43.5,4,6,-2,0.7050486848702903,0.7207354535415142
The Traveling Secretaries,Mt. Everest Taquito Farmers,5,2,7.5,3,2,1,0.682883848688715,0.6577867465882037
The Traveling Secretaries,Mt. Everest Taquito Farmers,6,1,43.5,0,1,-1,0.8582330490654222,0.7864709478638616
The Traveling Secretaries,Mt. Everest Taquito Farmers,7,0,55.5,0,0,0,1,0.9364921519491152
Sac Fly by the Rook,The Talmudic Tunnelers,0,7,0,8,8,0,0.33988003929115224,0.4980916406925082
Sac Fly by the Rook,The Talmudic Tunnelers,1,6,-10.5,7,8,-1,0.2948661626259388,0.31383135958507713
Sac Fly by the Rook,The Talmudic Tunnelers,2,5,-15,6,6,0,0.3053304786554832,0.3236631726582143
Sac Fly by the Rook,The Talmudic Tunnelers,3,4,-31,5,4,1,0.3401412051686841,0.30294873404959727
Sac Fly by the Rook,The Talmudic Tunnelers,4,3,-79,5,2,3,0.10443958825957658,0.11993847226559529
Sac Fly by the Rook,The Talmudic Tunnelers,5,2,-109,4,2,2,0.017091707232757804,0.029988642407116885
Sac Fly by the Rook,The Talmudic Tunnelers,6,1,-115.5,3,1,2,0.009553279112476535,0.023545037356807498
Sac Fly by the Rook,The Talmudic Tunnelers,7,0,-114,1,0,1,0,0.01731901436870222
Blasphemous Hot Takes,At Witt's End,0,7,0,8,8,0,0.8169646653294393,0.4980916406925082
Blasphemous Hot Takes,At Witt's End,1,6,14,8,8,0,0.8323210601282933,0.6621963402990594
Blasphemous Hot Takes,At Witt's End,2,5,48,7,7,0,0.9385212846408553,0.9110319355181192
Blasphemous Hot Takes,At Witt's End,3,4,26.5,6,6,0,0.7038052235028764,0.782601671408425
Blasphemous Hot Takes,At Witt's End,4,3,-2,5,5,0,0.4797920366125625,0.47380382815863736
Blasphemous Hot Takes,At Witt's End,5,2,27,2,2,0,0.7882021566837417,0.7867095671532102
Blasphemous Hot Takes,At Witt's End,6,1,-10.5,1,1,0,0.2876993882665856,0.37327755213174163
Blasphemous Hot Takes,At Witt's End,7,0,-12,0,0,0,0,0.3563786126289677
Guts. Glory. JRam.,Burnes Notice,0,7,0,8,8,0,0.4650310374156971,0.4980916406925082
Guts. Glory. JRam.,Burnes Notice,1,6,5,8,8,0,0.49967173504073603,0.5586006128410093
Guts. Glory. JRam.,Burnes Notice,2,5,5,6,7,-1,0.45371974755835615,0.4542548085010093
Guts. Glory. JRam.,Burnes Notice,3,4,2.5,5,5,0,0.5154713438141691,0.5284506311954795
Guts. Glory. JRam.,Burnes Notice,4,3,-24.5,4,3,1,0.4051291683054082,0.3584065331698019
Guts. Glory. JRam.,Burnes Notice,5,2,-32.5,3,1,2,0.3714247708311481,0.36550560187928005
Guts. Glory. JRam.,Burnes Notice,6,1,-39,1,1,0,0.09166305883676634,0.12966152276400034
Guts. Glory. JRam.,Burnes Notice,7,0,-29.5,0,0,0,0,0.19123112959581484
The Novaks,Ketel Bells,0,7,0,8,8,0,0.4989992543301669,0.4980916406925082
The Novaks,Ketel Bells,1,6,43,6,8,-2,0.6511026075317664,0.7168978109132261
The Novaks,Ketel Bells,2,5,23.5,4,6,-2,0.5135371732600393,0.5470164060035659
The Novaks,Ketel Bells,3,4,-44,4,4,0,0.15095827287332336,0.10460506408890681
The Novaks,Ketel Bells,4,3,-77.5,4,3,1,0.0666990417076892,0.06729702047196347
The Novaks,Ketel Bells,5,2,-71.5,4,3,1,0.08267456132864956,0.0833810503759386
The Novaks,Ketel Bells,6,1,-38.5,1,2,-1,0.06379898671081652,0.1342463916548486
The Novaks,Ketel Bells,7,0,-58,0,0,0,0,0.05584008037327034
