team_home,team_away,day_of_matchup,days_left,score_diff,starts_left_home,starts_left_away,start_advantage,win_prob,win_prob_lr
Bibee-di-Bobbidi-Boo,The Talmudic Tunnelers,0,7,0,8,8,0,0.4354243250008107,0.498125815376785
Bibee-di-Bobbidi-Boo,The Talmudic Tunnelers,1,6,-21.5,7,7,0,0.29618992767357644,0.2561955432903676
Bibee-di-Bobbidi-Boo,The Talmudic Tunnelers,2,5,-39.5,5,4,1,0.2401068593962548,0.23838217353004104
Blasphemous Hot Takes,Mt. Everest Taquito Farmers,0,7,0,8,8,0,0.5267489635344625,0.498125815376785
Blasphemous Hot Takes,Mt. Everest Taquito Farmers,1,6,24.5,7,8,-1,0.6303819278445437,0.6378369825912485
Blasphemous Hot Takes,Mt. Everest Taquito Farmers,2,5,66,6,8,-2,0.8024283793772132,0.8510221974079161
The Novaks,The Traveling Secretaries,0,7,0,8,8,0,0.48236632860123013,0.498125815376785
The Novaks,The Traveling Secretaries,1,6,-40.5,8,6,2,0.338434554603931,0.30682743324456935
The Novaks,The Traveling Secretaries,2,5,-51.5,7,6,1,0.18764495408346377,0.1639290231371979
The West Bank Occupiers,Tucker? I hardly know her,0,7,0,8,8,0,0.5544736711798413,0.498125815376785
The West Bank Occupiers,Tucker? I hardly know her,1,6,-12,8,8,0,0.45188071386244266,0.3547559805823547
The West Bank Occupiers,Tucker? I hardly know her,2,5,-46.5,6,6,0,0.17154316597246597,0.09141610528347233
Top Gunner: Henderson,Book of Bob,0,7,0,8,8,0,0.3447448008484691,0.498125815376785
Top Gunner: Henderson,Book of Bob,1,6,51,6,7,-1,0.7273420603540003,0.8318971551788144
Top Gunner: Henderson,Book of Bob,2,5,62,5,6,-1,0.8069520475575624,0.8837041865335393
All That is Wright,Ketel Bells,0,7,0,8,8,0,0.6409017057234735,0.498125815376785
All That is Wright,Ketel Bells,1,6,-10.5,7,7,0,0.5170147019204109,0.37183312454651235
All That is Wright,Ketel Bells,2,5,-29.5,6,6,0,0.3601033611684951,0.18852265854175504
