lineup_id,position,player,player_id,team_id,points,ppg,matchup_id
0,C,NA,NA,NA,NA,NA,1
1,1B,NA,NA,NA,NA,NA,1
2,2B,NA,NA,NA,NA,NA,1
3,3B,NA,NA,NA,NA,NA,1
4,SS,NA,NA,NA,NA,NA,1
5,OF,NA,NA,NA,NA,NA,1
5,OF,NA,NA,NA,NA,NA,1
5,OF,NA,NA,NA,NA,NA,1
5,OF,NA,NA,NA,NA,NA,1
5,OF,NA,NA,NA,NA,NA,1
6,2B/SS,NA,NA,NA,NA,NA,1
7,1B/3B,NA,NA,NA,NA,NA,1
12,UTIL,NA,NA,NA,NA,NA,1
14,SP,NA,NA,NA,NA,NA,1
14,SP,NA,NA,NA,NA,NA,1
14,SP,NA,NA,NA,NA,NA,1
14,SP,NA,NA,NA,NA,NA,1
14,SP,NA,NA,NA,NA,NA,1
14,SP,NA,NA,NA,NA,NA,1
15,RP,NA,NA,NA,NA,NA,1
15,RP,NA,NA,NA,NA,NA,1
15,RP,NA,NA,NA,NA,NA,1
