booster,objective,eval_metric,eta,gamma,subsample,colsample_bytree,max_depth,min_child_weight,monotone_constraints,iter,logloss
gbtree,binary:logistic,logloss,3.2960563155156675e-4,2.1998697421801894e-10,0.2292383889892837,0.04838709677419355,14,38,1,5000,0.5437012850926474
gbtree,binary:logistic,logloss,3.2960563155156675e-4,2.1998697421801894e-10,0.2292383889892837,0.04838709677419355,14,38,0,5000,0.5437012850926474
gbtree,binary:logistic,logloss,3.2960563155156675e-4,2.1998697421801894e-10,0.2292383889892837,0.04838709677419355,14,38,-1,5000,0.5437012850926474
gbtree,binary:logistic,logloss,3.2960563155156675e-4,2.1998697421801894e-10,0.2292383889892837,0.04838709677419355,14,38,-1,5000,0.5437012850926474
gbtree,binary:logistic,logloss,3.2960563155156675e-4,2.1998697421801894e-10,0.2292383889892837,0.04838709677419355,14,38,1,5000,0.5437012850926474
gbtree,binary:logistic,logloss,3.2960563155156675e-4,2.1998697421801894e-10,0.2292383889892837,0.04838709677419355,14,38,1,5000,0.5437012850926474
gbtree,binary:logistic,logloss,3.2960563155156675e-4,2.1998697421801894e-10,0.2292383889892837,0.04838709677419355,14,38,1,5000,0.5437012850926474
gbtree,binary:logistic,logloss,2.213680700381524e-4,0.00436164614507122,0.8495222261270741,0.04838709677419355,7,29,1,5000,0.5755765901373697
gbtree,binary:logistic,logloss,2.213680700381524e-4,0.00436164614507122,0.8495222261270741,0.04838709677419355,7,29,0,5000,0.5755765901373697
gbtree,binary:logistic,logloss,2.213680700381524e-4,0.00436164614507122,0.8495222261270741,0.04838709677419355,7,29,-1,5000,0.5755765901373697
gbtree,binary:logistic,logloss,2.213680700381524e-4,0.00436164614507122,0.8495222261270741,0.04838709677419355,7,29,-1,5000,0.5755765901373697
gbtree,binary:logistic,logloss,2.213680700381524e-4,0.00436164614507122,0.8495222261270741,0.04838709677419355,7,29,1,5000,0.5755765901373697
gbtree,binary:logistic,logloss,2.213680700381524e-4,0.00436164614507122,0.8495222261270741,0.04838709677419355,7,29,1,5000,0.5755765901373697
gbtree,binary:logistic,logloss,2.213680700381524e-4,0.00436164614507122,0.8495222261270741,0.04838709677419355,7,29,1,5000,0.5755765901373697
gbtree,binary:logistic,logloss,0.01338306958646544,2.7485301477505017e-10,0.9772932292356388,0.43548387096774194,11,16,1,689,0.4379074274358916
gbtree,binary:logistic,logloss,0.01338306958646544,2.7485301477505017e-10,0.9772932292356388,0.43548387096774194,11,16,0,689,0.4379074274358916
gbtree,binary:logistic,logloss,0.01338306958646544,2.7485301477505017e-10,0.9772932292356388,0.43548387096774194,11,16,-1,689,0.4379074274358916
gbtree,binary:logistic,logloss,0.01338306958646544,2.7485301477505017e-10,0.9772932292356388,0.43548387096774194,11,16,-1,689,0.4379074274358916
gbtree,binary:logistic,logloss,0.01338306958646544,2.7485301477505017e-10,0.9772932292356388,0.43548387096774194,11,16,1,689,0.4379074274358916
gbtree,binary:logistic,logloss,0.01338306958646544,2.7485301477505017e-10,0.9772932292356388,0.43548387096774194,11,16,1,689,0.4379074274358916
gbtree,binary:logistic,logloss,0.01338306958646544,2.7485301477505017e-10,0.9772932292356388,0.43548387096774194,11,16,1,689,0.4379074274358916
gbtree,binary:logistic,logloss,0.00113618590034489,1.049809422794731e-5,0.7582630413816543,0.3709677419354839,7,10,1,5000,0.44264011068107567
gbtree,binary:logistic,logloss,0.00113618590034489,1.049809422794731e-5,0.7582630413816543,0.3709677419354839,7,10,0,5000,0.44264011068107567
gbtree,binary:logistic,logloss,0.00113618590034489,1.049809422794731e-5,0.7582630413816543,0.3709677419354839,7,10,-1,5000,0.44264011068107567
gbtree,binary:logistic,logloss,0.00113618590034489,1.049809422794731e-5,0.7582630413816543,0.3709677419354839,7,10,-1,5000,0.44264011068107567
gbtree,binary:logistic,logloss,0.00113618590034489,1.049809422794731e-5,0.7582630413816543,0.3709677419354839,7,10,1,5000,0.44264011068107567
gbtree,binary:logistic,logloss,0.00113618590034489,1.049809422794731e-5,0.7582630413816543,0.3709677419354839,7,10,1,5000,0.44264011068107567
gbtree,binary:logistic,logloss,0.00113618590034489,1.049809422794731e-5,0.7582630413816543,0.3709677419354839,7,10,1,5000,0.44264011068107567
gbtree,binary:logistic,logloss,0.01059897161923363,0.02411322724916171,0.9630690270405264,0.6935483870967742,15,25,1,746,0.43781208554595097
gbtree,binary:logistic,logloss,0.01059897161923363,0.02411322724916171,0.9630690270405264,0.6935483870967742,15,25,0,746,0.43781208554595097
