lineup_id,position,player,player_id,team_id,points,ppg,matchup_id
0,C,Will Smith,38309,8,42.5,6.071428571428571,1
1,1B,Matt Olson,32767,12,44,4.4,1
2,2B,Andres Gimenez,37729,14,40,4,1
3,3B,Rafael Devers,33859,8,43,4.777777777777778,1
4,SS,Wander Franco,40929,2,45.5,5.055555555555555,1
5,OF,Adam Duvall,32664,9,61,7.625,1
5,OF,Bryan Reynolds,38980,13,58.5,6.5,1
5,OF,Mike Trout,30836,1,46.5,5.166666666666667,1
5,OF,Randy Arozarena,36488,5,44.5,4.944444444444445,1
5,OF,Luis Robert Jr.,39631,12,41.5,4.611111111111111,1
6,2B/SS,Xander Bogaerts,31606,6,39.5,3.95,1
7,1B/3B,Pete Alonso,37498,2,43.5,4.35,1
12,UTIL,Yordan Alvarez,36018,7,41.5,4.611111111111111,1
14,SP,Jeffrey Springs,35397,4,63,31.5,1
14,SP,Drew Rasmussen,42584,5,61,30.5,1
14,SP,Gerrit Cole,32081,12,56.5,28.25,1
14,SP,Shohei Ohtani,39832,2,52,26,1
14,SP,Sandy Alcantara,35241,9,51.5,25.75,1
14,SP,Marcus Stroman,32815,9,51,25.5,1
15,RP,Jordan Romano,36380,5,27,6.75,1
15,RP,Josh Hader,32760,14,26,6.5,1
15,RP,Jorge Lopez,33833,1,25,5,1
0,C,Sean Murphy,33557,1,11,11,2
1,1B,Ryan Mountcastle,34940,7,6.5,6.5,2
2,2B,Max Muncy,33303,4,19,19,2
3,3B,Alec Bohm,41169,11,13.5,13.5,2
4,SS,Corey Seager,32691,5,11,11,2
5,OF,Mookie Betts,33039,4,10.5,10.5,2
5,OF,Nick Castellanos,31187,12,9.5,9.5,2
5,OF,Austin Hays,36928,5,9,9,2
5,OF,Hunter Renfroe,33205,9,8.5,8.5,2
5,OF,Yordan Alvarez,36018,7,8.5,8.5,2
6,2B/SS,Trea Turner,33710,8,8,8,2
7,1B/3B,Alex Bregman,34886,13,6.5,6.5,2
12,UTIL,Adolis Garcia,35537,8,7,7,2
14,SP,Zac Gallen,39910,5,33,33,2
14,SP,Bryce Elder,4301067,14,24.5,24.5,2
14,SP,Julio Urias,33223,9,24,24,2
14,SP,Andrew Heaney,32672,4,22,22,2
14,SP,Framber Valdez,36581,2,21,21,2
14,SP,Shane Bieber,40912,11,19.5,19.5,2
15,RP,Emmanuel Clase,41743,8,8,8,2
15,RP,Pete Fairbanks,42180,2,7,7,2
15,RP,Adam Ottavino,29705,13,5,5,2
