team_id,qs,k,k_sp,k_rp,bb,bb_sp,bb_rp,outs,outs_sp,outs_rp,earned_runs,earned_runs_sp,earned_runs_rp,hr_allowed_sp,hr_allowed_rp,hr_allowed,hpb,hpb_sp,hpb_rp,blue_balls,era,era_sp,era_rp,k9,k9_sp,k9_rp,bb9,bb9_sp,bb9_rp,k_per_bb,k_per_bb_sp,k_per_bb_rp,hr9,hr9_sp,hr9_rp,fip,fip_sp,fip_rp,fip_constant
1,85,1353,1123,230,540,456,84,3806,3226,580,550,479,71,143,18,161,56,48,8,8,3.901734104046243,4.008989460632362,3.305172413793103,9.598265895953757,9.398946063236206,10.706896551724139,3.8307934839726747,3.8164910105393677,3.9103448275862074,2.5055555555555555,2.462719298245614,2.738095238095238,1.1421439831844458,1.1968381897086173,0.8379310344827586,4.066455182075093,4.18647320432534,3.3989066652142386,3.140285975559066
2,92,1364,1150,214,481,393,88,4006,3408,598,578,502,76,144,18,162,68,58,10,8,3.895656515227159,3.9771126760563376,3.431438127090301,9.193210184722915,9.110915492957746,9.6622073578595309,3.2418871692461306,3.113556338028169,3.973244147157191,2.8357588357588357,2.926208651399491,2.4318181818181817,1.091862206689965,1.1408450704225352,0.8127090301003345,3.9078845776559206,3.954546538939348,3.6419582163617417,3.140285975559066
4,96,1407,1202,205,458,388,70,4013,3462,551,580,498,82,150,23,173,40,36,4,7,3.902317468228258,3.883882149046794,4.018148820326679,9.466483927236482,9.374350086655111,10.045372050816697,3.0814851731871418,3.0259965337954937,3.4301270417422867,3.072052401746725,3.097938144329897,2.9285714285714284,1.1639671069025666,1.1698440207972272,1.1270417422867514,3.834778873640302,3.8491247970495337,3.744641692437469,3.140285975559066
5,85,1237,1006,231,416,330,86,3889,3295,594,603,524,79,153,22,175,58,44,14,10,4.1864232450501415,4.2937784522003035,3.590909090909091,8.58806891231679,8.24339908952959,10.5,2.888146052969915,2.7040971168437027,3.909090909090909,2.9735576923076925,3.0484848484848484,2.686046511627907,1.214965286706094,1.2537177541729894,1,4.083716163267988,4.140892955832207,3.7665486018216923,3.140285975559066
6,101,1489,1210,279,397,309,88,4332,3607,725,628,556,72,177,19,196,63,48,15,3,3.914127423822715,4.161907402273357,2.6813793103448273,9.280470914127424,9.057388411422234,10.390344827586206,2.474376731301939,2.313002495148323,3.277241379310345,3.7506297229219143,3.9158576051779934,3.1704545454545454,1.2216066481994459,1.3249237593568062,0.7075862068965517,3.7981807124011713,3.932079709964389,3.1320101134901006,3.140285975559066
7,85,1467,1214,253,443,347,96,3914,3323,591,649,577,72,185,18,203,72,55,17,3,4.477005620848237,4.688233523924165,3.2893401015228427,10.119826264690854,9.86397833283178,11.558375634517768,3.05595298926929,2.819440264820945,4.385786802030457,3.311512415349887,3.4985590778097984,2.6354166666666665,1.4003576903423607,1.5031597953656333,0.8223350253807107,4.09838510688252,4.208296809143176,3.4803874984017056,3.140285975559066
8,106,1389,1122,267,332,259,73,4152,3510,642,536,476,60,142,13,155,54,47,7,9,3.4855491329479773,3.6615384615384614,2.5233644859813085,9.032514450867053,8.63076923076923,11.228971962616821,2.1589595375722546,1.9923076923076926,3.0700934579439254,4.183734939759036,4.332046332046332,3.6575342465753424,1.0079479768786128,1.0923076923076922,0.5467289719626168,3.4256905998365226,3.5847304200035106,2.5561738260263556,3.140285975559066
9,106,1370,1126,244,422,349,73,4043,3476,567,537,474,63,135,20,155,47,42,5,7,3.5861983675488496,3.6818181818181817,3,9.149146673262429,8.74626006904488,11.619047619047619,2.8182043037348503,2.7108745684695053,3.476190476190476,3.2464454976303316,3.226361031518625,3.3424657534246576,1.0351224338362601,1.0486191024165707,0.9523809523809523,3.646345832101238,3.723715204557915,3.1720320073050976,3.140285975559066
11,86,1303,1084,219,451,345,106,3829,3342,487,532,466,66,161,12,173,48,41,7,7,3.7513711151736744,3.7648114901256733,3.6591375770020536,9.18803865238966,8.757630161579893,12.141683778234086,3.180203708540089,2.7872531418312385,5.876796714579056,2.8891352549889135,3.1420289855072463,2.0660377358490565,1.2199007573779055,1.300718132854578,0.6652977412731006,4.033469574409941,4.112458327444164,3.491415339008758,3.140285975559066
12,104,1535,1259,276,438,341,97,4354,3645,709,593,497,96,167,33,200,58,39,19,12,3.6773082223243,3.6814814814814816,3.655853314527504,9.51883325677538,9.325925925925926,10.510578279266573,2.7161231051906296,2.525925925925926,3.6939351198871653,3.5045662100456623,3.69208211143695,2.845360824742268,1.240238860817639,1.237037037037037,1.2566995768688292,3.8417099535103754,3.7929608726784076,4.092331109550603,3.140285975559066
13,78,1220,978,242,461,383,78,3798,3135,663,580,482,98,138,29,167,56,43,13,9,4.123222748815166,4.151196172248804,3.990950226244344,8.672985781990521,8.422966507177033,9.855203619909501,3.2772511848341233,3.2985645933014354,3.176470588235294,2.646420824295011,2.553524804177546,3.1025641025641026,1.1872037914691942,1.1885167464114832,1.1809954751131222,4.152924206206775,4.208228559291124,3.891417197278523,3.140285975559066
14,94,1370,1134,236,460,384,76,3980,3419,561,570,514,56,150,18,168,55,48,7,8,3.8668341708542715,4.059081602807839,2.695187165775401,9.293969849246231,8.955250073120796,11.358288770053475,3.120603015075377,3.0324656332260895,3.657754010695187,2.9782608695652173,2.953125,3.1052631578947367,1.1396984924623115,1.1845568879789412,0.8663101604278076,3.8857633624937393,3.9984316321838103,3.1991095049708305,3.140285975559066
