team,logo,first_team,second_team,third_team,star_points
The Traveling Secretaries,https://i.imgur.com/wll1Ubw.jpg,4,3,1,19
Cron's Disease,https://g.espncdn.com/lm-static/logo-packs/flb/fake-team-logos-martin-laksman/logos--09.svg,4,1,2,16
Mt. Everest Taquito Farmers,https://i.imgur.com/VW41hvO.gif,3,2,2,15
All That is Wright,https://g.espncdn.com/lm-static/logo-packs/flb/Letter-and-Number-Caps-ESPN/caps5.svg,2,4,1,15
Blasphemous Hot Takes,https://i.imgur.com/egcNf8O.jpg,2,3,3,15
Crown Heights Crusaders,https://i.imgur.com/dbAqQbk.jpg,2,2,4,14
Framber Valdez Oil Spill,https://i.imgur.com/rdkD18L.png,1,4,3,14
Hader Better Faster Stronger,https://imgur.com/d4sbJBf.png,2,2,0,10
Ketel Bells,https://i.imgur.com/I68BxCy.png,2,0,2,8
The Greatest Stroman,https://i.imgur.com/02Dc1qo.png,0,1,1,3
The Novaks,https://www.nydailynews.com/resizer/38DQJPp-rriVrUFvzd0Ueuernmc=/1200x0/top/arc-anglerfish-arc2-prod-tronc.s3.amazonaws.com/public/F252QGGEFUQCSQOOIOFXLFS7UA.jpg,0,0,2,2
The West Bank Occupiers,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Israel.svg/2000px-Flag_of_Israel.svg.png,0,0,1,1
