team_home,team_away,day_of_matchup,days_left,score_diff,starts_left_home,starts_left_away,start_advantage,win_prob,win_prob_lr
Blasphemous Hot Takes,Ketel Bells,0,7,0,8,8,0,0.6802458919155685,0.4746598257190957
Blasphemous Hot Takes,Ketel Bells,1,6,-9.5,8,6,2,0.6055437323900603,0.46849937615146037
Blasphemous Hot Takes,Ketel Bells,2,5,68.5,5,6,-1,0.9117894458871827,0.8504064534955994
Blasphemous Hot Takes,Ketel Bells,3,4,-14.5,5,4,1,0.3843934002707714,0.3842072306830216
Blasphemous Hot Takes,Ketel Bells,4,3,-24,5,3,2,0.3031683957694886,0.3466492810390568
Blasphemous Hot Takes,Ketel Bells,5,2,20.5,1,2,-1,0.6083920225255324,0.5820185368263652
Blasphemous Hot Takes,Ketel Bells,6,1,43,0,2,-2,0.8214766068936716,0.7586491679791388
Blasphemous Hot Takes,Ketel Bells,7,0,46.5,0,0,0,1,0.8617173077408902
Mt. Everest Taquito Farmers,All That is Wright,0,7,0,8,8,0,0.4704809683928017,0.4746598257190957
Mt. Everest Taquito Farmers,All That is Wright,1,6,-1.5,8,8,0,0.4828119893999179,0.4591561273286078
Mt. Everest Taquito Farmers,All That is Wright,2,5,-22.5,7,6,1,0.3290706208409323,0.31241621304685846
Mt. Everest Taquito Farmers,All That is Wright,3,4,-50.5,6,4,2,0.20983606764455157,0.17342580791011966
Mt. Everest Taquito Farmers,All That is Wright,4,3,-50.5,5,4,1,0.19074191629372514,0.1302484603386479
Mt. Everest Taquito Farmers,All That is Wright,5,2,-112.5,3,1,2,0.023638862886792688,0.02338267353120175
Mt. Everest Taquito Farmers,All That is Wright,6,1,-126.5,3,0,3,0.019081521455706647,0.011055939838023776
Mt. Everest Taquito Farmers,All That is Wright,7,0,-36.5,0,0,0,0,0.16558620429167695
The Traveling Secretaries,Framber Valdez Oil Spill,0,7,0,8,8,0,0.4316938188637862,0.4746598257190957
The Traveling Secretaries,Framber Valdez Oil Spill,1,6,-14.5,8,7,1,0.3248252487371678,0.3842072306830216
The Traveling Secretaries,Framber Valdez Oil Spill,2,5,-47.5,8,5,3,0.18167753547702262,0.17535671547428616
The Traveling Secretaries,Framber Valdez Oil Spill,3,4,-9,5,4,1,0.4448691826662774,0.4369107646175572
The Traveling Secretaries,Framber Valdez Oil Spill,4,3,-36,5,3,2,0.2531986421191109,0.2584751970368843
The Traveling Secretaries,Framber Valdez Oil Spill,5,2,-30,4,1,3,0.2665861586559447,0.28994826771654036
The Traveling Secretaries,Framber Valdez Oil Spill,6,1,-9,3,1,2,0.4431258572505231,0.47286042858212674
The Traveling Secretaries,Framber Valdez Oil Spill,7,0,-61.5,2,0,2,0,0.12492029153296472
Cron's Disease,Hader Better Faster Stronger,0,7,0,8,8,0,0.5342448962568063,0.4746598257190957
Cron's Disease,Hader Better Faster Stronger,1,6,47.5,7,8,-1,0.7381668745358814,0.7544242284755603
Cron's Disease,Hader Better Faster Stronger,2,5,0,7,6,1,0.5016857060509322,0.5257396471372151
Cron's Disease,Hader Better Faster Stronger,3,4,12,6,6,0,0.5161281216341449,0.5979412469593542
Cron's Disease,Hader Better Faster Stronger,4,3,-13.5,5,4,1,0.3988937904522859,0.3936277146550271
Cron's Disease,Hader Better Faster Stronger,5,2,-3.5,3,3,0,0.4367426717687567,0.4386119420565361
Cron's Disease,Hader Better Faster Stronger,6,1,30.5,0,2,-2,0.7106629358703838,0.6600225957731325
Cron's Disease,Hader Better Faster Stronger,7,0,28,0,0,0,1,0.7429484692595602
The West Bank Occupiers,It's Gonna Be Gley,0,7,0,8,8,0,0.33686106002958155,0.4746598257190957
The West Bank Occupiers,It's Gonna Be Gley,1,6,-17,8,7,1,0.2880929508501673,0.3610457677715908
The West Bank Occupiers,It's Gonna Be Gley,2,5,-35,7,6,1,0.1691167648340634,0.2168113892443769
The West Bank Occupiers,It's Gonna Be Gley,3,4,3,5,6,-1,0.48360385506063236,0.4546737507951843
The West Bank Occupiers,It's Gonna Be Gley,4,3,-4.5,5,5,0,0.4312971951614183,0.4284137836762034
The West Bank Occupiers,It's Gonna Be Gley,5,2,-16.5,5,3,2,0.381178503124192,0.4082431661078506
The West Bank Occupiers,It's Gonna Be Gley,6,1,-3,1,2,-1,0.4225585030819644,0.41152976020439197
The West Bank Occupiers,It's Gonna Be Gley,7,0,10,0,0,0,1,0.5778216226017713
The Novaks,Crown Heights Crusaders,0,7,0,8,8,0,0.5048560397384413,0.4746598257190957
The Novaks,Crown Heights Crusaders,1,6,15,6,7,-1,0.4982521215140128,0.542367588407856
The Novaks,Crown Heights Crusaders,2,5,45,5,6,-1,0.7281709751719921,0.7405986289889793
The Novaks,Crown Heights Crusaders,3,4,15.5,5,5,0,0.5356314514124065,0.6323342714778312
The Novaks,Crown Heights Crusaders,4,3,26.5,2,4,-2,0.6282456061054045,0.6246163799331568
The Novaks,Crown Heights Crusaders,5,2,37.5,2,3,-1,0.7213435872384197,0.6962029056152134
The Novaks,Crown Heights Crusaders,6,1,6,1,1,0,0.5729858292132075,0.5368638191337989
The Novaks,Crown Heights Crusaders,7,0,8.5,0,0,0,1,0.5625566317591243
