matchup_id,start_cap,duration,end_period,start_period,playoffs,season
1,13,12,12,1,FALSE,2026
2,8,7,19,13,FALSE,2026
3,8,7,26,20,FALSE,2026
4,8,7,33,27,FALSE,2026
5,8,7,40,34,FALSE,2026
6,8,7,47,41,FALSE,2026
7,8,7,54,48,FALSE,2026
8,8,7,61,55,FALSE,2026
9,8,7,68,62,FALSE,2026
10,8,7,75,69,FALSE,2026
11,8,7,82,76,FALSE,2026
12,8,7,89,83,FALSE,2026
13,8,7,96,90,FALSE,2026
14,8,7,103,97,FALSE,2026
15,11,14,117,104,FALSE,2026
16,8,7,124,118,FALSE,2026
17,8,7,131,125,FALSE,2026
18,8,7,138,132,FALSE,2026
19,8,7,145,139,FALSE,2026
20,8,7,152,146,FALSE,2026
21,16,14,166,153,TRUE,2026
22,16,14,180,167,TRUE,2026
1,5,13,13,1,FALSE,2025
2,8,7,20,14,FALSE,2025
3,8,7,27,21,FALSE,2025
4,8,7,34,28,FALSE,2025
5,8,7,41,35,FALSE,2025
6,8,7,48,42,FALSE,2025
7,8,7,55,49,FALSE,2025
8,8,7,62,56,FALSE,2025
9,8,7,69,63,FALSE,2025
10,8,7,76,70,FALSE,2025
11,8,7,83,77,FALSE,2025
12,8,7,90,84,FALSE,2025
13,8,7,97,91,FALSE,2025
14,8,7,104,98,FALSE,2025
15,8,7,111,105,FALSE,2025
16,11,14,125,112,FALSE,2025
17,8,7,132,126,FALSE,2025
18,8,7,139,133,FALSE,2025
19,8,7,146,140,FALSE,2025
20,8,7,153,147,FALSE,2025
21,8,7,160,154,FALSE,2025
22,16,14,174,161,TRUE,2025
23,16,14,188,175,TRUE,2025
1,5,12,12,1,FALSE,2024
2,8,7,19,13,FALSE,2024
3,8,7,26,20,FALSE,2024
4,8,7,33,27,FALSE,2024
5,8,7,40,34,FALSE,2024
6,8,7,47,41,FALSE,2024
7,8,7,54,48,FALSE,2024
8,8,7,61,55,FALSE,2024
9,8,7,68,62,FALSE,2024
10,8,7,75,69,FALSE,2024
11,8,7,82,76,FALSE,2024
12,8,7,89,83,FALSE,2024
13,8,7,96,90,FALSE,2024
14,8,7,103,97,FALSE,2024
15,8,7,110,104,FALSE,2024
16,11,14,124,111,FALSE,2024
17,8,7,131,125,FALSE,2024
18,8,7,138,132,FALSE,2024
19,8,7,145,139,FALSE,2024
20,8,7,152,146,FALSE,2024
21,8,7,159,153,FALSE,2024
22,16,14,173,160,TRUE,2024
23,16,14,187,174,TRUE,2024
1,13,11,11,1,FALSE,2023
2,8,7,18,12,FALSE,2023
3,8,7,25,19,FALSE,2023
4,8,7,32,26,FALSE,2023
5,8,7,39,33,FALSE,2023
6,8,7,46,40,FALSE,2023
7,8,7,53,47,FALSE,2023
8,8,7,60,54,FALSE,2023
9,8,7,67,61,FALSE,2023
10,8,7,74,68,FALSE,2023
11,8,7,81,75,FALSE,2023
12,8,7,88,82,FALSE,2023
13,8,7,95,89,FALSE,2023
14,11,14,109,96,FALSE,2023
15,8,7,116,110,FALSE,2023
16,8,7,123,117,FALSE,2023
17,8,7,130,124,FALSE,2023
18,8,7,137,131,FALSE,2023
19,8,7,144,138,FALSE,2023
20,8,7,151,145,FALSE,2023
21,8,7,158,152,FALSE,2023
22,16,14,172,159,TRUE,2023
23,16,14,186,173,TRUE,2023
1,13,11,11,1,FALSE,2022
2,8,7,18,12,FALSE,2022
3,8,7,25,19,FALSE,2022
4,8,7,32,26,FALSE,2022
5,8,7,39,33,FALSE,2022
6,8,7,46,40,FALSE,2022
7,8,7,53,47,FALSE,2022
8,8,7,60,54,FALSE,2022
9,8,7,67,61,FALSE,2022
10,8,7,74,68,FALSE,2022
11,8,7,81,75,FALSE,2022
12,8,7,88,82,FALSE,2022
13,8,7,95,89,FALSE,2022
14,13,14,109,96,FALSE,2022
15,8,7,116,110,FALSE,2022
16,8,7,123,117,FALSE,2022
17,8,7,130,124,FALSE,2022
18,8,7,137,131,FALSE,2022
19,8,7,144,138,FALSE,2022
20,8,7,151,145,FALSE,2022
21,16,14,165,152,TRUE,2022
22,16,14,179,166,TRUE,2022
1,13,11,11,1,FALSE,2021
2,8,7,18,12,FALSE,2021
3,8,7,25,19,FALSE,2021
4,8,7,32,26,FALSE,2021
5,8,7,39,33,FALSE,2021
6,8,7,46,40,FALSE,2021
7,8,7,53,47,FALSE,2021
8,8,7,60,54,FALSE,2021
9,8,7,67,61,FALSE,2021
10,8,7,74,68,FALSE,2021
11,8,7,81,75,FALSE,2021
12,8,7,88,82,FALSE,2021
13,8,7,95,89,FALSE,2021
14,13,14,109,96,FALSE,2021
15,8,7,116,110,FALSE,2021
16,8,7,123,117,FALSE,2021
17,8,7,130,124,FALSE,2021
18,8,7,137,131,FALSE,2021
19,8,7,144,138,FALSE,2021
20,8,7,151,145,FALSE,2021
21,16,14,165,152,TRUE,2021
22,16,14,179,166,TRUE,2021
1,13,11,130,120,FALSE,2020
2,8,7,137,131,FALSE,2020
3,8,7,144,138,FALSE,2020
4,8,7,151,145,FALSE,2020
5,8,7,158,152,FALSE,2020
6,8,7,165,159,FALSE,2020
7,8,7,172,166,FALSE,2020
8,8,7,179,173,TRUE,2020
9,8,7,186,180,TRUE,2020
1,16,19,19,1,FALSE,2019
2,8,7,26,20,FALSE,2019
3,8,7,33,27,FALSE,2019
4,8,7,40,34,FALSE,2019
5,8,7,47,41,FALSE,2019
6,8,7,54,48,FALSE,2019
7,8,7,61,55,FALSE,2019
8,8,7,68,62,FALSE,2019
9,8,7,75,69,FALSE,2019
10,8,7,82,76,FALSE,2019
11,8,7,89,83,FALSE,2019
12,8,7,96,90,FALSE,2019
13,8,7,103,97,FALSE,2019
14,16,14,117,104,FALSE,2019
15,8,7,124,118,FALSE,2019
16,8,7,131,125,FALSE,2019
17,8,7,138,132,FALSE,2019
18,8,7,145,139,FALSE,2019
19,8,7,152,146,FALSE,2019
20,8,7,159,153,FALSE,2019
21,8,7,166,160,FALSE,2019
22,16,14,180,167,TRUE,2019
23,16,14,194,181,TRUE,2019
1,13,11,11,1,FALSE,2018
2,8,7,18,12,FALSE,2018
3,8,7,25,19,FALSE,2018
4,8,7,32,26,FALSE,2018
5,8,7,39,33,FALSE,2018
6,8,7,46,40,FALSE,2018
7,8,7,53,47,FALSE,2018
8,8,7,60,54,FALSE,2018
9,8,7,67,61,FALSE,2018
10,8,7,74,68,FALSE,2018
11,8,7,81,75,FALSE,2018
12,8,7,88,82,FALSE,2018
13,8,7,95,89,FALSE,2018
14,8,7,102,96,FALSE,2018
15,16,14,116,103,FALSE,2018
16,8,7,123,117,FALSE,2018
17,8,7,130,124,FALSE,2018
18,8,7,137,131,FALSE,2018
19,8,7,144,138,FALSE,2018
20,8,7,151,145,FALSE,2018
21,8,7,158,152,FALSE,2018
22,16,14,172,159,TRUE,2018
23,16,14,186,173,TRUE,2018
1,8,7,7,1,FALSE,2017
2,8,7,14,8,FALSE,2017
3,8,7,21,15,FALSE,2017
4,8,7,28,22,FALSE,2017
5,8,7,35,29,FALSE,2017
6,8,7,42,36,FALSE,2017
7,8,7,49,43,FALSE,2017
8,8,7,56,50,FALSE,2017
9,8,7,63,57,FALSE,2017
10,8,7,70,64,FALSE,2017
11,8,7,77,71,FALSE,2017
12,8,7,84,78,FALSE,2017
13,8,7,91,85,FALSE,2017
14,16,14,105,92,FALSE,2017
15,8,7,112,106,FALSE,2017
16,8,7,119,113,FALSE,2017
17,8,7,126,120,FALSE,2017
18,8,7,133,127,FALSE,2017
19,8,7,140,134,FALSE,2017
20,8,7,147,141,FALSE,2017
21,8,7,154,148,FALSE,2017
22,16,14,168,155,TRUE,2017
23,16,14,182,169,TRUE,2017
1,8,7,7,1,FALSE,2016
2,8,7,14,8,FALSE,2016
3,8,7,21,15,FALSE,2016
4,8,7,28,22,FALSE,2016
5,8,7,35,29,FALSE,2016
6,8,7,42,36,FALSE,2016
7,8,7,49,43,FALSE,2016
8,8,7,56,50,FALSE,2016
9,8,7,63,57,FALSE,2016
10,8,7,70,64,FALSE,2016
11,8,7,77,71,FALSE,2016
12,8,7,84,78,FALSE,2016
13,8,7,91,85,FALSE,2016
14,8,7,98,92,FALSE,2016
15,16,14,112,99,FALSE,2016
16,8,7,119,113,FALSE,2016
17,8,7,126,120,FALSE,2016
18,8,7,133,127,FALSE,2016
19,8,7,140,134,FALSE,2016
20,8,7,147,141,FALSE,2016
21,8,7,154,148,FALSE,2016
22,16,14,168,155,TRUE,2016
23,16,14,182,169,TRUE,2016
