player,player_id,team_from,team_to,scoring_period_id,teams_involved,trade_id
Jack Flaherty,33837,2,9,18,2 9,1
Jordan Westburg,4298641,9,2,18,2 9,1
Kyle Gibson,31053,9,2,18,2 9,1
Francisco Lindor,32129,1,2,19,1 2,2
Mike Trout,30836,2,1,19,1 2,2
Freddy Peralta,39825,4,6,21,4 6,3
George Springer,32078,6,4,21,4 6,3
Royce Lewis,40635,6,4,21,4 6,3
Francisco Lindor,32129,2,6,25,2 6,4
Ian Hamilton,41127,6,2,25,2 6,4
Jung Hoo Lee,5134621,6,2,25,2 6,4
Oneil Cruz,39712,6,2,25,2 6,4
Ryan Pressly,33072,2,6,25,2 6,4
Cedric Mullins,35578,1,11,30,1 11,5
Justin Verlander,6341,11,1,30,1 11,5
Lars Nootbaar,4448736,9,6,31,6 9,6
Ranger Suarez,39817,6,9,31,6 9,6
Gleyber Torres,33804,9,13,33,9 13,7
MJ Melendez,40948,13,9,33,9 13,7
Adolis Garcia,35537,8,1,45,1 8,8
Manny Machado,31097,8,1,45,1 8,8
Rhys Hoskins,35291,1,8,45,1 8,8
Yoshinobu Yamamoto,4872587,1,8,45,1 8,8
Adley Rutschman,42178,9,4,47,4 9,9
Jared Jones,4918156,4,9,47,4 9,9
Seiya Suzuki,4142424,4,9,47,4 9,9
Abraham Toro,40754,1,9,49,1 9,10
Anthony Rizzo,30782,9,1,49,1 9,10
Byron Buxton,32655,1,9,49,1 9,10
Corbin Carroll,42404,9,1,49,1 9,10
Salvador Perez,31127,1,9,49,1 9,10
Seth Lugo,34873,9,1,49,1 9,10
Bryan Reynolds,38980,12,13,55,12 13,11
Isaac Paredes,39706,13,12,55,12 13,11
Anthony Santander,36084,2,14,75,2 14,12
Brent Rooker,40926,2,14,75,2 14,12
Michael Harris II,42470,14,2,75,2 14,12
Trea Turner,33710,14,2,75,2 14,12
Jarren Duran,41610,13,6,81,6 13,13
Kyle Schwarber,33712,6,13,81,6 13,13
Nick Lodolo,42433,13,6,81,6 13,13
Garrett Crochet,4297835,4,1,96,1 4,14
Luis Rengifo,37237,4,1,96,1 4,14
Mookie Betts,33039,1,4,96,1 4,14
Matt Chapman,33857,1,12,126,1 12,15
Mitch Keller,33722,12,1,126,1 12,15
Fernando Tatis Jr.,35983,12,4,127,4 12,16
Lane Thomas,36409,4,12,127,4 12,16
Gunnar Henderson,42507,11,13,129,11 13,17
Jonathan India,41171,13,11,129,11 13,17
Pete Alonso,37498,13,11,129,11 13,17
Ha-Seong Kim,4089862,11,6,129,6 11,18
Jeff Hoffman,33841,6,11,129,6 11,18
Maikel Garcia,4905884,6,11,129,6 11,18
Jonathan India,41171,11,2,132,2 11,19
Mason Miller,4730225,2,11,132,2 11,19
Oneil Cruz,39712,2,11,132,2 11,19
Taylor Ward,34923,11,2,132,2 11,19
