matchup_id,game_id,home_team_id,home_total_points,home_batting_points,home_pitching_points,away_team_id,away_total_points,away_batting_points,away_pitching_points,home_team,away_team
1,1,1,223,141.5,81.5,4,252,150,102,The Talmudic Tunnelers,All That is Wright
1,2,2,182.5,113,69.5,12,213.5,131,82.5,Skubal Divers,Blasphemous Hot Takes
1,3,8,245,168.5,76.5,6,274,150.5,123.5,Mt. Everest Taquito Farmers,The Novaks
1,4,11,227,142.5,84.5,5,148.5,97.5,51,The West Bank Occupiers,The Traveling Secretaries
1,5,14,208.5,127.5,81,9,206,127.5,78.5,Elly De La Snooze,Shrimp Fried Bryce
1,6,13,143,104,39,7,170.5,138.5,32,Ketel Bells,FVOS Re-imagined
2,7,4,349.5,182,167.5,12,338.5,156.5,182,All That is Wright,Blasphemous Hot Takes
2,8,6,308,223,85,1,339.5,166.5,173,The Novaks,The Talmudic Tunnelers
2,9,5,206,148,58,2,313.5,149,164.5,The Traveling Secretaries,Skubal Divers
2,10,9,292,173,119,8,291,137,154,Shrimp Fried Bryce,Mt. Everest Taquito Farmers
2,11,7,267,135.5,131.5,11,329,205.5,123.5,FVOS Re-imagined,The West Bank Occupiers
2,12,13,320,207,113,14,240,166.5,73.5,Ketel Bells,Elly De La Snooze
3,13,6,291,160.5,130.5,4,352.5,228.5,124,The Novaks,All That is Wright
3,14,12,366.5,225.5,141,5,369.5,210.5,159,Blasphemous Hot Takes,The Traveling Secretaries
3,15,1,299.5,204.5,95,9,235,152.5,82.5,The Talmudic Tunnelers,Shrimp Fried Bryce
3,16,2,376.5,221,155.5,7,320,160.5,159.5,Skubal Divers,FVOS Re-imagined
3,17,8,320.5,200,120.5,13,349.5,247.5,102,Mt. Everest Taquito Farmers,Ketel Bells
3,18,11,379,239,140,14,353.5,247.5,106,The West Bank Occupiers,Elly De La Snooze
4,19,4,239,128.5,110.5,5,372.5,232,140.5,All That is Wright,The Traveling Secretaries
4,20,9,282,149.5,132.5,6,319.5,160.5,159,Shrimp Fried Bryce,The Novaks
4,21,7,361,196.5,164.5,12,385,181.5,203.5,FVOS Re-imagined,Blasphemous Hot Takes
4,22,13,361,182.5,178.5,1,314.5,216.5,98,Ketel Bells,The Talmudic Tunnelers
4,23,14,346,157.5,188.5,2,354.5,203,151.5,Elly De La Snooze,Skubal Divers
4,24,11,357,214.5,142.5,8,304.5,157,147.5,The West Bank Occupiers,Mt. Everest Taquito Farmers
5,25,9,323.5,149,174.5,4,283,149.5,133.5,Shrimp Fried Bryce,All That is Wright
5,26,5,347.5,194,153.5,7,332.5,168.5,164,The Traveling Secretaries,FVOS Re-imagined
5,27,6,337.5,206,131.5,13,355.5,205,150.5,The Novaks,Ketel Bells
