team_id,h_1b,h_2b,h_3b,h_hr,h_bb,h_ubb,h_ab,h_pa,h_k,h_runs,h_rbi,h_sf,h_hbp,avg,obp,slg,ops,k_rate,bb_rate,babip,woba
1,374,92,12,70,218,208,2206,2475,505,296,293,19,30,0.2484134179510426,0.31354891526811296,0.39619220308250225,0.7097411183506153,0.20404040404040405,0.08808080808080808,0.2896969696969697,0.31709866017052374
2,345,110,5,73,227,219,2072,2337,497,281,290,13,21,0.25723938223938225,0.328719723183391,0.42084942084942084,0.7495691440328118,0.212665810868635,0.09713307659392384,0.30363036303630364,0.33286795698924726
4,320,97,10,63,208,201,2075,2314,487,256,253,12,16,0.236144578313253,0.30413943355119827,0.3836144578313253,0.6877538913825236,0.2104580812445981,0.0898876404494382,0.2778139232270657,0.3065850694444444
5,319,93,8,80,236,228,2095,2381,511,318,298,24,25,0.2386634844868735,0.3125265392781316,0.4052505966587112,0.7177771359368428,0.21461570768584629,0.09911801763964721,0.27486910994764396,0.3193705733558178
6,342,108,5,84,253,238,2285,2581,582,320,283,20,19,0.23588621444201313,0.3096168881939015,0.3978118161925602,0.7074287043864617,0.22549399457574584,0.09802402169701666,0.27760829774252593,0.31345394223263073
7,312,92,9,61,203,197,2003,2257,514,265,244,14,33,0.236645032451323,0.30495495495495495,0.38292561158262606,0.687880566537581,0.22773593265396544,0.08994240141781125,0.28640776699029125,0.3101424121050289
8,320,100,16,62,181,172,2068,2291,508,270,263,16,20,0.24081237911025144,0.2997792494481236,0.3945841392649903,0.694363388713114,0.22173723264949805,0.07900480139676996,0.28797886393659183,0.3076493848857645
9,343,93,8,64,210,201,2087,2350,540,278,258,18,30,0.2434115955917585,0.3101511879049676,0.38763775754671775,0.6977889454516853,0.2297872340425532,0.08936170212765958,0.29580279813457694,0.31293193493150684
11,406,116,10,81,218,212,2205,2468,422,320,312,18,23,0.2780045351473923,0.3404342482589103,0.44988662131519275,0.7903208695741031,0.17098865478119935,0.08833063209076175,0.30930232558139537,0.34860577705451595
12,349,102,7,86,219,213,2190,2457,529,288,282,17,23,0.24840182648401826,0.31450948062654577,0.4191780821917808,0.7336875628183266,0.2153032153032153,0.08913308913308914,0.2876884422110553,0.32515636512484647
13,340,134,16,85,263,243,2186,2502,499,304,275,16,34,0.2630375114364135,0.33995943204868156,0.4556267154620311,0.7955861475107127,0.19944044764188648,0.10511590727418066,0.30284301606922126,0.3502359822509076
14,389,115,12,64,216,210,2187,2461,540,323,262,16,34,0.2652034750800183,0.32906159570070276,0.41655235482395975,0.7456139505246625,0.21942299878098334,0.08776919951239334,0.3227016885553471,0.3332942378422558
