team_id,schedule_id,n_win,n_loss
1,1,7,14
1,2,11,10
1,4,8,13
1,5,10,11
1,6,9,12
1,7,11,10
1,8,6,15
1,9,11,10
1,11,9,12
1,12,7,14
1,13,9,12
1,14,10,11
2,1,7,14
2,2,10,11
2,4,8,13
2,5,11.5,9.5
2,6,11,10
2,7,9,12
2,8,9,12
2,9,8,13
2,11,11,10
2,12,7,14
2,13,12,9
2,14,9,12
4,1,11,10
4,2,13,8
4,4,14,7
4,5,14,7
4,6,12,9
4,7,11,10
4,8,13,8
4,9,12,9
4,11,10,11
4,12,10,11
4,13,13,8
4,14,13,8
5,1,11,10
5,2,16,5
5,4,14,7
5,5,14,7
5,6,11,10
5,7,12,9
5,8,12,9
5,9,11,10
5,11,10,11
5,12,12,9
5,13,12,9
5,14,13,8
6,1,10,11
6,2,14,7
6,4,12,9
6,5,12,9
6,6,10,11
6,7,12,9
6,8,11,10
6,9,11,10
6,11,11,10
6,12,9,12
6,13,13,8
6,14,11,10
7,1,9.5,11.5
7,2,14,7
7,4,12,9
7,5,10,11
7,6,11,10
7,7,13,8
7,8,11,10
7,9,13,8
7,11,12,9
7,12,8,13
7,13,14,7
7,14,9,12
8,1,8,13
8,2,12,9
8,4,10,11
8,5,9,12
8,6,11,10
8,7,11,10
8,8,7,14
8,9,11,10
8,11,9,12
8,12,6,15
8,13,10,11
8,14,10,11
9,1,6,15
9,2,11,10
9,4,8,13
9,5,10,11
9,6,6,15
9,7,9,12
9,8,8,13
9,9,8,13
9,11,9,12
9,12,3,18
9,13,12,9
9,14,6,15
11,1,5,16
11,2,13,8
11,4,12,9
11,5,11,10
11,6,10,11
11,7,8,13
11,8,9,12
11,9,6,15
11,11,9,12
11,12,6,15
11,13,11,10
11,14,13,8
12,1,8,13
12,2,14,7
12,4,12,9
12,5,9,12
12,6,12,9
12,7,12,9
12,8,13,8
12,9,13,8
12,11,11,10
12,12,10,11
12,13,14,7
12,14,14,7
13,1,13,8
13,2,18,3
13,4,13,8
13,5,17,4
13,6,12,9
13,7,14,7
13,8,15,6
13,9,17,4
13,11,12,9
13,12,12.5,8.5
13,13,16,5
13,14,14,7
14,1,5.5,15.5
14,2,12,9
14,4,5,16
14,5,8,13
14,6,7,14
14,7,7,14
14,8,6,15
14,9,9,12
14,11,5,16
14,12,5,16
14,13,9,12
14,14,8,13
