team,team_id,playoffs_W,playoffs_L,n_W,n_L,playoffs_baseline,playoff_leverage,ferry_W,ferry_L,ferry_baseline,ferry_leverage
All That is Wright,4,0.9571357779980179,0.8532863849765259,4036,5964,0.8952,0.10384939302149199,0,0,0,0
Bibee-di-Bobbidi-Boo,7,0.1255721885438575,0.03755868544600939,8083,1917,0.1087,0.0880135030978481,0.046393665718173945,0.12571726656233698,0.0616,-0.07932360084416304
Blasphemous Hot Takes,12,0.06723675385647217,0.01635282457879088,5964,4036,0.0467,0.05088392927768129,0.09507042253521127,0.24504459861248762,0.1556,-0.14997417607727637
Book of Bob,9,0.09836233367451382,0.02608695652173913,9770,230,0.0967,0.07227537715277468,0.06335721596724668,0.1826086956521739,0.0661,-0.11925147968492723
Ketel Bells,13,0.45984848484848484,0.22235099337748343,3960,6040,0.3164,0.2374974914710014,0.004797979797979798,0.021026490066225166,0.0146,-0.01622851026824537
Mt. Everest Taquito Farmers,8,0.0391304347826087,0.02098259979529171,230,9770,0.0214,0.01814783498731699,0.06086956521739131,0.2247697031729785,0.221,-0.1639001379555872
The Novaks,6,0.46886886886886886,0.4,9990,10,0.4688,0.06886886886886884,0.004604604604604604,0,0.0046,0.004604604604604604
The Talmudic Tunnelers,1,0.2675496688741722,0.08737373737373737,6040,3960,0.1962,0.18017593150043482,0.012913907284768211,0.06994949494949496,0.0355,-0.057035587664726745
The Traveling Secretaries,5,1,0.9674185463659147,25,9975,0.9675,0.03258145363408527,0,0,0,0
The West Bank Occupiers,11,0.9368805425143454,0.8021774093777063,1917,8083,0.828,0.13470313313663906,0,1.2371644191513053e-4,1e-4,-1.2371644191513053e-4
Top Gunner: Henderson,14,0.1,0.022622622622622622,10,9990,0.0227,0.07737737737737738,0,0.2560560560560561,0.2558,-0.2560560560560561
Tucker? I hardly know her,2,0.03177944862155389,0,9975,25,0.0317,0.03177944862155389,0.18486215538847117,0.28,0.1851,-0.09513784461152885
