team,playoffs,last_place,champ,matchup_id,mean_pts,mean_wins
Yosemite Yeshivas,0.3333333333333333,0.08333333333333333,0.08333333333333333,0,NA,NA
Framber Valdez Oil Spill,0.3333333333333333,0.08333333333333333,0.08333333333333333,0,NA,NA
All That is Wright,0.3333333333333333,0.08333333333333333,0.08333333333333333,0,NA,NA
The Traveling Secretaries,0.3333333333333333,0.08333333333333333,0.08333333333333333,0,NA,NA
The Novaks,0.3333333333333333,0.08333333333333333,0.08333333333333333,0,NA,NA
Cron's Disease,0.3333333333333333,0.08333333333333333,0.08333333333333333,0,NA,NA
Mt. Everest Taquito Farmers,0.3333333333333333,0.08333333333333333,0.08333333333333333,0,NA,NA
Don Julios,0.3333333333333333,0.08333333333333333,0.08333333333333333,0,NA,NA
The West Bank Occupiers,0.3333333333333333,0.08333333333333333,0.08333333333333333,0,NA,NA
Blasphemous Hot Takes,0.3333333333333333,0.08333333333333333,0.08333333333333333,0,NA,NA
Ketel of Fish,0.3333333333333333,0.08333333333333333,0.08333333333333333,0,NA,NA
Hader Better Faster Stronger,0.3333333333333333,0.08333333333333333,0.08333333333333333,0,NA,NA
All That is Wright,0.2318,0.1239,0.056,1,6524,9.5
Blasphemous Hot Takes,0.43,0.0459,0.1071,1,6755,10.5
Cron's Disease,0.4165,0.0494,0.1011,1,6707,10.5
Don Julios,0.4521,0.0389,0.1129,1,6808,10.5
Framber Valdez Oil Spill,0.4211,0.0483,0.1051,1,6714,10.5
Hader Better Faster Stronger,0.2417,0.119,0.0609,1,6534,9.5
Ketel of Fish,0.2488,0.1121,0.0629,1,6533,9.5
Mt. Everest Taquito Farmers,0.2456,0.119,0.0636,1,6535,9.5
The Novaks,0.4069,0.055,0.1041,1,6637,10.5
The Traveling Secretaries,0.2435,0.122,0.0641,1,6532,9.5
The West Bank Occupiers,0.4159,0.0479,0.0997,1,6656,10.5
Yosemite Yeshivas,0.2461,0.1186,0.0625,1,6537,9.5
All That is Wright,0.2361,0.108,0.0497,2,6446,9.5
Blasphemous Hot Takes,0.4655,0.0252,0.1211,2,6661,10.7
Cron's Disease,0.5117,0.0224,0.1278,2,6590,11.1
Don Julios,0.6034,0.0138,0.1823,2,6852,11.2
Framber Valdez Oil Spill,0.5375,0.0217,0.1385,2,6641,11.2
Hader Better Faster Stronger,0.2054,0.1192,0.0464,2,6500,9.2
Ketel of Fish,0.1767,0.1486,0.0384,2,6425,9
Mt. Everest Taquito Farmers,0.2442,0.0988,0.0603,2,6557,9.4
The Novaks,0.3315,0.0662,0.0757,2,6446,10.2
The Traveling Secretaries,0.1271,0.2063,0.0277,2,6285,8.8
The West Bank Occupiers,0.3414,0.0564,0.0803,2,6492,10.2
Yosemite Yeshivas,0.2195,0.1134,0.0518,2,6466,9.4
All That is Wright,0.369,0.053,0.0947,3,6802,10.3
Blasphemous Hot Takes,0.7141,0.0051,0.194,3,6936,12.1
Cron's Disease,0.4022,0.0316,0.0976,3,6813,10.5
Crown Heights Crusaders,0.2317,0.0756,0.0501,3,6645,9.7
Don Julios,0.6081,0.0145,0.1702,3,7053,11.2
Framber Valdez Oil Spill,0.585,0.0135,0.1542,3,6868,11.4
Hader Better Faster Stronger,0.1369,0.1593,0.0316,3,6702,8.7
Ketel of Fish,0.0819,0.2399,0.0142,3,6574,8.3
Mt. Everest Taquito Farmers,0.3311,0.0522,0.0788,3,6802,10.1
The Novaks,0.2122,0.0916,0.0445,3,6687,9.5
The Traveling Secretaries,0.1428,0.1592,0.0287,3,6566,9
The West Bank Occupiers,0.185,0.1045,0.0414,3,6675,9.3
