team,team_id,playoffs_W,playoffs_L,playoffs_baseline,playoff_leverage,ferry_W,ferry_L,ferry_baseline,ferry_leverage
All That is Wright,4,0.41431044431621467,0.2368256613205582,0.3291,0.17748478299565645,0.0036545489517214847,0.014163715892522391,0.0087,-0.010509166940800906
At Witt's End,7,0.05263157894736842,0.015256998963116575,0.0274,0.037374579984251845,0.11634349030470914,0.2242630721374611,0.1892,-0.10791958183275197
Blasphemous Hot Takes,12,0.9144832605531296,0.7767653758542141,0.8903,0.13771788469891544,0,0,0,0
Burnes Notice,14,0.7883276551621982,0.6401969836872884,0.7402,0.14813067147490977,0,6.155740227762388e-4,2e-4,-6.155740227762388e-4
Guts. Glory. JRam.,9,0.019464720194647202,0.0050561797752808986,0.0169,0.014408540419366303,0.17226277372262774,0.34831460674157305,0.2036,-0.1760518330189453
Ketel Bells,13,0.7421121251629726,0.559286293592863,0.6294,0.18282583157010968,2.607561929595828e-4,9.7323600973236e-4,7e-4,-7.124798167727773e-4
Mt. Everest Taquito Farmers,8,0.027726120033812342,0.009302325581395349,0.0202,0.018423794452416993,0.14032121724429417,0.2780905752753978,0.1966,-0.13776935803110366
Sac Fly by the Rook,2,0.15663403457612998,0.058857472590882864,0.1058,0.09777656198524712,0.026452822328681524,0.05962685131756107,0.0437,-0.03317402898887954
The Novaks,6,0.049204406364749084,0.016229923922231614,0.0297,0.032974482442517467,0.07417380660954713,0.18546069315300084,0.14,-0.11128688654345371
The Talmudic Tunnelers,1,0.8429845904298459,0.6842242503259452,0.7821,0.1587603401039006,0,7.822685788787483e-4,3.0000000000000003e-4,-7.822685788787483e-4
The Traveling Secretaries,5,0.5677676537585421,0.37590975254730713,0.4096,0.19185790121123497,0,0.0030325084910237748,0.0025,-0.0030325084910237748
The West Bank Occupiers,11,0.047752808988764044,0.013138686131386862,0.0193,0.03461412285737718,0.09157303370786517,0.24111922141119221,0.2145,-0.14954618770332706
