lineup_id,position,player,player_id,team_id,points,ppg,matchup_id
0,C,Will Smith,38309,6,17,3.4,1
1,1B,Jake Cronenworth,36364,12,23,3.8333333333333335,1
2,2B,Mookie Betts,33039,1,48,8,1
3,3B,Manny Machado,31097,8,28,4.666666666666667,1
4,SS,Ha-Seong Kim,4089862,11,23,3.8333333333333335,1
5,OF,Lourdes Gurriel Jr.,36040,9,36.5,9.125,1
5,OF,Teoscar Hernandez,33377,4,26,4.333333333333333,1
5,OF,Juan Soto,36969,7,21,5.25,1
5,OF,Steven Kwan,41996,13,20.5,5.125,1
5,OF,Fernando Tatis Jr.,35983,12,20,3.3333333333333335,1
6,2B/SS,Andres Gimenez,37729,14,23,5.75,1
7,1B/3B,Matt Chapman,33857,1,21,5.25,1
12,UTIL,Ozzie Albies,33783,8,23,7.666666666666667,1
14,SP,Tyler Glasnow,33190,2,33,16.5,1
14,SP,Bobby Miller,4326703,6,31.5,31.5,1
14,SP,Corbin Burnes,39878,5,31,31,1
14,SP,George Kirby,42406,6,29.5,29.5,1
14,SP,Shane Bieber,40912,11,29.5,29.5,1
14,SP,Merrill Kelly,32968,11,29,29,1
15,RP,Evan Phillips,37911,6,16,5.333333333333333,1
15,RP,Joel Payamps,40021,6,14,7,1
15,RP,Clay Holmes,32827,9,12.5,4.166666666666667,1
0,C,William Contreras,39895,14,26,5.2,2
1,1B,Spencer Steer,4722857,11,37,6.166666666666667,2
2,2B,Ketel Marte,32512,5,29,4.833333333333333,2
3,3B,Austin Riley,34982,7,23.5,4.7,2
4,SS,Mookie Betts,33039,1,23.5,3.9166666666666665,2
5,OF,Seiya Suzuki,4142424,4,31,5.166666666666667,2
5,OF,Yordan Alvarez,36018,13,31,5.166666666666667,2
5,OF,Mike Trout,30836,2,28,4.666666666666667,2
5,OF,Tyler O'Neill,34168,6,28,5.6,2
5,OF,Aaron Judge,33192,13,25.5,4.25,2
6,2B/SS,Zack Gelof,4414531,9,24.5,4.083333333333333,2
7,1B/3B,Bryce Harper,30951,9,29,4.833333333333333,2
12,UTIL,Marcell Ozuna,31668,2,32.5,6.5,2
14,SP,Tanner Houck,41009,12,54.5,27.25,2
14,SP,Sean Manaea,33244,13,43,21.5,2
14,SP,Dean Kremer,38295,7,38.5,19.25,2
14,SP,Ryan Pepiot,4208281,2,33,16.5,2
14,SP,Michael Wacha,32640,2,31.5,31.5,2
14,SP,Reid Detmers,4326697,6,30.5,30.5,2
15,RP,Edwin Diaz,35394,4,24,6,2
15,RP,Ryan Helsley,39909,5,21,5.25,2
15,RP,Emmanuel Clase,41743,8,20,6.666666666666667,2
0,C,William Contreras,39895,14,35.5,5.916666666666667,3
1,1B,Pete Alonso,37498,13,38.5,6.416666666666667,3
2,2B,Jose Altuve,31662,11,35.5,5.071428571428571,3
3,3B,Elly De La Cruz,4917694,14,35,5.833333333333333,3
4,SS,Bobby Witt Jr.,42403,8,34.5,5.75,3
5,OF,Colton Cowser,4416990,4,38,7.6,3
5,OF,Brandon Nimmo,32159,5,37.5,6.25,3
5,OF,Juan Soto,36969,7,36.5,6.083333333333333,3
5,OF,Kyle Tucker,34967,12,34,4.857142857142857,3
5,OF,Yordan Alvarez,36018,13,32.5,4.642857142857143,3
6,2B/SS,Anthony Volpe,42547,14,26,4.333333333333333,3
7,1B/3B,Josh Naylor,35066,13,35.5,5.916666666666667,3
12,UTIL,Marcell Ozuna,31668,2,36,6,3
14,SP,Jose Berrios,32811,7,55.5,27.75,3
14,SP,Mitch Keller,33722,12,38.5,19.25,3
14,SP,Tyler Glasnow,33190,2,37,37,3
14,SP,Zac Gallen,39910,8,36,18,3
14,SP,Corbin Burnes,39878,5,35,17.5,3
14,SP,Nestor Cortes,36480,13,33,33,3
15,RP,Mason Miller,4730225,2,25,8.333333333333334,3
15,RP,Craig Kimbrel,30653,8,19,6.333333333333333,3
15,RP,Clay Holmes,32827,9,17.5,5.833333333333333,3
0,C,Cal Raleigh,41292,5,32,5.333333333333333,4
1,1B,Alec Bohm,41169,11,28.5,4.75,4
2,2B,Jordan Westburg,4298641,2,33.5,5.583333333333333,4
3,3B,Elly De La Cruz,4917694,14,29.5,4.916666666666667,4
4,SS,Trea Turner,33710,14,35,5.833333333333333,4
5,OF,Daulton Varsho,40963,5,32.5,5.416666666666667,4
5,OF,Cody Bellinger,33912,8,28.5,4.75,4
5,OF,Juan Soto,36969,7,27,4.5,4
5,OF,Starling Marte,30830,5,27,4.5,4
5,OF,Anthony Santander,36084,2,26.5,5.3,4
6,2B/SS,CJ Abrams,42402,7,33,5.5,4
7,1B/3B,Vinnie Pasquantino,4109109,13,28.5,4.75,4
12,UTIL,Ketel Marte,32512,5,29.5,4.214285714285714,4
14,SP,Aaron Nola,33709,12,57,28.5,4
14,SP,Sonny Gray,32082,7,50.5,25.25,4
14,SP,Tanner Houck,41009,12,48,48,4
14,SP,Ranger Suarez,39817,6,42.5,42.5,4
14,SP,Kutter Crawford,41277,4,39.5,19.75,4
14,SP,George Kirby,42406,6,36,18,4
15,RP,Camilo Doval,41337,11,21,7,4
15,RP,Alexis Diaz,4905920,7,18.5,6.166666666666667,4
15,RP,Craig Kimbrel,30653,8,18,6,4
0,C,Ryan Jeffers,41587,7,29.5,4.214285714285714,5
1,1B,Alec Bohm,41169,11,38.5,5.5,5
2,2B,Edouard Julien,3985190,4,34.5,4.928571428571429,5
3,3B,Gunnar Henderson,42507,11,35,5.833333333333333,5
4,SS,Mookie Betts,33039,1,33,5.5,5
5,OF,Mark Canha,31670,5,30,5,5
5,OF,Aaron Judge,33192,13,28.5,4.071428571428571,5
5,OF,Juan Soto,36969,7,27.5,3.9285714285714284,5
5,OF,Alex Verdugo,33786,12,26,3.7142857142857144,5
5,OF,Jurickson Profar,31117,11,25.5,3.642857142857143,5
6,2B/SS,Bryson Stott,42417,5,25,5,5
7,1B/3B,Anthony Rizzo,30782,9,36.5,5.214285714285714,5
12,UTIL,Maikel Garcia,4905884,6,30,4.285714285714286,5
14,SP,Ranger Suarez,39817,9,61.5,30.75,5
14,SP,Carlos Rodon,33696,1,54.5,27.25,5
14,SP,Tarik Skubal,42409,2,54.5,27.25,5
14,SP,Logan Gilbert,41221,12,51,25.5,5
14,SP,Max Fried,32685,7,45,45,5
14,SP,Kevin Gausman,32667,14,43.5,21.75,5
15,RP,Mason Miller,4730225,2,26,8.666666666666666,5
15,RP,Evan Phillips,37911,6,20.5,6.833333333333333,5
15,RP,Emmanuel Clase,41743,8,20,5,5
0,C,Will Smith,38309,6,12,6,6
1,1B,Christian Walker,32758,5,17.5,8.75,6
2,2B,Andres Gimenez,37729,14,8.5,8.5,6
3,3B,Christopher Morel,42927,9,9.5,4.75,6
4,SS,CJ Abrams,42402,7,14,7,6
5,OF,Riley Greene,42179,6,15,7.5,6
5,OF,Kyle Schwarber,33712,6,11,5.5,6
5,OF,Jurickson Profar,31117,11,9.5,4.75,6
5,OF,Josh Smith,42884,8,8.5,8.5,6
