team_id,schedule_id,n_win,n_loss
1,1,7,8
1,2,10,5
1,4,6,9
1,5,7,8
1,6,7,8
1,7,6,9
1,8,7,8
1,9,7,8
1,11,7,8
1,12,7,8
1,13,9,6
1,14,8,7
2,1,5,10
2,2,6,9
2,4,5.5,9.5
2,5,7,8
2,6,6,9
2,7,5,10
2,8,3,12
2,9,6,9
2,11,7,8
2,12,4,11
2,13,6,9
2,14,6,9
4,1,10,5
4,2,12,3
4,4,12,3
4,5,11,4
4,6,9,6
4,7,8,7
4,8,11,4
4,9,11,4
4,11,14,1
4,12,12,3
4,13,11,4
4,14,10,5
5,1,9,6
5,2,10,5
5,4,10.5,4.5
5,5,9,6
5,6,9,6
5,7,7,8
5,8,8,7
5,9,10,5
5,11,8,7
5,12,7,8
5,13,11,4
5,14,11,4
6,1,8,7
6,2,10,5
6,4,8,7
6,5,12,3
6,6,8,7
6,7,6.5,8.5
6,8,10,5
6,9,8,7
6,11,9,6
6,12,8,7
6,13,9,6
6,14,9,6
7,1,6,9
7,2,8,7
7,4,5,10
7,5,7,8
7,6,7,8
7,7,6,9
7,8,7,8
7,9,8,7
7,11,7,8
7,12,5,10
7,13,7,8
7,14,9,6
8,1,8,7
8,2,7,8
8,4,8,7
8,5,8,7
8,6,8,7
8,7,5,10
8,8,6,9
8,9,7.5,7.5
8,11,7,8
8,12,7,8
8,13,6,9
8,14,4,11
9,1,6,9
9,2,8,7
9,4,8,7
9,5,9,6
9,6,8,7
9,7,5,10
9,8,8,7
9,9,7,8
9,11,10,5
9,12,7,8
9,13,10,5
9,14,9,6
11,1,7.5,7.5
11,2,11,4
11,4,8,7
11,5,11,4
11,6,10,5
11,7,8,7
11,8,5,10
11,9,8,7
11,11,10,5
11,12,7,8
11,13,9,6
11,14,9,6
12,1,7,8
12,2,7,8
12,4,5,10
12,5,6,9
12,6,8,7
12,7,5,10
12,8,8,7
12,9,6,9
12,11,8,7
12,12,4,11
12,13,9,6
12,14,8,7
13,1,7,8
13,2,9,6
13,4,5,10
13,5,6,9
13,6,6.5,8.5
13,7,7,8
13,8,5,10
13,9,8,7
13,11,8,7
13,12,4,11
13,13,8,7
13,14,7,8
14,1,4,11
14,2,6,9
14,4,1,14
14,5,7,8
14,6,5,10
14,7,2,13
14,8,4,11
14,9,5,10
14,11,4,11
14,12,4,11
14,13,7,8
14,14,7,8
