team_id,total_points,batting_points,pitching_points,team,matchup_id,game_id,rp_points,sp_points,weight,adj_pts,adj_batting_pts,adj_pitching_pts,adj_sp_pts,adj_rp_pts,team_id_opp,total_points_opp,batting_points_opp,pitching_points_opp,team_opp,rp_points_opp,sp_points_opp,adj_pts_opp,adj_batting_pts_opp,adj_pitching_pts_opp,adj_sp_pts_opp,adj_rp_pts_opp,overall_rank,batting_rank,pitching_rank
11,542,290,252,The West Bank Occupiers,1,1,20,232,1.5714285714285714,344.90909090909093,184.54545454545453,160.36363636363637,147.63636363636363,12.727272727272727,7,511,298.5,212.5,Bibee-di-Bobbidi-Boo,12,200.5,325.1818181818182,189.95454545454547,135.22727272727272,127.5909090909091,7.636363636363637,1,7,3
6,467.5,244.5,223,The Novaks,1,2,45,178,1.5714285714285714,297.5,155.5909090909091,141.9090909090909,113.27272727272727,28.636363636363637,14,506,268.5,237.5,Top Gunner: Henderson,53.5,184,322,170.86363636363637,151.13636363636363,117.0909090909091,34.04545454545455,11,11,6
12,530.5,274,256.5,Blasphemous Hot Takes,1,3,15,241.5,1.5714285714285714,337.59090909090907,174.36363636363637,163.22727272727272,153.6818181818182,9.545454545454545,4,537.5,363.5,174,All That is Wright,33,141,342.04545454545456,231.3181818181818,110.72727272727273,89.72727272727273,21,3,8,2
1,470.5,304,166.5,The Talmudic Tunnelers,1,4,19,147.5,1.5714285714285714,299.40909090909093,193.45454545454547,105.95454545454545,93.86363636363636,12.090909090909092,13,512,313.5,198.5,Ketel Bells,29,169.5,325.8181818181818,199.5,126.31818181818181,107.86363636363636,18.454545454545453,10,4,12
8,435.5,206,229.5,Mt. Everest Taquito Farmers,1,5,64,165.5,1.5714285714285714,277.1363636363636,131.0909090909091,146.04545454545453,105.31818181818181,40.72727272727273,9,528,264.5,263.5,Book of Bob,39,224.5,336,168.3181818181818,167.6818181818182,142.86363636363637,24.818181818181817,12,12,5
5,489.5,294.5,195,The Traveling Secretaries,1,6,63.5,131.5,1.5714285714285714,311.5,187.4090909090909,124.0909090909091,83.68181818181819,40.40909090909091,2,500,308.5,191.5,Tucker? I hardly know her,46.5,145,318.1818181818182,196.3181818181818,121.86363636363636,92.27272727272727,29.59090909090909,9,6,9
7,347.5,172,175.5,Bibee-di-Bobbidi-Boo,2,7,29,146.5,1,347.5,172,175.5,146.5,29,14,291,174,117,Top Gunner: Henderson,26.5,90.5,291,174,117,90.5,26.5,4,11,2
4,363,222,141,All That is Wright,2,8,32,109,1,363,222,141,109,32,11,299,159,140,The West Bank Occupiers,30.5,109.5,299,159,140,109.5,30.5,2,1,5
13,278.5,187.5,91,Ketel Bells,2,9,11.5,79.5,1,278.5,187.5,91,79.5,11.5,6,413,221.5,191.5,The Novaks,14.5,177,413,221.5,191.5,177,14.5,10,6,10
9,253,185,68,Book of Bob,2,10,13.5,54.5,1,253,185,68,54.5,13.5,12,266,177.5,88.5,Blasphemous Hot Takes,35,53.5,266,177.5,88.5,53.5,35,12,7,12
2,299,200.5,98.5,Tucker? I hardly know her,2,11,23,75.5,1,299,200.5,98.5,75.5,23,1,324,175.5,148.5,The Talmudic Tunnelers,23,125.5,324,175.5,148.5,125.5,23,6.5,4,9
5,358,210.5,147.5,The Traveling Secretaries,2,12,31,116.5,1,358,210.5,147.5,116.5,31,8,287.5,188,99.5,Mt. Everest Taquito Farmers,8,91.5,287.5,188,99.5,91.5,8,3,3,4
4,349,170,179,All That is Wright,3,13,27,152,1,349,170,179,152,27,7,349.5,212.5,137,Bibee-di-Bobbidi-Boo,26,111,349.5,212.5,137,111,26,5,10,3
14,251.5,163,88.5,Top Gunner: Henderson,3,14,14.5,74,1,251.5,163,88.5,74,14.5,13,311,216.5,94.5,Ketel Bells,27,67.5,311,216.5,94.5,67.5,27,11,11,11
11,407,258.5,148.5,The West Bank Occupiers,3,15,22,126.5,1,407,258.5,148.5,126.5,22,9,328.5,197,131.5,Book of Bob,42,89.5,328.5,197,131.5,89.5,42,1,1,4
6,348.5,226,122.5,The Novaks,3,16,4.5,118,1,348.5,226,122.5,118,4.5,2,373.5,249,124.5,Tucker? I hardly know her,-13,137.5,373.5,249,124.5,137.5,-13,6,3,8
12,336,151.5,184.5,Blasphemous Hot Takes,3,17,39.5,145,1,336,151.5,184.5,145,39.5,5,390.5,184.5,206,The Traveling Secretaries,67.5,138.5,390.5,184.5,206,138.5,67.5,7,12,2
1,296.5,195,101.5,The Talmudic Tunnelers,3,18,10,91.5,1,296.5,195,101.5,91.5,10,8,240.5,182.5,58,Mt. Everest Taquito Farmers,-9,67,240.5,182.5,58,67,-9,10,7,9
7,253,164,89,Bibee-di-Bobbidi-Boo,4,19,19.5,69.5,1,253,164,89,69.5,19.5,13,320.5,195.5,125,Ketel Bells,27.5,97.5,320.5,195.5,125,97.5,27.5,12,12,12
9,313,203.5,109.5,Book of Bob,4,20,22,87.5,1,313,203.5,109.5,87.5,22,4,356.5,241,115.5,All That is Wright,0.5,115,356.5,241,115.5,115,0.5,8,7,7
2,280,183,97,Tucker? I hardly know her,4,21,5.5,91.5,1,280,183,97,91.5,5.5,14,299.5,173.5,126,Top Gunner: Henderson,33,93,299.5,173.5,126,93,33,11,10,10
5,314.5,209.5,105,The Traveling Secretaries,4,22,19.5,85.5,1,314.5,209.5,105,85.5,19.5,11,340.5,216,124.5,The West Bank Occupiers,5,119.5,340.5,216,124.5,119.5,5,7,6,8
8,358.5,262.5,96,Mt. Everest Taquito Farmers,4,23,18.5,77.5,1,358.5,262.5,96,77.5,18.5,6,420.5,265.5,155,The Novaks,44,111,420.5,265.5,155,111,44,3,2,11
1,391,246,145,The Talmudic Tunnelers,4,24,29.5,115.5,1,391,246,145,115.5,29.5,12,299,200.5,98.5,Blasphemous Hot Takes,12,86.5,299,200.5,98.5,86.5,12,2,3,2
9,348,224,124,Book of Bob,5,25,26,98,1,348,224,124,98,26,7,299,201.5,97.5,Bibee-di-Bobbidi-Boo,32,65.5,299,201.5,97.5,65.5,32,4,3,8
13,373.5,231.5,142,Ketel Bells,5,26,16.5,125.5,1,373.5,231.5,142,125.5,16.5,2,287,164,123,Tucker? I hardly know her,9.5,113.5,287,164,123,113.5,9.5,2,2,3
4,300.5,194,106.5,All That is Wright,5,27,29.5,77,1,300.5,194,106.5,77,29.5,5,336.5,176,160.5,The Traveling Secretaries,30,130.5,336.5,176,160.5,130.5,30,7,7,10
14,288.5,154.5,134,Top Gunner: Henderson,5,28,20,114,1,288.5,154.5,134,114,20,8,239,154,85,Mt. Everest Taquito Farmers,6,79,239,154,85,79,6,9,10,5
11,362.5,200.5,162,The West Bank Occupiers,5,29,18,144,1,362.5,200.5,162,144,18,1,272.5,140,132.5,The Talmudic Tunnelers,30.5,102,272.5,140,132.5,102,30.5,3,5,1
6,383,250,133,The Novaks,5,30,11,122,1,383,250,133,122,11,12,336,196,140,Blasphemous Hot Takes,29,111,336,196,140,111,29,1,1,6
7,304,142,162,Bibee-di-Bobbidi-Boo,6,31,56,106,1,304,142,162,106,56,2,232.5,149,83.5,Tucker? I hardly know her,9,74.5,232.5,149,83.5,74.5,9,8,12,3
5,444.5,233.5,211,The Traveling Secretaries,6,32,44.5,166.5,1,444.5,233.5,211,166.5,44.5,9,319.5,174.5,145,Book of Bob,32,113,319.5,174.5,145,113,32,1,1,1
8,360,230,130,Mt. Everest Taquito Farmers,6,33,25,105,1,360,230,130,105,25,13,303,166.5,136.5,Ketel Bells,-1.5,138,303,166.5,136.5,138,-1.5,2,2,8
1,312,165.5,146.5,The Talmudic Tunnelers,6,34,40,106.5,1,312,165.5,146.5,106.5,40,4,342,155.5,186.5,All That is Wright,39.5,147,342,155.5,186.5,147,39.5,6,8,4
12,251.5,195.5,56,Blasphemous Hot Takes,6,35,-3,59,1,251.5,195.5,56,59,-3,14,287.5,157,130.5,Top Gunner: Henderson,37,93.5,287.5,157,130.5,93.5,37,11,4,12
6,307,186,121,The Novaks,6,36,23.5,97.5,1,307,186,121,97.5,23.5,11,322,204.5,117.5,The West Bank Occupiers,8.5,109,322,204.5,117.5,109,8.5,7,5,9
5,448.5,237.5,211,The Traveling Secretaries,7,37,57,154,1,448.5,237.5,211,154,57,7,254.5,133.5,121,Bibee-di-Bobbidi-Boo,12,109,254.5,133.5,121,109,12,1,2,1
2,357,211,146,Tucker? I hardly know her,7,38,25,121,1,357,211,146,121,25,8,328,224.5,103.5,Mt. Everest Taquito Farmers,24.5,79,328,224.5,103.5,79,24.5,4,5,3
9,293.5,157,136.5,Book of Bob,7,39,21.5,115,1,293.5,157,136.5,115,21.5,1,373.5,217,156.5,The Talmudic Tunnelers,29.5,127,373.5,217,156.5,127,29.5,8,9,5
13,271,143,128,Ketel Bells,7,40,14.5,113.5,1,271,143,128,113.5,14.5,12,360,251,109,Blasphemous Hot Takes,33.5,75.5,360,251,109,75.5,33.5,10,11,6
4,304,179,125,All That is Wright,7,41,5,120,1,304,179,125,120,5,6,287.5,167,120.5,The Novaks,23,97.5,287.5,167,120.5,97.5,23,7,7,7
14,261.5,152.5,109,Top Gunner: Henderson,7,42,25.5,83.5,1,261.5,152.5,109,83.5,25.5,11,349.5,204,145.5,The West Bank Occupiers,22.5,123,349.5,204,145.5,123,22.5,11,10,10.5
7,322,163.5,158.5,Bibee-di-Bobbidi-Boo,8,43,16,142.5,1,322,163.5,158.5,142.5,16,8,304,151.5,152.5,Mt. Everest Taquito Farmers,7,145.5,304,151.5,152.5,145.5,7,4,9,2
1,268.5,160,108.5,The Talmudic Tunnelers,8,44,30.5,78,1,268.5,160,108.5,78,30.5,5,306,173.5,132.5,The Traveling Secretaries,49.5,83,306,173.5,132.5,83,49.5,12,10,10
12,374,192,182,Blasphemous Hot Takes,8,45,48,134,1,374,192,182,134,48,2,315,185.5,129.5,Tucker? I hardly know her,18.5,111,315,185.5,129.5,111,18.5,1,3,1
6,304,155.5,148.5,The Novaks,8,46,27,121.5,1,304,155.5,148.5,121.5,27,9,361,209.5,151.5,Book of Bob,24,127.5,361,209.5,151.5,127.5,24,8.5,11,5
11,286,189,97,The West Bank Occupiers,8,47,-1,98,1,286,189,97,98,-1,13,313.5,197,116.5,Ketel Bells,14.5,102,313.5,197,116.5,102,14.5,10,5,11
14,271,178,93,Top Gunner: Henderson,8,48,12,81,1,271,178,93,81,12,4,332,190.5,141.5,All That is Wright,21.5,120,332,190.5,141.5,120,21.5,11,7,12
1,444,274.5,169.5,The Talmudic Tunnelers,9,49,37,132.5,1,444,274.5,169.5,132.5,37,7,324,233,91,Bibee-di-Bobbidi-Boo,46,45,324,233,91,45,46,1,1,2
8,358.5,204,154.5,Mt. Everest Taquito Farmers,9,50,21.5,133,1,358.5,204,154.5,133,21.5,12,337.5,233,104.5,Blasphemous Hot Takes,30.5,74,337.5,233,104.5,74,30.5,4,8,3.5
