team_id,h_1b,h_2b,h_3b,h_hr,h_bb,h_ubb,h_ab,h_pa,h_k,h_runs,h_rbi,h_sf,h_hbp,avg,obp,slg,ops,k_rate,bb_rate,babip,woba
1,453,133,7,122,281,265,2807,3151,697,396,412,22,38,0.2547203420021375,0.3202572347266881,0.43747773423583897,0.757734968962527,0.22119961916851794,0.08917803871786735,0.29502487562189056,0.33447637292464877
2,399,138,21,94,344,327,2703,3104,713,383,355,16,35,0.24121346651868295,0.32517140058765914,0.41213466518682945,0.7373060657744885,0.22970360824742267,0.11082474226804123,0.2918410041841004,0.328544952937358
4,475,130,10,97,366,344,2811,3246,640,403,368,27,39,0.2532906438989683,0.3364544319600499,0.4101743151903237,0.7466287471503736,0.1971657424522489,0.11275415896487985,0.29271775345073775,0.3333030114871159
5,456,149,12,105,296,282,2778,3129,656,413,369,20,24,0.2598992080633549,0.3290239172592114,0.435565154787617,0.7645890720468284,0.20965164589325663,0.0945989133908597,0.30289641629847813,0.3368041237113402
6,474,137,7,117,294,288,2972,3321,706,403,371,23,29,0.24730820995962316,0.3128610519914868,0.41621803499327054,0.7290790869847573,0.21258657031014755,0.08852755194218609,0.2845303867403315,0.32330525362318835
7,402,123,14,100,299,286,2680,3045,758,388,351,27,34,0.23843283582089553,0.3120425815036593,0.40671641791044777,0.718758999414107,0.24893267651888343,0.09819376026272578,0.29150892374256354,0.3196124876114966
8,408,123,13,112,321,304,2700,3079,752,416,320,7,44,0.24296296296296296,0.3226552179656539,0.4225925925925926,0.7452478105582465,0.24423514127963625,0.10425462812601494,0.2951709169831796,0.3324844517184943
9,501,117,12,89,317,301,2845,3248,633,396,374,30,52,0.25272407732864677,0.32456140350877194,0.3961335676625659,0.7206949711713379,0.19488916256157635,0.09759852216748768,0.29261495587552255,0.3242026022304832
11,449,157,13,98,320,304,2863,3245,569,401,389,25,29,0.25043660495983233,0.32325436408977554,0.4170450576318547,0.7402994217216302,0.175346687211094,0.09861325115562404,0.27870328680774425,0.3277714995343061
12,472,118,11,115,297,285,2946,3317,710,376,365,30,35,0.24304141208418195,0.3095019859456156,0.4076714188730482,0.7171734048186638,0.21404883931263188,0.0895387398251432,0.2794049279404928,0.31844417475728154
13,483,137,6,99,322,307,2825,3224,617,363,378,32,38,0.25663716814159293,0.3293488518402013,0.4145132743362832,0.7438621261764845,0.19137717121588088,0.09987593052109181,0.2923867351704811,0.3311936289818863
14,399,139,14,81,304,295,2608,2971,684,360,339,22,31,0.24271472392638035,0.31935923653715065,0.3999233128834356,0.7192825494205862,0.2302255132951868,0.10232245035341636,0.29597855227882036,0.3214979702300406
