team_ix,matchup_id,player,player_id,n_games,n_points,team_id
1,1,Sal Frelick,4417795,8,15.5,11
1,1,Andrew Abbott,4414528,NA,27,11
1,1,Nico Hoerner,41219,9,30.5,11
1,1,Ben Rice,5016968,8,48.5,11
1,1,Ramon Laureano,35142,4,12,11
1,1,Junior Caminero,4905921,8,13,11
1,1,Michael McGreevy,4424141,NA,5,11
1,1,Austin Wells,4683349,8,4,11
1,1,Jung Hoo Lee,5134621,9,13.5,11
1,1,Trevor Story,32150,7,0,11
1,1,Tyler Wells,4717904,NA,11,11
1,1,Kevin Gausman,32667,NA,62,11
1,1,Nick Martinez,33372,NA,23.5,11
1,1,Spencer Torkelson,4424286,5,4.5,11
1,1,Jose Ramirez,32801,10,20,11
1,1,CJ Abrams,42402,8,38,11
1,1,Riley O'Brien,41509,NA,7,11
1,1,George Kirby,42406,NA,34,11
1,1,Nick Pivetta,36071,NA,13.5,11
1,1,Mauricio Dubon,35304,3,3,11
1,1,Tristan Gray,39918,1,-0.5,11
1,1,Brett Baty,42414,3,7,11
1,1,Jose Altuve,31662,10,41.5,11
1,1,Trent Grisham,34995,9,23.5,11
1,1,Marcell Ozuna,31668,5,3,11
1,1,Harrison Bader,35062,2,-1.5,11
1,1,Jose Ferrer,5119607,NA,2,11
1,1,Cam Schlittler,5134581,NA,52,11
1,1,Parker Messick,4619898,NA,15,11
1,1,Mike Yastrzemski,33341,5,13.5,11
2,1,Kyle Bradish,4311625,NA,13,6
2,1,Lucas Erceg,36618,NA,11.5,6
2,1,Jacob Wilson,4719300,9,12.5,6
2,1,Cal Raleigh,41292,10,7,6
2,1,Jose Soriano,40973,NA,50,6
2,1,Max Meyer,4345164,NA,8,6
2,1,Byron Buxton,32655,8,6.5,6
2,1,Trevor Megill,40080,NA,19.5,6
2,1,Jonathan India,41171,1,0,6
2,1,Jac Caglianone,4926296,9,11,6
2,1,Wyatt Langford,4719324,9,10.5,6
2,1,Julio Rodriguez,41044,10,10,6
2,1,Miguel Vargas,42453,1,-0.5,6
2,1,Randy Vasquez,4722847,NA,17.5,6
2,1,Isaac Paredes,39706,6,18,6
2,1,Paul Skenes,4719507,NA,1.5,6
2,1,Kevin McGonigle,5149072,9,28.5,6
2,1,Garrett Mitchell,4313442,2,13.5,6
2,1,Nolan Schanuel,4739755,9,23.5,6
2,1,Austin Riley,34982,10,10.5,6
2,1,Kyle Harrison,4683375,NA,13,6
2,1,Jordan Walker,4684778,6,25.5,6
2,1,Eugenio Suarez,32367,8,13.5,6
2,1,Kris Bubic,41201,NA,31.5,6
2,1,Gavin Williams,4345076,NA,43.5,6
2,1,Ozzie Albies,33783,10,25.5,6
2,1,Jackson Merrill,4872691,8,24,6
2,1,Ryan Walker,5000950,NA,9,6
2,1,Otto Lopez,41917,3,4,6
2,1,Tanner Scott,35135,NA,5,6
3,1,Logan Webb,41216,NA,36.5,12
3,1,Ernie Clement,41287,9,16,12
3,1,Mark Vientos,41034,1,3,12
3,1,Bryce Elder,4301067,NA,29.5,12
3,1,Jarren Duran,41610,8,18.5,12
3,1,Jake Cronenworth,36364,3,4.5,12
3,1,Steven Kwan,41996,10,17.5,12
3,1,Marcus Semien,32146,10,20,12
3,1,Lawrence Butler,4917919,4,0.5,12
3,1,Willson Contreras,32532,9,14.5,12
3,1,Luis Arraez,39572,10,21.5,12
3,1,Salvador Perez,31127,9,21.5,12
3,1,Max Muncy,33303,6,13,12
3,1,Addison Barger,4997589,4,0.5,12
3,1,Brent Rooker,40926,9,17.5,12
3,1,Andres Gimenez,37729,7,14,12
3,1,Robert Garcia,5125167,NA,8,12
3,1,Teoscar Hernandez,33377,8,17,12
3,1,Masyn Winn,4683365,1,2.5,12
3,1,Framber Valdez,36581,NA,42.5,12
3,1,Emerson Hancock,4297897,NA,22,12
3,1,Tarik Skubal,42409,NA,47,12
3,1,Wilyer Abreu,4990055,9,41.5,12
3,1,Kyle Schwarber,33712,9,28,12
3,1,Luis Castillo,35124,NA,29,12
3,1,Bryan Abreu,41208,NA,-2,12
3,1,Seth Lugo,34873,NA,35,12
3,1,Emilio Pagan,33403,NA,10.5,12
3,1,Johan Oviedo,41405,NA,-1.5,12
4,1,Mike Burrows,4918155,NA,13,1
4,1,Samuel Basallo,4917646,1,1.5,1
4,1,Alex Bregman,34886,9,16.5,1
4,1,Yusei Kikuchi,41415,NA,6,1
4,1,Drake Baldwin,4810190,10,48,1
4,1,Willy Adames,33675,10,11.5,1
4,1,Mookie Betts,33039,8,25.5,1
4,1,Sonny Gray,32082,NA,22.5,1
4,1,Daniel Palencia,4875225,NA,12,1
4,1,Nolan Gorman,41174,2,5,1
4,1,Chase Burns,4927516,NA,44,1
4,1,Dominic Canzone,4345621,3,5.5,1
4,1,Ronald Acuna Jr.,36185,10,14.5,1
4,1,Munetaka Murakami,4872595,8,33,1
4,1,Michael Harris II,42470,10,19,1
4,1,Aroldis Chapman,30442,NA,16.5,1
4,1,Griffin Jax,42604,NA,-9.5,1
4,1,Joey Wiemer,4417134,4,9,1
4,1,Robbie Ray,32175,NA,25.5,1
4,1,Giancarlo Stanton,30583,8,25,1
4,1,Joey Cantillo,42488,NA,6,1
4,1,Vladimir Guerrero Jr.,35002,9,26,1
4,1,Cedric Mullins,35578,3,2,1
4,1,Ceddanne Rafaela,4987382,8,10.5,1
4,1,Owen Caissie,4917685,7,17.5,1
4,1,Dylan Cease,34943,NA,30.5,1
4,1,Matt Olson,32767,10,31.5,1
5,1,Edwin Diaz,35394,NA,21,8
5,1,Jack Leiter,4622181,NA,39,8
5,1,Jakob Marsee,4866735,9,13.5,8
5,1,Ryne Nelson,4916269,NA,15,8
5,1,Colson Montgomery,4872685,9,21,8
5,1,Devin Williams,33224,NA,19,8
5,1,Garrett Crochet,4297835,NA,34,8
5,1,Hunter Goodman,4416591,9,12.5,8
5,1,Xavier Edwards,41326,9,37.5,8
5,1,Pete Crow-Armstrong,4717833,9,17,8
5,1,Matt McLain,4422899,5,10,8
5,1,Joe Ryan,42450,NA,16,8
5,1,Jacob Misiorowski,5080761,NA,20.5,8
5,1,Miguel Vargas,42453,4,16.5,8
5,1,Eury Perez,4917854,NA,25,8
5,1,Elly De La Cruz,4917694,9,25,8
5,1,Dennis Santana,39801,NA,24,8
5,1,Jazz Chisholm Jr.,41433,9,13.5,8
5,1,Bubba Chandler,4683325,NA,16,8
5,1,Josh Naylor,35066,10,7,8
5,1,Noelvi Marte,41307,6,1,8
5,1,James Wood,4918256,9,20.5,8
5,1,Brenton Doyle,42462,9,5,8
5,1,Javier Baez,32127,4,4,8
6,1,Oneil Cruz,39712,9,38.5,5
6,1,Spencer Steer,4722857,8,13,5
6,1,Bobby Witt Jr.,42403,9,15.5,5
6,1,Andy Pages,42468,9,42.5,5
6,1,Jake Bauers,35013,5,11.5,5
6,1,Shea Langeliers,42598,9,36,5
6,1,Shota Imanaga,5134630,NA,20,5
6,1,Chandler Simpson,4679983,9,24,5
6,1,Evan Carter,4917921,9,15.5,5
6,1,Emmet Sheehan,4417806,NA,3.5,5
6,1,Casey Mize,41167,NA,25,5
6,1,Chase Meidroth,5136929,7,12,5
6,1,Bryson Stott,42417,7,8,5
6,1,Freddy Peralta,39825,NA,24.5,5
6,1,Raisel Iglesias,33618,NA,16,5
6,1,Caleb Durbin,5007615,5,-1.5,5
6,1,Tyler Soderstrom,4686066,9,20.5,5
6,1,Cristopher Sanchez,42359,NA,45,5
6,1,Drew Rasmussen,42584,NA,29.5,5
6,1,Cade Smith,4987924,NA,13,5
6,1,Mason Miller,4730225,NA,34.5,5
6,1,Shane Smith,5201814,NA,-16,5
6,1,Royce Lewis,40635,8,21,5
6,1,Brice Turang,41179,9,36.5,5
7,NA,NA,NA,NA,NA,7
8,NA,NA,NA,NA,NA,4
9,NA,NA,NA,NA,NA,13
10,NA,NA,NA,NA,NA,9
11,NA,NA,NA,NA,NA,2
12,NA,NA,NA,NA,NA,5
13,NA,NA,NA,NA,NA,4
14,NA,NA,NA,NA,NA,14
15,NA,NA,NA,NA,NA,11
16,NA,NA,NA,NA,NA,6
17,NA,NA,NA,NA,NA,12
18,NA,NA,NA,NA,NA,1
19,NA,NA,NA,NA,NA,7
20,NA,NA,NA,NA,NA,9
21,NA,NA,NA,NA,NA,2
22,NA,NA,NA,NA,NA,5
23,NA,NA,NA,NA,NA,8
24,NA,NA,NA,NA,NA,1
25,NA,NA,NA,NA,NA,9
26,NA,NA,NA,NA,NA,13
27,NA,NA,NA,NA,NA,4
28,NA,NA,NA,NA,NA,14
29,NA,NA,NA,NA,NA,11
30,NA,NA,NA,NA,NA,6
31,NA,NA,NA,NA,NA,7
32,NA,NA,NA,NA,NA,5
33,NA,NA,NA,NA,NA,8
34,NA,NA,NA,NA,NA,1
35,NA,NA,NA,NA,NA,12
36,NA,NA,NA,NA,NA,6
37,NA,NA,NA,NA,NA,5
38,NA,NA,NA,NA,NA,2
39,NA,NA,NA,NA,NA,9
40,NA,NA,NA,NA,NA,13
41,NA,NA,NA,NA,NA,4
42,NA,NA,NA,NA,NA,14
43,NA,NA,NA,NA,NA,7
44,NA,NA,NA,NA,NA,1
45,NA,NA,NA,NA,NA,12
46,NA,NA,NA,NA,NA,6
47,NA,NA,NA,NA,NA,11
48,NA,NA,NA,NA,NA,14
49,NA,NA,NA,NA,NA,1
50,NA,NA,NA,NA,NA,8
51,NA,NA,NA,NA,NA,5
52,NA,NA,NA,NA,NA,2
53,NA,NA,NA,NA,NA,9
54,NA,NA,NA,NA,NA,13
55,NA,NA,NA,NA,NA,7
56,NA,NA,NA,NA,NA,6
57,NA,NA,NA,NA,NA,11
58,NA,NA,NA,NA,NA,14
59,NA,NA,NA,NA,NA,4
60,NA,NA,NA,NA,NA,13
61,NA,NA,NA,NA,NA,6
62,NA,NA,NA,NA,NA,12
63,NA,NA,NA,NA,NA,1
64,NA,NA,NA,NA,NA,8
65,NA,NA,NA,NA,NA,5
66,NA,NA,NA,NA,NA,2
67,NA,NA,NA,NA,NA,7
68,NA,NA,NA,NA,NA,14
69,NA,NA,NA,NA,NA,4
70,NA,NA,NA,NA,NA,13
71,NA,NA,NA,NA,NA,9
72,NA,NA,NA,NA,NA,2
73,NA,NA,NA,NA,NA,14
74,NA,NA,NA,NA,NA,11
75,NA,NA,NA,NA,NA,6
76,NA,NA,NA,NA,NA,12
77,NA,NA,NA,NA,NA,1
78,NA,NA,NA,NA,NA,8
79,NA,NA,NA,NA,NA,7
80,NA,NA,NA,NA,NA,13
81,NA,NA,NA,NA,NA,9
82,NA,NA,NA,NA,NA,2
83,NA,NA,NA,NA,NA,5
84,NA,NA,NA,NA,NA,8
85,NA,NA,NA,NA,NA,13
86,NA,NA,NA,NA,NA,4
87,NA,NA,NA,NA,NA,14
88,NA,NA,NA,NA,NA,11
89,NA,NA,NA,NA,NA,6
90,NA,NA,NA,NA,NA,12
91,NA,NA,NA,NA,NA,7
92,NA,NA,NA,NA,NA,2
93,NA,NA,NA,NA,NA,5
94,NA,NA,NA,NA,NA,8
95,NA,NA,NA,NA,NA,1
96,NA,NA,NA,NA,NA,12
97,NA,NA,NA,NA,NA,2
98,NA,NA,NA,NA,NA,9
99,NA,NA,NA,NA,NA,13
100,NA,NA,NA,NA,NA,4
101,NA,NA,NA,NA,NA,14
102,NA,NA,NA,NA,NA,11
103,NA,NA,NA,NA,NA,7
104,NA,NA,NA,NA,NA,8
105,NA,NA,NA,NA,NA,1
106,NA,NA,NA,NA,NA,12
107,NA,NA,NA,NA,NA,6
108,NA,NA,NA,NA,NA,11
109,NA,NA,NA,NA,NA,8
110,NA,NA,NA,NA,NA,5
111,NA,NA,NA,NA,NA,2
112,NA,NA,NA,NA,NA,9
113,NA,NA,NA,NA,NA,13
114,NA,NA,NA,NA,NA,4
115,NA,NA,NA,NA,NA,7
116,NA,NA,NA,NA,NA,12
117,NA,NA,NA,NA,NA,6
118,NA,NA,NA,NA,NA,11
119,NA,NA,NA,NA,NA,14
120,NA,NA,NA,NA,NA,4
1,1,Michael Wacha,32640,NA,26.5,7
1,1,Ian Happ,34945,9,28,7
1,1,Yoshinobu Yamamoto,4872587,NA,36,7
1,1,Rafael Devers,33859,10,12.5,7
1,1,Reynaldo Lopez,33860,NA,11.5,7
1,1,Randy Arozarena,36488,10,35,7
1,1,Geraldo Perdomo,41355,10,13,7
1,1,Dansby Swanson,34895,6,10,7
1,1,Fernando Tatis Jr.,35983,9,19,7
1,1,Adolis Garcia,35537,9,20.5,7
1,1,Brady Singer,41172,NA,13.5,7
1,1,Brandon Lowe,39961,8,30,7
1,1,Heliot Ramos,39642,10,10,7
1,1,Agustin Ramirez,5132014,8,16,7
1,1,Konnor Griffin,5218285,3,5.5,7
1,1,Zac Gallen,39910,NA,21,7
1,1,Tyler Rogers,34026,NA,18,7
1,1,Kyle Manzardo,4917927,3,-2.5,7
1,1,Hunter Brown,4717803,NA,44,7
1,1,Aaron Ashby,41325,NA,1.5,7
1,1,Carlos Estevez,34861,NA,-18,7
1,1,Grant Anderson,42161,NA,-1.5,7
1,1,Christian Yelich,31283,9,33.5,7
1,1,Christian Walker,32758,10,44,7
1,1,Manny Machado,31097,9,21.5,7
1,1,Mitch Keller,33722,NA,37,7
1,1,Garrett Whitlock,39674,NA,12,7
1,1,Tanner Bibee,4345278,NA,11,7
2,1,TJ Rumfield,5014349,4,8,14
2,1,Riley Greene,42179,9,19.5,14
2,1,Gunnar Henderson,42507,9,24,14
2,1,Carlos Correa,32653,10,29.5,14
2,1,Luis Robert Jr.,39631,9,30.5,14
2,1,Brayan Bello,4720856,NA,-3.5,14
2,1,MacKenzie Gore,39636,NA,35,14
2,1,Zach McKinstry,38420,3,-0.5,14
2,1,Jesus Sanchez,39957,4,-0.5,14
2,1,Jhoan Duran,41109,NA,23.5,14
2,1,Shane Baz,39639,NA,18.5,14
2,1,Shohei Ohtani,39832,9,27.5,14
2,1,Colton Cowser,4416990,4,8,14
2,1,Andrew Painter,4872683,NA,17.5,14
2,1,Max Muncy,4872686,1,4,14
2,1,Luke Raley,40422,6,10,14
2,1,Sandy Alcantara,35241,NA,71.5,14
2,1,Andres Munoz,40939,NA,12,14
2,1,Jeff McNeil,33900,7,2.5,14
2,1,Jack Flaherty,33837,NA,6.5,14
2,1,Michael King,40429,NA,24,14
2,1,Trea Turner,33710,9,21.5,14
2,1,Robert Suarez,4148749,NA,18,14
2,1,Zach Neto,4666100,2,19.5,14
2,1,Willi Castro,34230,1,0,14
2,1,Cody Bellinger,33912,9,32,14
2,1,Pete Alonso,37498,9,14.5,14
2,1,Noah Cameron,4417208,NA,13.5,14
2,1,Yainer Diaz,4781491,8,17,14
2,1,Lance McCullers Jr.,32764,NA,3.5,14
3,1,Tatsuya Imai,5330833,NA,-1,4
3,1,Paul Sewald,35009,NA,5,4
3,1,Brayan Rocchio,41217,3,2.5,4
3,1,Francisco Lindor,32129,10,23.5,4
3,1,Jordan Lawlar,4872649,3,1,4
3,1,Ramon Laureano,35142,1,-0.5,4
3,1,Nathan Eovaldi,31174,NA,-1.5,4
3,1,Chase DeLauter,4619649,9,38,4
