player,player_id,team_from,team_to,scoring_period_id,teams_involved,trade_id
Daniel Schneemann,42001,12,14,27,12 14,1
Framber Valdez,36581,12,14,27,12 14,1
Trea Turner,33710,14,12,27,12 14,1
Masyn Winn,4683365,2,4,29,2 4,2
Austin Riley,34982,6,4,30,4 6,3
Bryce Harper,30951,4,6,30,4 6,3
Jac Caglianone,4926296,6,4,30,4 6,3
Jose Fernandez,5010500,4,6,30,4 6,3
Kyle Bradish,4311625,6,4,30,4 6,3
Ryan Weathers,41178,4,6,30,4 6,3
