team_id,ip,earned_runs,n,start_type,team
2,3.2,6+,1,Bad Start,Tucker? I hardly know her
4,4.2,5,1,Bad Start,All That is Wright
4,6.1,0,1,QS,All That is Wright
5,5.0,1,1,QS Potential,The Traveling Secretaries
5,5.0,4,1,Bad Start,The Traveling Secretaries
5,6.0,0,1,QS,The Traveling Secretaries
5,< 3,3,1,Bad Start,The Traveling Secretaries
6,6.0,0,1,QS,The Novaks
6,< 3,5,1,Bad Start,The Novaks
7,4.0,4,1,Bad Start,Bibee-di-Bobbidi-Boo
7,4.2,0,1,Bad Start,Bibee-di-Bobbidi-Boo
7,5.0,3,1,QS Potential,Bibee-di-Bobbidi-Boo
7,6.0,2,1,QS,Bibee-di-Bobbidi-Boo
8,5.0,1,1,QS Potential,Mt. Everest Taquito Farmers
8,5.1,0,1,QS Potential,Mt. Everest Taquito Farmers
8,6.0,0,1,QS,Mt. Everest Taquito Farmers
9,3.2,2,1,Bad Start,Book of Boba Chette
9,5.1,3,1,QS Potential,Book of Boba Chette
9,7.0,0,1,QS,Book of Boba Chette
11,3.0,6+,1,Bad Start,The West Bank Occupiers
11,6.0,0,1,QS,The West Bank Occupiers
12,5.0,6+,1,Bad Start,Blasphemous Hot Takes
12,6.0,0,1,QS,Blasphemous Hot Takes
