team_id,schedule_id,n_win,n_loss
1,1,4,2
1,2,4,2
1,4,4,2
1,5,6,0
1,6,4,2
1,7,4,2
1,8,4,2
1,9,3,3
1,11,5,1
1,12,5,1
1,13,5,1
1,14,4,2
2,1,2,4
2,2,3,3
2,4,1,5
2,5,2,4
2,6,2,4
2,7,3,3
2,8,3,3
2,9,3,3
2,11,3,3
2,12,4,2
2,13,4,2
2,14,3,3
4,1,4,2
4,2,4,2
4,4,2,4
4,5,5,1
4,6,2,4
4,7,6,0
4,8,4,2
4,9,4,2
4,11,4,2
4,12,6,0
4,13,5,1
4,14,5,1
5,1,2,4
5,2,3,3
5,4,2,4
5,5,5,1
5,6,2,4
5,7,4,2
5,8,4,2
5,9,3,3
5,11,5,1
5,12,4,2
5,13,4,2
5,14,4,2
6,1,3,3
6,2,3,3
6,4,1,5
6,5,3,3
6,6,2,4
6,7,3,3
6,8,4,2
6,9,3,3
6,11,3,3
6,12,3,3
6,13,3,3
6,14,2,4
7,1,2,4
7,2,1,5
7,4,0,6
7,5,1,5
7,6,0,6
7,7,2,4
7,8,0,6
7,9,1,5
7,11,1,5
7,12,3,3
7,13,1,5
7,14,1,5
8,1,2,4
8,2,1,5
8,4,2,4
8,5,2,4
8,6,1,5
8,7,4,2
8,8,2,4
8,9,1,5
8,11,2,4
8,12,4,2
8,13,3,3
8,14,3,3
9,1,2,4
9,2,2,4
9,4,1,5
9,5,3,3
9,6,0,6
9,7,2,4
9,8,3,3
9,9,1,5
9,11,1,5
9,12,3,3
9,13,4,2
9,14,2,4
11,1,2,4
11,2,0,6
11,4,2,4
11,5,2,4
11,6,1,5
11,7,3,3
11,8,2,4
11,9,2,4
11,11,1,5
11,12,2,4
11,13,2,4
11,14,3,3
12,1,5,1
12,2,4,2
12,4,2,4
12,5,5,1
12,6,4,2
12,7,3,3
12,8,4,2
12,9,4,2
12,11,3,3
12,12,5,1
12,13,6,0
12,14,3,3
13,1,4,2
13,2,4,2
13,4,3,3
13,5,5,1
13,6,3.5,2.5
13,7,4,2
13,8,4,2
13,9,2,4
13,11,3,3
13,12,5,1
13,13,5,1
13,14,3,3
14,1,4,2
14,2,3,3
14,4,1.5,4.5
14,5,5,1
14,6,2,4
14,7,3,3
14,8,4,2
14,9,4,2
14,11,3,3
14,12,4,2
14,13,4,2
14,14,4,2
