team_id,ip,earned_runs,n,start_type,team
1,3.0,2,1,Bad Start,The Talmudic Tunnelers
1,3.0,4,1,Bad Start,The Talmudic Tunnelers
1,3.1,1,1,Bad Start,The Talmudic Tunnelers
1,3.1,6+,1,Bad Start,The Talmudic Tunnelers
1,3.2,4,1,Bad Start,The Talmudic Tunnelers
1,4.0,0,1,Bad Start,The Talmudic Tunnelers
1,4.0,2,1,Bad Start,The Talmudic Tunnelers
1,4.0,4,2,Bad Start,The Talmudic Tunnelers
1,4.0,5,3,Bad Start,The Talmudic Tunnelers
1,4.0,6+,1,Bad Start,The Talmudic Tunnelers
1,4.1,1,1,Bad Start,The Talmudic Tunnelers
1,4.1,6+,1,Bad Start,The Talmudic Tunnelers
1,4.2,2,1,Bad Start,The Talmudic Tunnelers
1,4.2,3,1,Bad Start,The Talmudic Tunnelers
1,4.2,4,1,Bad Start,The Talmudic Tunnelers
1,4.2,5,1,Bad Start,The Talmudic Tunnelers
1,5.0,0,8,QS Potential,The Talmudic Tunnelers
1,5.0,1,9,QS Potential,The Talmudic Tunnelers
1,5.0,2,8,QS Potential,The Talmudic Tunnelers
1,5.0,3,11,QS Potential,The Talmudic Tunnelers
1,5.0,4,4,Bad Start,The Talmudic Tunnelers
1,5.0,5,1,Bad Start,The Talmudic Tunnelers
1,5.0,6+,5,Bad Start,The Talmudic Tunnelers
1,5.1,1,2,QS Potential,The Talmudic Tunnelers
1,5.1,2,3,QS Potential,The Talmudic Tunnelers
1,5.1,4,3,Bad Start,The Talmudic Tunnelers
1,5.1,5,2,Bad Start,The Talmudic Tunnelers
1,5.1,6+,1,Bad Start,The Talmudic Tunnelers
1,5.2,0,1,Blue Balls,The Talmudic Tunnelers
1,5.2,1,2,Blue Balls,The Talmudic Tunnelers
1,5.2,2,1,Blue Balls,The Talmudic Tunnelers
1,5.2,4,3,Bad Start,The Talmudic Tunnelers
1,5.2,6+,1,Bad Start,The Talmudic Tunnelers
1,6.0,0,12,QS,The Talmudic Tunnelers
1,6.0,1,16,QS,The Talmudic Tunnelers
1,6.0,2,13,QS,The Talmudic Tunnelers
1,6.0,3,7,QS,The Talmudic Tunnelers
1,6.0,4,4,QS Potential,The Talmudic Tunnelers
1,6.0,6+,2,Bad Start,The Talmudic Tunnelers
1,6.1,0,1,QS,The Talmudic Tunnelers
1,6.1,1,2,QS,The Talmudic Tunnelers
1,6.1,2,1,QS,The Talmudic Tunnelers
1,6.1,3,2,QS,The Talmudic Tunnelers
1,6.1,4,1,QS Potential,The Talmudic Tunnelers
1,6.1,6+,1,Bad Start,The Talmudic Tunnelers
1,6.2,0,2,QS,The Talmudic Tunnelers
1,6.2,1,2,QS,The Talmudic Tunnelers
1,6.2,2,1,QS,The Talmudic Tunnelers
1,6.2,4,1,QS Potential,The Talmudic Tunnelers
1,7.0,0,2,QS,The Talmudic Tunnelers
1,7.0,1,3,QS,The Talmudic Tunnelers
1,7.0,2,3,QS,The Talmudic Tunnelers
1,< 3,1,1,Bad Start,The Talmudic Tunnelers
1,< 3,4,1,Bad Start,The Talmudic Tunnelers
1,< 3,6+,1,Bad Start,The Talmudic Tunnelers
1,> 7,0,2,QS,The Talmudic Tunnelers
1,> 7,1,3,QS,The Talmudic Tunnelers
1,CG,1,1,CG,The Talmudic Tunnelers
2,3.0,1,1,Bad Start,Sac Fly by the Rook
2,3.0,4,1,Bad Start,Sac Fly by the Rook
2,3.0,5,1,Bad Start,Sac Fly by the Rook
