team_id,start_bucket,n_start,pct_start
1,<= 0,19,0.09693877551020408
1,1-5,23,0.11734693877551021
1,6-10,34,0.17346938775510204
1,11-15,32,0.16326530612244897
1,16-20,25,0.12755102040816327
1,21-25,31,0.15816326530612246
1,26-30,23,0.11734693877551021
1,> 30,9,0.04591836734693878
2,<= 0,34,0.17346938775510204
2,1-5,23,0.11734693877551021
2,6-10,29,0.14795918367346939
2,11-15,37,0.18877551020408162
2,16-20,34,0.17346938775510204
2,21-25,18,0.09183673469387756
2,26-30,14,0.07142857142857142
2,> 30,7,0.03571428571428571
4,<= 0,23,0.12105263157894737
4,1-5,17,0.08947368421052632
4,6-10,27,0.14210526315789473
4,11-15,29,0.15263157894736842
4,16-20,35,0.18421052631578946
4,21-25,28,0.14736842105263157
4,26-30,19,0.1
4,> 30,12,0.06315789473684211
5,<= 0,30,0.15706806282722513
5,1-5,25,0.13089005235602094
5,6-10,16,0.08376963350785341
5,11-15,29,0.1518324607329843
5,16-20,24,0.1256544502617801
5,21-25,32,0.16753926701570682
5,26-30,26,0.13612565445026178
5,> 30,9,0.04712041884816754
6,<= 0,23,0.12234042553191489
6,1-5,11,0.05851063829787234
6,6-10,39,0.2074468085106383
6,11-15,22,0.11702127659574468
6,16-20,35,0.18617021276595744
6,21-25,26,0.13829787234042554
6,26-30,18,0.09574468085106383
6,> 30,14,0.07446808510638298
7,<= 0,25,0.12690355329949238
7,1-5,25,0.12690355329949238
7,6-10,29,0.14720812182741116
7,11-15,25,0.12690355329949238
7,16-20,20,0.10152284263959391
7,21-25,44,0.2233502538071066
7,26-30,19,0.09644670050761421
7,> 30,10,0.050761421319796954
8,<= 0,25,0.13227513227513227
8,1-5,17,0.08994708994708994
8,6-10,27,0.14285714285714285
8,11-15,25,0.13227513227513227
8,16-20,32,0.1693121693121693
8,21-25,29,0.15343915343915343
8,26-30,26,0.13756613756613756
8,> 30,8,0.042328042328042326
9,<= 0,31,0.15736040609137056
9,1-5,20,0.10152284263959391
9,6-10,29,0.14720812182741116
9,11-15,25,0.12690355329949238
9,16-20,25,0.12690355329949238
9,21-25,27,0.13705583756345177
9,26-30,28,0.14213197969543148
9,> 30,12,0.06091370558375635
11,<= 0,35,0.18518518518518517
11,1-5,22,0.1164021164021164
11,6-10,34,0.17989417989417988
11,11-15,18,0.09523809523809523
11,16-20,21,0.1111111111111111
11,21-25,35,0.18518518518518517
11,26-30,17,0.08994708994708994
11,> 30,7,0.037037037037037035
12,<= 0,17,0.085
12,1-5,25,0.125
12,6-10,27,0.135
12,11-15,24,0.12
12,16-20,36,0.18
12,21-25,44,0.22
12,26-30,20,0.1
12,> 30,7,0.035
13,<= 0,17,0.08762886597938144
13,1-5,20,0.10309278350515463
13,6-10,29,0.14948453608247422
13,11-15,26,0.13402061855670103
13,16-20,28,0.14432989690721648
13,21-25,29,0.14948453608247422
13,26-30,28,0.14432989690721648
13,> 30,17,0.08762886597938144
14,<= 0,28,0.1407035175879397
14,1-5,18,0.09045226130653267
14,6-10,33,0.1658291457286432
14,11-15,29,0.1457286432160804
14,16-20,44,0.22110552763819097
14,21-25,25,0.12562814070351758
14,26-30,14,0.07035175879396985
14,> 30,8,0.04020100502512563
