player,player_id,team_id,stint,start,end,rp_eligible,round_id,pick_id,team_from,teams_involved,trade_id,transaction_type,n_points,n_games,w_bat,w_sp,w_rp,ppg
A.J. Puk,36201,5,0,1,33,TRUE,22,260,NA,NA,NA,Draft,36,8,0,0,1,4.5
Aaron Judge,33192,2,0,1,85,FALSE,1,3,NA,NA,NA,Draft,317.5,64,1,0,0,4.9609375
Aaron Nola,33709,5,0,1,85,FALSE,5,53,NA,NA,NA,Draft,79,9,0,1,0,8.777777777777779
Adley Rutschman,42178,9,0,1,79,FALSE,5,54,NA,NA,NA,Draft,89.5,50,1,0,0,1.79
Adolis Garcia,35537,12,0,1,85,FALSE,10,119,NA,NA,NA,Draft,101.5,55,1,0,0,1.8454545454545455
Alec Bohm,41169,7,0,1,85,FALSE,8,93,NA,NA,NA,Draft,120,62,1,0,0,1.935483870967742
Alec Burleson,4345070,7,0,1,42,FALSE,15,172,NA,NA,NA,Draft,37.5,25,1,0,0,1.5
Alex Bregman,34886,13,0,1,85,FALSE,4,37,NA,NA,NA,Draft,172.5,51,1,0,0,3.3823529411764706
Alexis Diaz,4905920,2,0,1,52,TRUE,20,238,NA,NA,NA,Draft,-2.5,6,0,0,1,-0.4166666666666667
Andres Gimenez,37729,12,0,1,9,FALSE,20,239,NA,NA,NA,Draft,0,0,NA,NA,NA,0
Andres Munoz,40939,2,0,1,85,TRUE,19,219,NA,NA,NA,Draft,137.5,28,0,0,1,4.910714285714286
Andrew Vaughn,42394,2,0,1,28,FALSE,18,214,NA,NA,NA,Draft,14,14,1,0,0,1
Anthony Santander,36084,7,0,1,85,FALSE,4,45,NA,NA,NA,Draft,64.5,45,1,0,0,1.4333333333333333
Anthony Volpe,42547,5,0,1,85,FALSE,17,197,NA,NA,NA,Draft,142.5,57,1,0,0,2.5
Aroldis Chapman,30442,11,0,1,85,TRUE,22,256,NA,NA,NA,Draft,121,30,0,0,1,4.033333333333333
Austin Riley,34982,4,0,1,85,FALSE,4,38,NA,NA,NA,Draft,162.5,65,1,0,0,2.5
