points,played,start,relief,relief_start,qs,save,home_runs,player,player_id,team_id,game_id,scoring_period_id,matchup_id,eligible_slots,lineup_id,in_lineup,pitcher,batter,season,playoffs
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Mookie Betts,33039,5,1,1,1,9/10/5/12/16/17,5,TRUE,FALSE,TRUE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Aaron Nola,33709,5,1,1,1,13/14/16/17,14,TRUE,TRUE,FALSE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Wander Franco,40929,5,1,1,1,4/6/19/12/16/17/11,4,TRUE,FALSE,TRUE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Frankie Montas,33249,5,1,1,1,13/14/16/17,14,TRUE,TRUE,FALSE,2022,FALSE
8,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,Paul Goldschmidt,31027,5,1,1,1,1/7/19/12/16/17/11,1,TRUE,FALSE,TRUE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Josh Hader,32760,5,1,1,1,13/15/16/17,15,TRUE,TRUE,FALSE,2022,FALSE
-0.5,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,Daulton Varsho,40963,5,1,1,1,0/9/5/12/16/17/8/10/11,0,TRUE,FALSE,TRUE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Chris Bassitt,33148,5,1,1,1,13/14/16/17,14,TRUE,TRUE,FALSE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Cody Bellinger,33912,5,1,1,1,9/5/12/16/17,5,TRUE,FALSE,TRUE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Ty France,35591,5,1,1,1,1/2/6/7/19/11/12/16/17,2,TRUE,FALSE,TRUE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Rhys Hoskins,35291,5,1,1,1,1/7/19/12/16/17,7,TRUE,FALSE,TRUE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Sonny Gray,32082,5,1,1,1,13/14/16/17,14,TRUE,TRUE,FALSE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Kenley Jansen,29630,5,1,1,1,13/15/16/17,15,TRUE,TRUE,FALSE,2022,FALSE
1.5,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,Eddie Rosario,31944,5,1,1,1,8/5/12/16/17/10,5,TRUE,FALSE,TRUE,2022,FALSE
23.5,0,TRUE,FALSE,FALSE,TRUE,FALSE,0,Adam Wainwright,5403,5,1,1,1,13/14/16/17,14,TRUE,TRUE,FALSE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Randal Grichuk,31399,5,1,1,1,9/10/5/12/16/17/11,5,TRUE,FALSE,TRUE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Jeimer Candelario,32531,5,1,1,1,3/7/19/12/16/17,3,TRUE,FALSE,TRUE,2022,FALSE
2,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,Eduardo Escobar,30272,5,1,1,1,2/3/6/7/19/12/16/17/1,6,TRUE,FALSE,TRUE,2022,FALSE
7,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,Ian Happ,34945,5,1,1,1,8/9/5/12/16/17/10/11,5,TRUE,FALSE,TRUE,2022,FALSE
14,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,Kyle Hendricks,33173,5,1,1,1,13/14/16/17,14,TRUE,TRUE,FALSE,2022,FALSE
2,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,Eric Hosmer,30993,5,1,1,1,1/7/19/12/16/17,12,TRUE,FALSE,TRUE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Drew Rasmussen,42584,5,1,1,1,13/14/15/16/17,15,TRUE,TRUE,FALSE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Yandy Diaz,33481,5,1,1,1,1/3/7/19/12/16/17/11,16,FALSE,FALSE,FALSE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Jose Urquidy,35759,5,1,1,1,13/14/16/17,16,FALSE,FALSE,FALSE,2022,FALSE
1.5,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,Omar Narvaez,34254,5,1,1,1,0/12/16/17,16,FALSE,FALSE,FALSE,2022,FALSE
7.5,0,TRUE,FALSE,FALSE,FALSE,FALSE,0,Corbin Burnes,39878,6,2,1,1,13/14/16/17,14,TRUE,TRUE,FALSE,2022,FALSE
1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,Manny Machado,31097,6,2,1,1,3/7/19/12/16/17/11,3,TRUE,FALSE,TRUE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Zack Wheeler,31267,6,2,1,1,13/14/16/17,14,TRUE,TRUE,FALSE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Max Muncy,33303,6,2,1,1,1/2/6/7/19/12/16/17/3/11,2,TRUE,FALSE,TRUE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Corey Seager,32691,6,2,1,1,4/6/19/12/16/17,4,TRUE,FALSE,TRUE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Dylan Cease,34943,6,2,1,1,13/14/16/17,14,TRUE,TRUE,FALSE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,J.D. Martinez,31065,6,2,1,1,8/5/11/12/16/17,5,TRUE,FALSE,TRUE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Brandon Lowe,39961,6,2,1,1,2/6/19/12/16/17/8/5/11,6,TRUE,FALSE,TRUE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Eduardo Rodriguez,32675,6,2,1,1,13/14/16/17,14,TRUE,TRUE,FALSE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Josh Donaldson,29563,6,2,1,1,3/7/19/11/12/16/17,7,TRUE,FALSE,TRUE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Gary Sanchez,31095,6,2,1,1,0/12/16/17/11,0,TRUE,FALSE,TRUE,2022,FALSE
1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,Marcell Ozuna,31668,6,2,1,1,8/5/12/16/17/11,5,TRUE,FALSE,TRUE,2022,FALSE
4.5,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,Mark Canha,31670,6,2,1,1,8/9/10/5/12/16/17,5,TRUE,FALSE,TRUE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Alex Wood,32620,6,2,1,1,13/14/16/17,14,TRUE,TRUE,FALSE,2022,FALSE
0.5,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,Tommy Pham,31208,6,2,1,1,8/5/12/16/17/9/11,5,TRUE,FALSE,TRUE,2022,FALSE
1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,Carlos Santana,30280,6,2,1,1,1/7/19/12/16/17/11,1,TRUE,FALSE,TRUE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Noah Syndergaard,31730,6,2,1,1,13/14/16/17,14,TRUE,TRUE,FALSE,2022,FALSE
2.5,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,Jeff McNeil,33900,6,2,1,1,2/6/19/8/5/12/16/17/10,5,TRUE,FALSE,TRUE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Jarred Kelenic,41150,6,2,1,1,9/5/12/16/17/8/10,12,TRUE,FALSE,TRUE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Patrick Sandoval,40975,6,2,1,1,13/14/16/17,16,FALSE,FALSE,FALSE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Camilo Doval,41337,6,2,1,1,13/15/16/17,15,TRUE,TRUE,FALSE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Jonathan Loaisiga,39807,6,2,1,1,13/15/16/17,15,TRUE,TRUE,FALSE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Aaron Hicks,31253,6,2,1,1,9/5/12/16/17/8,16,FALSE,FALSE,FALSE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Luis Patino,41176,6,2,1,1,13/14/16/17,16,FALSE,FALSE,FALSE,2022,FALSE
0,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,Rowan Wick,34190,6,2,1,1,13/15/16/17,15,TRUE,TRUE,FALSE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Brandon Woodruff,37515,11,3,1,1,13/14/16/17,14,TRUE,TRUE,FALSE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Trea Turner,33710,11,3,1,1,2/4/6/19/12/16/17,4,TRUE,FALSE,TRUE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Jose Berrios,32811,11,3,1,1,13/14/16/17,14,TRUE,TRUE,FALSE,2022,FALSE
24,0,TRUE,FALSE,FALSE,TRUE,FALSE,0,Yu Darvish,32055,11,3,1,1,13/14/16/17,14,TRUE,TRUE,FALSE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Kris Bryant,33172,11,3,1,1,3/7/19/8/10/5/12/16/17/1/9/11,3,TRUE,FALSE,TRUE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Carlos Rodon,33696,11,3,1,1,13/14/16/17,14,TRUE,TRUE,FALSE,2022,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,Jorge Polanco,32525,11,3,1,1,2/4/6/19/12/16/17,2,TRUE,FALSE,TRUE,2022,FALSE
2,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,Jake Cronenworth,36364,11,3,1,1,1/2/4/6/7/19/12/16/17,1,TRUE,FALSE,TRUE,2022,FALSE
1.5,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,Christian Yelich,31283,11,3,1,1,8/5/12/16/17/11,5,TRUE,FALSE,TRUE,2022,FALSE
1.5,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,Yuli Gurriel,36006,11,3,1,1,1/7/19/12/16/17,7,TRUE,FALSE,TRUE,2022,FALSE
0.5,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,Hunter Renfroe,33205,11,3,1,1,10/5/12/16/17,5,TRUE,FALSE,TRUE,2022,FALSE
