team_id,h_1b,h_2b,h_3b,h_hr,h_bb,h_ubb,h_ab,h_pa,h_k,h_runs,h_rbi,h_sf,h_hbp,avg,obp,slg,ops,k_rate,bb_rate,babip,woba
1,172,70,4,50,147,144,1092,1260,306,175,169,7,14,0.27106227106227104,0.35553772070626005,0.47985347985347987,0.8353912005597399,0.24285714285714285,0.11666666666666667,0.3310901749663526,0.36774860779634044
2,164,65,1,29,115,113,1020,1169,221,156,145,13,18,0.25392156862745097,0.32578397212543553,0.40490196078431373,0.7306859329097493,0.18905047048759624,0.09837467921300257,0.2937420178799489,0.328401202749141
4,189,46,5,44,130,126,1096,1248,229,168,155,6,14,0.2591240875912409,0.336038961038961,0.4306569343065693,0.7666958953455303,0.18349358974358973,0.10416666666666667,0.28950542822677927,0.3412423510466989
5,156,62,4,26,119,114,962,1105,223,129,128,11,13,0.2577962577962578,0.3360805860805861,0.41164241164241167,0.7477229977229978,0.20180995475113123,0.1076923076923077,0.30662983425414364,0.33364909090909084
6,177,54,2,42,132,130,1118,1282,291,159,167,11,17,0.24597495527728086,0.32275971451229185,0.41055456171735244,0.7333142762296443,0.22698907956318254,0.1029641185647426,0.292713567839196,0.3286442006269592
7,166,58,6,47,123,121,1133,1283,305,161,161,10,16,0.2444836716681377,0.315955766192733,0.43071491615180935,0.7466706823445424,0.2377240841777085,0.09586905689789556,0.29077117572692796,0.33131484375
8,173,51,3,46,78,74,1072,1179,269,153,147,12,16,0.25466417910447764,0.30206540447504304,0.43656716417910446,0.7386325686541475,0.22815945716709077,0.06615776081424936,0.2951885565669701,0.32503066439523
9,169,59,10,50,113,110,1088,1214,272,182,159,5,7,0.2647058823529412,0.33250414593698174,0.47518382352941174,0.8076879694663934,0.22405271828665568,0.09308072487644152,0.3086900129701686,0.35221570247933887
11,197,56,4,29,117,113,1038,1177,226,144,139,10,9,0.27552986512524086,0.3459227467811159,0.4210019267822736,0.7669246735633894,0.19201359388275277,0.0994052676295667,0.3240857503152585,0.34066068376068376
12,176,65,2,38,98,97,1111,1227,283,151,146,7,9,0.25292529252925294,0.31167763157894735,0.41764176417641763,0.729319395755365,0.2306438467807661,0.07986960065199673,0.30489335006273527,0.3227785947712418
13,191,60,6,37,104,104,1138,1265,250,141,137,8,15,0.2583479789103691,0.3184,0.4191564147627416,0.7375564147627416,0.1976284584980237,0.08221343873517786,0.2991850989522701,0.32873280632411067
14,169,57,5,32,121,114,1060,1206,273,148,117,9,12,0.2481132075471698,0.3226890756302521,0.4018867924528302,0.7245758680830823,0.2263681592039801,0.10033167495854063,0.3023560209424084,0.32253389121338916
