player,player_id,team_id,stint,start,end,rp_eligible,team_from,trade_id,transaction_type,n_points,n_games,w_bat,w_sp,w_rp,ppg
A.J. Minter,36133,7,0,1,25,TRUE,NA,NA,Draft,25.5,11,0,0,1,2.3181818181818183
Aaron Judge,33192,14,0,1,35,FALSE,NA,NA,Draft,76.5,26,1,0,0,2.9423076923076925
Aaron Nola,33709,4,0,1,12,FALSE,NA,NA,Draft,14.5,2,0,1,0,7.25
Adam Duvall,32664,9,0,1,13,FALSE,NA,NA,Draft,61,8,1,0,0,7.625
Adam Ottavino,29705,9,0,1,4,TRUE,NA,NA,Draft,5,1,0,0,1,5
Adam Wainwright,5403,11,0,1,10,FALSE,NA,NA,Draft,0,0,NA,NA,NA,0
Adley Rutschman,42178,4,0,1,35,FALSE,NA,NA,Draft,93,29,1,0,0,3.206896551724138
Adolis Garcia,35537,8,0,1,35,FALSE,NA,NA,Draft,109,28,1,0,0,3.892857142857143
Alec Bohm,41169,11,0,1,35,FALSE,NA,NA,Draft,72.5,31,1,0,0,2.338709677419355
Alejandro Kirk,42081,2,0,1,35,FALSE,NA,NA,Draft,48.5,23,1,0,0,2.108695652173913
Alek Manoah,42436,14,0,1,35,FALSE,NA,NA,Draft,62,5,0,1,0,12.4
Alex Bregman,34886,13,0,1,35,FALSE,NA,NA,Draft,75.5,30,1,0,0,2.5166666666666666
Alex Cobb,31086,6,0,1,35,FALSE,NA,NA,Draft,83.5,5,0,1,0,16.7
Alex Lange,40976,13,0,1,10,TRUE,NA,NA,Draft,0,3,0,0,1,0
Alex Verdugo,33786,4,0,1,35,FALSE,NA,NA,Draft,112,31,1,0,0,3.6129032258064515
Alexis Diaz,4905920,7,0,1,35,TRUE,NA,NA,Draft,55,12,0,0,1,4.583333333333333
Amed Rosario,33215,4,0,1,35,FALSE,NA,NA,Draft,38,23,1,0,0,1.6521739130434783
Andres Gimenez,37729,14,0,1,35,FALSE,NA,NA,Draft,67,29,1,0,0,2.310344827586207
Andres Munoz,40939,12,0,1,35,TRUE,NA,NA,Draft,13.5,4,0,0,1,3.375
Andrew Benintendi,34986,11,0,1,35,FALSE,NA,NA,Draft,55,26,1,0,0,2.1153846153846154
Andrew Heaney,32672,4,0,1,35,FALSE,NA,NA,Draft,59,5,0,1,0,11.8
Andrew McCutchen,28701,7,0,1,35,FALSE,NA,NA,Draft,66,24,1,0,0,2.75
Andrew Vaughn,42394,6,0,1,35,FALSE,NA,NA,Draft,78,29,1,0,0,2.689655172413793
Anthony Rendon,32098,6,0,1,35,FALSE,NA,NA,Draft,49.5,20,1,0,0,2.475
Anthony Rizzo,30782,13,0,1,35,FALSE,NA,NA,Draft,74.5,30,1,0,0,2.4833333333333334
Anthony Santander,36084,5,0,1,35,FALSE,NA,NA,Draft,50,26,1,0,0,1.9230769230769231
Anthony Volpe,42547,1,0,1,15,FALSE,NA,NA,Draft,-0.5,4,1,0,0,-0.125
Aroldis Chapman,30442,11,0,1,35,TRUE,NA,NA,Draft,45.5,11,0,0,1,4.136363636363637
Austin Hays,36928,5,0,1,35,FALSE,NA,NA,Draft,70.5,26,1,0,0,2.7115384615384617
Austin Meadows,33197,2,0,1,10,FALSE,NA,NA,Draft,6.5,6,1,0,0,1.0833333333333333
Austin Riley,34982,6,0,1,35,FALSE,NA,NA,Draft,66.5,30,1,0,0,2.216666666666667
Blake Snell,33748,1,0,1,35,FALSE,NA,NA,Draft,48,6,0,1,0,8
Bo Bichette,38904,12,0,1,35,FALSE,NA,NA,Draft,102,30,1,0,0,3.4
Bobby Witt Jr.,42403,7,0,1,35,FALSE,NA,NA,Draft,75,30,1,0,0,2.5
Brady Singer,41172,12,0,1,32,FALSE,NA,NA,Draft,3.5,4,0,1,0,0.875
Brandon Drury,32269,11,0,1,35,FALSE,NA,NA,Draft,54,26,1,0,0,2.076923076923077
Brandon Lowe,39961,6,0,1,35,FALSE,NA,NA,Draft,77.5,25,1,0,0,3.1
Brandon Nimmo,32159,2,0,1,35,FALSE,NA,NA,Draft,88,27,1,0,0,3.259259259259259
Brandon Woodruff,37515,11,0,1,35,FALSE,NA,NA,Draft,40.5,2,0,1,0,20.25
Brendan Donovan,41773,8,0,1,35,FALSE,NA,NA,Draft,43.5,20,1,0,0,2.175
Brett Baty,42414,13,0,1,35,FALSE,NA,NA,Draft,14,7,1,0,0,2
Bryan De La Cruz,40787,14,0,1,3,FALSE,NA,NA,Draft,-0.5,2,1,0,0,-0.25
Bryan Reynolds,38980,13,0,1,35,FALSE,NA,NA,Draft,100,27,1,0,0,3.7037037037037037
Bryce Harper,30951,11,0,1,35,FALSE,NA,NA,Draft,-1.5,1,1,0,0,-1.5
Byron Buxton,32655,6,0,1,35,FALSE,NA,NA,Draft,85,27,1,0,0,3.1481481481481484
C.J. Cron,32155,7,0,1,35,FALSE,NA,NA,Draft,60.5,26,1,0,0,2.326923076923077
CJ Abrams,42402,14,0,1,16,FALSE,NA,NA,Draft,23,13,1,0,0,1.7692307692307692
Cal Quantrill,39875,5,0,1,35,FALSE,NA,NA,Draft,11.5,2,0,1,0,5.75
Camilo Doval,41337,5,0,1,35,TRUE,NA,NA,Draft,40.5,12,0,0,1,3.375
Carlos Correa,32653,13,0,1,35,FALSE,NA,NA,Draft,49.5,26,1,0,0,1.9038461538461537
Carlos Rodon,33696,2,0,1,35,FALSE,NA,NA,Draft,0,0,NA,NA,NA,0
Carlos Santana,30280,1,0,1,16,FALSE,NA,NA,Draft,31.5,11,1,0,0,2.8636363636363638
Cedric Mullins,35578,11,0,1,35,FALSE,NA,NA,Draft,96.5,28,1,0,0,3.4464285714285716
