team_id,qs,k,k_sp,k_rp,bb,bb_sp,bb_rp,outs,outs_sp,outs_rp,earned_runs,earned_runs_sp,earned_runs_rp,hr_allowed_sp,hr_allowed_rp,hr_allowed,hpb,hpb_sp,hpb_rp,blue_balls,era,era_sp,era_rp,k9,k9_sp,k9_rp,bb9,bb9_sp,bb9_rp,k_per_bb,k_per_bb_sp,k_per_bb_rp,hr9,hr9_sp,hr9_rp,fip,fip_sp,fip_rp,fip_constant
1,82,1281,1068,213,503,427,76,3622,3079,543,520,453,67,135,18,153,55,47,8,8,3.876311430149089,3.97239363429685,3.3314917127071824,9.549144119271121,9.365378369600519,10.591160220994475,3.749585864163446,3.7443975316661255,3.7790055248618786,2.5467196819085487,2.5011709601873537,2.8026315789473686,1.1405300938707896,1.1838259175056836,0.8950276243093922,4.0474467914091115,4.1498100333273875,3.4670113920235273,3.135519679316345
2,89,1282,1077,205,444,363,81,3775,3198,577,536,464,72,138,18,156,64,54,10,8,3.8336423841059606,3.917448405253283,3.369150779896014,9.169271523178807,9.092870544090056,9.592720970537261,3.1756291390728477,3.064727954971857,3.790294627383016,2.8873873873873874,2.9669421487603307,2.5308641975308643,1.1157615894039736,1.1651031894934334,0.8422876949740035,3.9206852422302525,3.9713545761268514,3.639852434948927,3.135519679316345
4,90,1306,1114,192,420,352,68,3735,3227,508,554,476,78,144,21,165,39,35,4,6,4.004819277108433,3.982646420824295,4.145669291338582,9.440963855421685,9.320731329408119,10.204724409448819,3.036144578313253,2.945150294391075,3.614173228346457,3.1095238095238096,3.164772727272727,2.823529411764706,1.1927710843373494,1.2048342113418036,1.1161417322834646,3.8664433740954616,3.8838927812686226,3.7555984194738254,3.135519679316345
5,80,1151,938,213,392,308,84,3661,3108,553,565,492,73,143,19,162,54,40,14,10,4.166894291177274,4.274131274131274,3.5641952983725136,8.488664299371756,8.14864864864865,10.399638336347197,2.891013384321224,2.675675675675676,4.101265822784811,2.936224489795918,3.0454545454545454,2.5357142857142856,1.1947555312756077,1.2422779922779923,0.9276672694394213,4.071329567325086,4.1268324206290865,3.7593894804013357,3.135519679316345
6,96,1400,1141,259,375,292,83,4092,3409,683,592,524,68,170,19,189,60,46,14,2,3.906158357771261,4.150190671751247,2.6881405563689604,9.237536656891495,9.036960985626283,10.238653001464128,2.4743401759530794,2.3127016720445877,3.281112737920937,3.7333333333333334,3.9075342465753424,3.1204819277108435,1.247067448680352,1.3464359049574657,0.7510980966325037,3.8407982716917113,3.9645017855058433,3.2233674099166376,3.135519679316345
7,80,1375,1139,236,416,330,86,3682,3128,554,599,540,59,176,16,192,67,52,15,3,4.392449755567626,4.661125319693094,2.875451263537906,10.082835415535035,9.831521739130435,11.501805054151625,3.0505160239000544,2.84846547314578,4.191335740072202,3.3052884615384617,3.4515151515151516,2.744186046511628,1.4079304725692559,1.5191815856777493,0.779783393501805,4.10917530126094,4.244215331490258,3.346711015056417,3.135519679316345
8,99,1308,1066,242,312,246,66,3915,3324,591,508,459,49,137,10,147,49,44,5,9,3.503448275862069,3.728339350180505,2.238578680203046,9.020689655172413,8.65884476534296,11.055837563451776,2.151724137931035,1.9981949458483754,3.015228426395939,4.1923076923076925,4.333333333333333,3.6666666666666665,1.013793103448276,1.1128158844765343,0.45685279187817257,3.425174851730138,3.6039312316629153,2.419783638707208,3.135519679316345
9,101,1306,1075,231,400,329,71,3856,3311,545,515,452,63,126,20,146,46,41,5,7,3.6060684647302903,3.6858954998489883,3.121100917431193,9.144709543568466,8.766233766233766,11.444036697247707,2.8008298755186725,2.682875264270613,3.517431192660551,3.265,3.2674772036474162,3.2535211267605635,1.0223029045643153,1.0274841437632136,0.9908256880733946,3.6209968577395815,3.67734994207684,3.278638945371391,3.135519679316345
11,79,1215,1010,205,425,328,97,3595,3147,448,510,449,61,159,12,171,46,40,6,7,3.8303198887343535,3.8522402287893236,3.6763392857142856,9.125173852573019,8.665395614871306,12.354910714285714,3.191933240611961,2.8141086749285034,5.845982142857143,2.8588235294117648,3.0792682926829267,2.11340206185567,1.2842837273991654,1.3641563393708294,0.7232142857142857,4.14191745400341,4.2327551416614355,3.503823250744916,3.135519679316345
12,98,1446,1189,257,402,314,88,4063,3406,657,555,466,89,154,31,185,54,39,15,10,3.68816145705144,3.6940692894891365,3.6575342465753424,9.609155796209697,9.425425719318849,10.561643835616438,2.6714250553778,2.4891368173810924,3.6164383561643834,3.5970149253731343,3.786624203821656,2.9204545454545454,1.2293871523504798,1.2207868467410452,1.273972602739726,3.7860242326020943,3.737105116779645,4.039629268357441,3.135519679316345
13,77,1186,955,231,447,370,77,3697,3065,632,568,472,96,134,29,163,56,43,13,9,4.148228293210711,4.157911908646003,4.101265822784811,8.661617527725182,8.412724306688418,9.86867088607595,3.2645388152556127,3.259380097879282,3.2895569620253164,2.6532438478747205,2.581081081081081,3,1.1904246686502569,1.1804241435562806,1.2389240506329113,4.154724439933061,4.18380679187752,4.013684236278371,3.135519679316345
14,90,1268,1049,219,425,354,71,3710,3192,518,539,484,55,141,17,158,53,47,6,8,3.922641509433962,4.093984962406015,2.8667953667953667,9.228032345013476,8.873120300751879,11.415057915057915,3.092991913746631,2.994360902255639,3.700772200772201,2.9835294117647058,2.963276836158192,3.084507042253521,1.149865229110512,1.1926691729323307,0.886100386100386,3.9053310000710617,4.017098626684766,3.216600760397426,3.135519679316345
