team_id,total_points,batting_points,pitching_points,team,matchup_id,game_id,adj_pts,adj_batting_pts,adj_pitching_pts,team_id_opp,total_points_opp,batting_points_opp,pitching_points_opp,team_opp,adj_pts_opp,adj_batting_pts_opp,adj_pitching_pts_opp,overall_rank,batting_rank,pitching_rank
5,387.5,255.5,132,The Traveling Secretaries,1,1,246.5909090909091,162.5909090909091,84,12,568.5,360,208.5,Blasphemous Hot Takes,361.77272727272725,229.0909090909091,132.6818181818182,12,12,11
8,510.5,309,201.5,Mt. Everest Taquito Farmers,1,2,324.8636363636364,196.63636363636363,128.22727272727272,7,521,303.5,217.5,Cron's Disease,331.54545454545456,193.13636363636363,138.4090909090909,5,5.5,7
13,457.5,309,148.5,Ketel of Fish,1,3,291.1363636363636,196.63636363636363,94.5,11,491,283.5,207.5,The West Bank Occupiers,312.45454545454544,180.4090909090909,132.04545454545453,9,5.5,9
4,436.5,260.5,176,All That is Wright,1,4,277.77272727272725,165.77272727272728,112,6,452.5,335.5,117,The Novaks,287.95454545454544,213.5,74.45454545454545,11,11,8
2,544,304,240,Framber Valdez Oil Spill,1,5,346.1818181818182,193.45454545454547,152.72727272727272,1,473,340.5,132.5,Crown Heights Crusaders,301,216.6818181818182,84.31818181818181,3,7,2
14,494,287,207,Hader Better Faster Stronger,1,6,314.3636363636364,182.63636363636363,131.72727272727272,9,649.5,352.5,297,Don Julios,413.3181818181818,224.3181818181818,189,6,9,6
12,358,160,198,Blasphemous Hot Takes,2,7,358,160,198,7,338,196.5,141.5,Cron's Disease,338,196.5,141.5,2,12,1
11,318.5,199.5,119,The West Bank Occupiers,2,8,318.5,199.5,119,5,350.5,180.5,170,The Traveling Secretaries,350.5,180.5,170,10,5,10
6,350.5,189.5,161,The Novaks,2,9,350.5,189.5,161,8,352,185,167,Mt. Everest Taquito Farmers,352,185,167,5,8,4
1,299.5,233.5,66,Crown Heights Crusaders,2,10,299.5,233.5,66,13,296,181,115,Ketel of Fish,296,181,115,11,2,12
9,339.5,207,132.5,Don Julios,2,11,339.5,207,132.5,4,412,266,146,All That is Wright,412,266,146,7,3,8
14,325.5,202.5,123,Hader Better Faster Stronger,2,12,325.5,202.5,123,2,350.5,191,159.5,Framber Valdez Oil Spill,350.5,191,159.5,9,4,9
11,228.5,167,61.5,The West Bank Occupiers,3,13,228.5,167,61.5,12,298.5,138.5,160,Blasphemous Hot Takes,298.5,138.5,160,12,9,12
